service,flag,src_bytes,dst_bytes,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,classe,posicaoOriginal
http,SF,212,2876,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,103031.0
http,SF,222,18540,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,33716.0
domain_u,SF,45,138,0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,93576.0
http,SF,290,492,1,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0,51725.0
private,S0,0,0,0,1.0,1.0,0.03,0.07,0.0,1.0,1.0,1,80183.0
ecr_i,SF,1032,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,16346.0
domain_u,SF,46,46,0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0,21228.0
private,S0,0,0,0,1.0,1.0,0.02,0.06,0.0,1.0,1.0,1,112802.0
discard,RSTO,0,0,0,0.0,0.0,0.02,0.07,0.0,0.0,0.0,1,84448.0
telnet,RSTO,125,10835,1,0.0,0.0,1.0,0.0,0.0,0.04,0.09,0,19053.0
domain_u,SF,44,128,0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0,32460.0
http,SF,282,8222,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,32011.0
private,SH,0,0,0,1.0,1.0,1.0,0.0,0.0,0.95,1.0,1,112013.0
http,SF,315,671,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,55534.0
private,S0,0,0,0,1.0,1.0,0.06,0.06,0.0,1.0,1.0,1,63766.0
sql_net,S0,0,0,0,1.0,1.0,0.11,0.06,0.0,1.0,1.0,1,64315.0
http,SF,271,677,1,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,93223.0
auth,S0,0,0,0,1.0,1.0,0.08,0.05,0.0,1.0,1.0,1,77270.0
http,SF,316,835,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,104902.0
