service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
private,REJ,0,0,0,0,102,0.0,0.0,0.02,0.06,0.0,255,22,0.09,0.05,0.0,0.0,0.0,1.0,1,66814.0
smtp,SF,1375,329,0,1,1,0.0,0.0,1.0,0.0,1.0,103,246,0.97,0.02,0.01,0.0,0.0,0.0,0,72489.0
eco_i,SF,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,91,1.0,0.0,0.51,0.0,0.0,0.0,1,26140.0
mtp,S0,0,0,0,0,298,1.0,1.0,0.06,0.06,0.0,255,19,0.07,0.07,0.0,1.0,1.0,0.0,1,100742.0
http,SF,394,1797,0,1,6,0.0,0.0,1.0,0.0,0.29,94,219,1.0,0.0,0.03,0.0,0.0,0.0,0,63991.0
ecr_i,SF,1032,0,0,0,510,0.0,0.0,1.0,0.0,0.0,255,200,0.78,0.02,0.0,0.0,0.0,0.0,1,36800.0
http,SF,304,32851,0,1,16,0.0,0.0,1.0,0.0,0.0,16,16,1.0,0.0,0.0,0.0,0.0,0.0,0,124643.0
ftp_data,SF,245,0,0,1,2,0.0,0.0,1.0,0.0,0.0,12,2,0.17,0.25,0.0,0.0,0.0,0.0,0,111952.0
eco_i,SF,30,0,0,0,8,0.0,0.0,0.12,0.38,0.0,255,4,0.02,0.01,0.0,0.0,0.0,0.0,0,37171.0
domain_u,SF,44,127,0,0,235,0.0,0.0,1.0,0.01,0.01,255,244,0.96,0.01,0.0,0.0,0.0,0.0,0,5753.0
private,SF,1,0,0,0,47,0.0,0.0,0.02,0.11,0.0,255,1,0.0,0.27,0.0,0.04,0.0,0.0,1,67347.0
http,SF,315,2698,0,1,3,0.0,0.0,1.0,0.0,0.0,255,243,0.95,0.01,0.0,0.0,0.0,0.0,0,109791.0
domain_u,SF,44,44,0,0,117,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,46932.0
eco_i,SF,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,2,14,1.0,0.0,0.5,0.0,0.0,0.0,1,70893.0
http,SF,297,1380,0,1,3,0.0,0.0,1.0,0.0,0.0,255,246,0.96,0.01,0.0,0.0,0.0,0.0,0,23570.0
http,SF,327,1856,0,1,9,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,91097.0
http,SF,317,2075,0,1,4,0.0,0.0,1.0,0.0,0.0,8,255,1.0,0.0,0.05,0.0,0.0,0.0,0,8851.0
ecr_i,SF,1480,0,1,0,2,0.0,0.0,1.0,0.0,0.0,3,2,0.67,0.67,0.0,0.0,0.0,0.0,1,94360.0
imap4,S0,0,0,0,0,265,1.0,1.0,0.02,0.07,0.0,255,4,0.02,0.08,0.0,1.0,1.0,0.0,1,31102.0
private,S0,0,0,0,0,144,1.0,1.0,0.01,0.08,0.0,255,17,0.07,0.08,0.0,1.0,1.0,0.0,1,24782.0
exec,RSTO,0,0,0,0,121,0.0,0.0,0.07,0.07,0.0,255,8,0.03,0.07,0.0,0.0,0.0,1.0,1,117529.0
private,RSTR,1,0,0,0,2,0.0,0.0,1.0,0.0,0.0,255,2,0.01,0.73,0.0,0.0,0.0,1.0,1,31800.0
http,S0,0,0,0,0,102,1.0,1.0,0.02,0.07,0.0,255,2,0.01,0.07,0.0,1.0,1.0,0.0,1,85153.0
ecr_i,SF,1032,0,0,0,511,0.0,0.0,1.0,0.0,0.0,255,79,0.31,0.04,0.0,0.11,0.0,0.0,1,93996.0
eco_i,SF,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,2,96,1.0,0.0,0.5,0.0,0.0,0.0,1,31269.0
other,REJ,0,0,0,0,509,0.05,0.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.06,0.0,1.0,1,115054.0
http,SF,305,569,0,1,3,0.0,0.0,1.0,0.0,0.0,34,255,1.0,0.0,0.04,0.0,0.0,0.0,0,89414.0
whois,S0,0,0,0,0,283,1.0,1.0,0.08,0.05,0.0,255,24,0.09,0.05,0.0,1.0,1.0,0.0,1,11983.0
private,S0,0,0,0,0,198,1.0,1.0,0.02,0.07,0.0,255,3,0.01,0.08,0.0,1.0,1.0,0.0,1,54636.0
http,SF,209,935,0,1,4,0.0,0.0,1.0,0.0,0.4,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,84944.0
http,SF,338,1307,0,1,10,0.0,0.0,1.0,0.0,0.1,43,255,1.0,0.0,0.01,0.0,0.0,0.0,0,113411.0
http,SF,240,664,0,1,11,0.0,0.0,1.0,0.0,0.13,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,11130.0
other,RSTR,1,0,0,0,2,0.0,0.0,1.0,0.0,0.0,255,2,0.01,0.72,0.0,0.0,0.0,1.0,1,112913.0
private,S0,0,0,0,0,171,1.0,1.0,0.02,0.06,0.0,255,20,0.08,0.06,0.0,1.0,1.0,0.0,1,116755.0
ftp_data,SF,641,0,0,1,3,0.0,0.0,0.67,0.67,0.0,255,99,0.39,0.08,0.0,0.01,0.02,0.0,0,114657.0
private,SF,28,0,3,0,4,0.0,0.0,1.0,0.0,0.0,255,4,0.02,0.02,0.0,0.0,0.0,0.0,1,70505.0
ftp_data,SF,854,0,0,0,2,0.0,0.0,1.0,0.0,0.0,48,78,0.17,0.08,0.03,0.0,0.0,0.0,0,104656.0
smtp,SF,619,326,0,1,1,0.0,0.0,1.0,0.0,0.0,112,101,0.9,0.03,0.0,0.0,0.0,0.0,0,91506.0
http,SF,213,10194,0,1,3,0.0,0.0,1.0,0.0,0.0,8,255,1.0,0.0,0.05,0.0,0.0,0.01,0,35741.0
http,SF,307,480,0,1,9,0.0,0.0,1.0,0.0,0.0,9,255,1.0,0.0,0.06,0.0,0.01,0.0,0,83749.0
domain_u,SF,45,131,0,0,69,0.0,0.0,0.99,0.03,0.01,255,198,0.78,0.02,0.0,0.0,0.0,0.0,0,115759.0
other,RSTR,1,0,0,0,2,0.0,0.0,1.0,0.0,0.0,255,2,0.01,0.64,0.0,0.0,0.0,1.0,1,27184.0
ecr_i,SF,1032,0,0,0,500,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,1,21091.0
systat,S0,0,0,0,0,263,1.0,1.0,0.03,0.07,0.0,255,12,0.05,0.08,0.0,1.0,1.0,0.0,1,75437.0
private,S0,0,0,0,0,144,1.0,1.0,0.1,0.06,0.0,255,33,0.13,0.05,0.0,1.0,1.0,0.0,1,48047.0
http,S0,0,0,0,0,1,1.0,1.0,1.0,0.0,0.0,255,61,0.24,0.02,0.0,1.0,1.0,0.0,1,109323.0
finger,S0,0,0,0,0,42,1.0,1.0,0.29,0.1,0.0,255,62,0.24,0.02,0.0,1.0,1.0,0.0,1,53273.0
http,SF,282,578,0,1,34,0.0,0.0,1.0,0.0,0.0,34,255,1.0,0.0,0.04,0.0,0.0,0.0,0,58865.0
http,REJ,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,3,253,1.0,0.0,0.16,0.0,0.0,0.59,0,117983.0
other,REJ,0,0,0,0,354,0.09,0.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.09,0.0,1.0,1,89246.0
http,SF,264,10336,0,1,1,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,95670.0
private,SF,207,0,0,0,2,0.0,0.0,1.0,0.0,0.0,120,104,0.87,0.02,0.0,0.0,0.0,0.0,1,120823.0
http,SF,167,2619,0,1,25,0.0,0.0,1.0,0.0,0.0,49,255,1.0,0.0,0.03,0.0,0.0,0.0,0,12108.0
http,SF,277,308,0,1,9,0.0,0.0,1.0,0.0,0.23,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,125841.0
http_443,S0,0,0,0,0,114,1.0,1.0,0.18,0.05,0.0,255,14,0.05,0.07,0.0,1.0,1.0,0.0,1,6465.0
http,SF,247,589,0,1,7,0.0,0.0,1.0,0.0,0.06,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,6943.0
other,RSTR,1,0,0,0,2,0.0,0.0,1.0,0.0,0.0,255,2,0.01,0.68,0.0,0.0,0.0,1.0,1,40622.0
eco_i,SF,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,2,36,1.0,0.0,0.5,0.0,0.0,0.0,1,49744.0
http,SF,217,2840,0,1,8,0.0,0.0,1.0,0.0,0.0,76,255,1.0,0.0,0.04,0.0,0.0,0.0,0,91104.0
time,S0,0,0,0,0,293,1.0,1.0,0.02,0.06,0.0,255,6,0.02,0.06,0.0,1.0,1.0,0.0,1,9089.0
smtp,SF,1163,489,0,1,1,0.0,0.0,1.0,0.0,0.0,255,121,0.47,0.02,0.0,0.47,0.5,0.0,0,7430.0
private,S0,0,0,0,0,225,1.0,1.0,0.04,0.06,0.0,255,9,0.04,0.07,0.0,1.0,1.0,0.0,1,62680.0
private,SF,1,0,0,0,19,0.0,0.0,0.58,0.21,0.0,255,11,0.04,0.22,0.0,0.0,0.0,0.0,1,93379.0
http,SF,344,269,0,1,5,0.0,0.0,1.0,0.0,0.0,169,255,1.0,0.0,0.02,0.01,0.01,0.08,0,57865.0
http,SF,286,383,0,1,2,0.0,0.0,1.0,0.0,0.36,2,255,1.0,0.0,0.01,0.0,0.0,0.0,0,113801.0
ecr_i,SF,30,0,0,0,1,0.0,0.0,1.0,0.0,0.0,172,172,1.0,0.0,0.0,0.0,0.0,0.0,0,76054.0
http,SF,190,2543,0,1,5,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,38281.0
http,SF,221,1193,0,1,28,0.0,0.0,1.0,0.0,0.1,28,255,1.0,0.0,0.03,0.0,0.0,0.0,0,69117.0
http,SF,232,765,0,1,4,0.25,0.25,1.0,0.0,0.0,75,95,1.0,0.0,0.04,0.03,0.02,0.0,0,17167.0
private,S0,0,0,0,0,115,1.0,1.0,0.02,0.06,0.0,255,5,0.02,0.06,0.0,1.0,1.0,0.0,1,25764.0
telnet,S0,0,0,0,0,36,1.0,1.0,0.33,0.08,0.0,255,69,0.27,0.02,0.0,1.0,1.0,0.0,1,61288.0
http,SF,225,761,0,1,1,0.0,0.0,1.0,0.0,0.75,16,255,1.0,0.0,0.03,0.0,0.0,0.0,0,53644.0
http,SF,193,3101,0,1,29,0.0,0.0,1.0,0.0,0.09,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,46827.0
http,SF,306,1140,0,1,11,0.0,0.0,1.0,0.0,0.17,81,255,1.0,0.0,0.02,0.0,0.0,0.0,0,52368.0
http,S0,0,0,0,0,20,0.95,1.0,0.25,0.25,0.0,255,41,0.16,0.04,0.0,1.0,1.0,0.0,1,90058.0
http,SF,315,1086,0,1,8,0.0,0.0,1.0,0.0,0.24,255,255,1.0,0.0,0.0,0.01,0.01,0.0,0,2023.0
ecr_i,SF,1032,0,0,0,327,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,1,26288.0
other,SF,147,105,0,0,1,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.84,0.0,0.0,0.0,0.0,0,38642.0
http,REJ,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,5,64,1.0,0.0,0.22,0.0,0.0,1.0,0,78683.0
http,SF,226,3709,0,1,24,0.0,0.0,1.0,0.0,0.08,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,1349.0
http,SF,303,2239,0,1,6,0.0,0.0,1.0,0.0,0.29,255,248,0.97,0.01,0.0,0.0,0.0,0.01,0,29611.0
telnet,S0,0,0,0,0,28,0.96,1.0,0.25,0.11,0.0,255,2,0.01,0.06,0.0,1.0,1.0,0.0,1,64837.0
private,S0,0,0,0,0,253,1.0,1.0,0.04,0.06,0.0,255,8,0.03,0.09,0.0,1.0,1.0,0.0,1,96259.0
bgp,REJ,0,0,0,0,207,0.0,0.0,0.01,0.07,0.0,255,3,0.01,0.08,0.0,0.0,0.0,1.0,1,110695.0
smtp,SF,1812,325,0,1,1,0.0,0.0,1.0,0.0,0.0,174,152,0.65,0.03,0.01,0.0,0.01,0.0,0,108859.0
http,SF,241,1400,0,1,33,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,29.0
private,REJ,0,0,0,0,107,0.0,0.0,0.07,0.07,0.0,8,8,1.0,0.0,0.0,0.0,0.0,1.0,1,16293.0
eco_i,SF,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,255,1.0,0.0,0.25,0.0,0.0,0.0,1,16097.0
http,SF,202,4798,0,1,14,0.0,0.0,1.0,0.0,0.0,137,255,1.0,0.0,0.02,0.0,0.0,0.0,0,2328.0
http,SF,276,327,0,1,2,0.0,0.0,1.0,0.0,0.14,9,255,1.0,0.0,0.01,0.0,0.0,0.0,0,57374.0
private,S0,0,0,0,0,282,1.0,1.0,0.05,0.06,0.0,255,1,0.0,0.08,0.0,1.0,1.0,0.0,1,40148.0
private,S0,0,0,0,0,245,1.0,1.0,0.03,0.07,0.0,255,7,0.03,0.07,0.0,1.0,1.0,0.0,1,66995.0
private,REJ,0,0,0,0,228,0.0,0.0,0.08,0.06,0.0,255,18,0.07,0.06,0.0,0.0,0.0,1.0,1,103095.0
domain_u,SF,42,131,0,0,80,0.0,0.0,1.0,0.0,0.01,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0,468.0
private,S0,0,0,0,0,132,1.0,1.0,0.17,0.05,0.0,255,3,0.01,0.05,0.0,1.0,1.0,0.0,1,105887.0
ldap,REJ,0,0,0,0,130,0.0,0.0,0.04,0.07,0.0,255,5,0.02,0.07,0.0,0.0,0.0,1.0,1,55330.0
private,S0,0,0,0,0,140,1.0,1.0,0.06,0.06,0.0,255,11,0.04,0.06,0.0,1.0,1.0,0.0,1,29774.0
efs,REJ,0,0,0,0,121,0.0,0.0,0.14,0.07,0.0,255,17,0.07,0.07,0.0,0.0,0.0,1.0,1,42979.0
domain_u,SF,44,131,0,0,184,0.0,0.0,1.0,0.0,0.01,255,253,0.99,0.01,0.0,0.0,0.0,0.0,0,53408.0
private,REJ,0,0,0,0,97,0.0,0.0,0.18,0.07,0.0,255,17,0.07,0.06,0.0,0.0,0.0,1.0,1,32415.0
finger,SF,9,284,0,0,1,0.0,0.0,1.0,0.0,0.0,204,13,0.04,0.03,0.15,0.0,0.0,0.0,0,26588.0
nnsp,REJ,0,0,0,0,83,0.0,0.0,0.19,0.07,0.0,255,16,0.06,0.07,0.0,0.0,0.0,1.0,1,88102.0
http,SF,209,171,0,1,5,0.0,0.0,1.0,0.0,0.0,5,255,1.0,0.0,0.01,0.0,0.0,0.0,0,18868.0
http,SF,285,1178,0,1,2,0.0,0.0,1.0,0.0,0.0,11,14,1.0,0.0,0.14,0.09,0.07,0.0,0,67190.0
vmnet,S0,0,0,0,0,257,1.0,1.0,0.08,0.07,0.0,255,20,0.08,0.08,0.0,1.0,1.0,0.0,1,76034.0
private,S0,0,0,0,0,208,1.0,1.0,0.03,0.06,0.0,255,7,0.03,0.08,0.0,1.0,1.0,0.0,1,48075.0
eco_i,SF,18,0,0,0,1,0.0,0.0,1.0,0.0,0.0,1,184,1.0,0.0,1.0,0.0,0.0,0.0,1,19066.0
ftp_data,SF,7162,0,0,1,8,0.0,0.0,1.0,0.0,0.0,255,25,0.1,0.02,0.0,0.0,0.0,0.0,0,39645.0
uucp_path,REJ,0,0,0,0,141,0.0,0.0,0.11,0.06,0.0,255,4,0.02,0.06,0.0,0.0,0.0,1.0,1,26294.0
http,SF,166,6408,0,1,1,0.0,0.0,1.0,0.0,0.0,7,255,1.0,0.0,0.02,0.0,0.0,0.0,0,123064.0
ecr_i,SF,520,0,0,0,373,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,1,19002.0
ftp,SF,238,767,0,1,1,0.0,0.0,1.0,0.0,0.0,44,26,0.59,0.09,0.0,0.0,0.0,0.0,0,54305.0
private,S0,0,0,0,0,107,1.0,1.0,0.19,0.06,0.0,255,19,0.07,0.06,0.0,1.0,1.0,0.0,1,4423.0
http,SF,242,336,0,1,8,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,37848.0
smtp,SF,935,333,0,1,1,0.0,0.0,1.0,0.0,0.0,7,133,1.0,0.0,0.02,0.0,0.0,0.0,0,43157.0
netbios_dgm,S0,0,0,0,0,203,1.0,1.0,0.11,0.05,0.0,255,22,0.09,0.06,0.0,1.0,1.0,0.0,1,100217.0
domain_u,SF,46,78,0,0,139,0.0,0.0,1.0,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0,12801.0
http,SF,206,2543,0,1,8,0.0,0.0,1.0,0.0,0.22,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,109339.0
