protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
tcp,ftp_data,SF,10044,0,0,0,23825.0
tcp,http,SF,317,896,0,0,56139.0
tcp,http,SF,213,9963,0,0,14295.0
tcp,private,S0,0,0,0,1,30483.0
tcp,http,S0,0,0,0,1,2259.0
tcp,http,REJ,0,0,0,0,37626.0
tcp,systat,S0,0,0,0,1,38077.0
udp,domain_u,SF,42,42,0,0,17925.0
tcp,private,S0,0,0,0,1,14734.0
tcp,hostnames,REJ,0,0,0,1,4878.0
tcp,http,SF,378,209,0,0,115273.0
tcp,ldap,S0,0,0,0,1,9546.0
tcp,private,REJ,0,0,0,1,23515.0
icmp,eco_i,SF,8,0,0,1,88834.0
tcp,whois,S0,0,0,0,1,70376.0
tcp,http,SF,205,4849,0,0,80826.0
tcp,netbios_ns,S0,0,0,0,1,74068.0
udp,domain_u,SF,44,44,0,0,96235.0
tcp,smtp,S0,0,0,0,0,52661.0
udp,domain_u,SF,42,71,0,0,29456.0
tcp,supdup,S0,0,0,0,1,87166.0
tcp,private,S0,0,0,0,1,110952.0
tcp,smtp,SF,761,332,0,0,39827.0
tcp,http,SF,305,181,0,0,107058.0
tcp,private,REJ,0,0,0,1,40021.0
tcp,http,SF,54540,8314,0,1,59585.0
tcp,ftp_data,SF,5319,0,0,0,16233.0
tcp,ftp_data,SF,71,0,0,0,109869.0
tcp,netstat,S0,0,0,0,1,11967.0
tcp,ftp_data,SF,5929,0,0,0,66741.0
tcp,http,SF,302,1548,0,0,64682.0
tcp,private,REJ,0,0,0,1,3412.0
tcp,private,S0,0,0,0,1,89766.0
tcp,http,SF,180,13176,0,0,94909.0
tcp,http,SF,54540,8314,0,1,36860.0
tcp,http,SF,301,1075,0,0,13559.0
tcp,http,SF,263,17377,0,0,91458.0
udp,private,SF,105,147,0,0,108320.0
icmp,urp_i,SF,78,0,0,0,14957.0
tcp,uucp,S0,0,0,0,1,17873.0
tcp,private,S0,0,0,0,1,108788.0
tcp,other,RSTR,1,0,0,1,117069.0
tcp,http,SF,302,4896,0,0,91877.0
tcp,http,SF,213,1395,0,0,79703.0
tcp,klogin,REJ,0,0,0,1,43485.0
tcp,private,S0,0,0,0,1,37942.0
tcp,Z39_50,REJ,0,0,0,1,68994.0
tcp,ssh,REJ,0,0,0,1,69730.0
tcp,http,SF,317,1175,0,0,105006.0
tcp,http,SF,54540,8314,0,1,55941.0
tcp,http,SF,198,1204,0,0,85173.0
icmp,ecr_i,SF,520,0,0,1,42312.0
tcp,imap4,S0,0,0,0,1,114857.0
tcp,http,SF,235,1380,0,0,6144.0
tcp,http,SF,178,7427,0,0,52239.0
tcp,http,SF,213,169,0,0,60575.0
tcp,http,SF,224,774,0,0,23524.0
tcp,http,SF,54540,8314,0,1,75481.0
tcp,http,SF,176,1533,0,0,73326.0
