fixed acidity,"volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol",classe,posicaoOriginal
10.1,0.27,0.54,2.3,0.065,7,26,0.99531,3.17,0.53,12.5,6,794.0
10.7,0.46,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5,5,329.0
5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,7,802.0
6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6,859.0
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5,1.0
8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12,6,1217.0
11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,5,619.0
8.9,0.38,0.4,2.2,0.068,12,28,0.99486,3.27,0.75,12.6,7,1016.0
7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6,36.0
10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,5,368.0
7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5,893.0
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,4.0
8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5,262.0
11.7,0.45,0.63,2.2,0.073,7,23,0.99974,3.21,0.69,10.9,6,1454.0
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,277.0
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6,108.0
7.2,0.62,0.01,2.3,0.065,8,46,0.99332,3.32,0.51,11.8,6,1351.0
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5,1152.0
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7,244.0
8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5,15.0
9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,5,691.0
7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7,1468.0
11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5,5,1285.0
7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,5,253.0
7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7,281.0
7.4,0.47,0.46,2.2,0.114,7,20,0.99647,3.32,0.63,10.5,5,1518.0
10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,6,534.0
7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5,519.0
7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,5,258.0
8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,5,620.0
7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,4,724.0
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6,1412.0
6,0.54,0.06,1.8,0.05,38,89,0.99236,3.3,0.5,10.55,6,1456.0
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5,10.0
7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5,352.0
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,1326.0
7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5,61.0
8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,6,628.0
6.8,0.57,0,2.5,0.072,32,64,0.99491,3.43,0.56,11.2,6,888.0
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,236.0
5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,6,1300.0
10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,5,327.0
5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6,1316.0
6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8,6,1498.0
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5,435.0
10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,7,443.0
6.8,0.915,0.29,4.8,0.07,15,39,0.99577,3.53,0.54,11.1,5,1437.0
7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,6,1117.0
8,0.3,0.63,1.6,0.081,16,29,0.99588,3.3,0.78,10.8,6,1576.0
7.2,0.48,0.07,5.5,0.089,10,18,0.99684,3.37,0.68,11.2,7,1133.0
5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,5,146.0
8.9,0.35,0.4,3.6,0.11,12,24,0.99549,3.23,0.7,12,7,1008.0
12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,7,657.0
9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,5,981.0
9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,5,542.0
15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,7,442.0
7,0.62,0.1,1.4,0.071,27,63,0.996,3.28,0.61,9.2,5,1309.0
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,268.0
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6,251.0
7.2,0.39,0.32,1.8,0.065,34,60,0.99714,3.46,0.78,9.9,5,1539.0
8,0.52,0.25,2,0.078,19,59,0.99612,3.3,0.48,10.2,5,1393.0
6.4,0.63,0.21,1.6,0.08,12,32,0.99689,3.58,0.66,9.8,5,849.0
7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5,147.0
10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7,259.0
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6,241.0
8.3,0.3,0.49,3.8,0.09,11,24,0.99498,3.27,0.64,12.1,7,944.0
9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,6,479.0
7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,1200.0
7.6,0.715,0,2.1,0.068,30,35,0.99533,3.48,0.65,11.4,6,881.0
8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5,758.0
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5,485.0
7.4,0.25,0.29,2.2,0.054,19,49,0.99666,3.4,0.76,10.9,7,1541.0
8.9,0.32,0.31,2,0.088,12,19,0.9957,3.17,0.55,10.4,6,1011.0
7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6,1196.0
10.1,0.28,0.46,1.8,0.05,5,13,0.9974,3.04,0.79,10.2,6,663.0
11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6,280.0
8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6,884.0
7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5,221.0
7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5,63.0
11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,6,403.0
6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,6,1268.0
6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,5,841.0
6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,6,1195.0
11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6,212.0
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,171.0
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,65.0
7.5,0.6,0.32,2.7,0.103,13,98,0.99938,3.45,0.62,9.5,5,767.0
10.6,1.025,0.43,2.8,0.08,21,84,0.9985,3.06,0.57,10.1,5,710.0
7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7,62.0
8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6,1275.0
7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5,89.0
10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5,812.0
7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6,701.0
7.9,0.4,0.3,1.8,0.157,2,45,0.99727,3.31,0.91,9.5,6,774.0
7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,5,646.0
10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,6,533.0
9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,5,256.0
7,0.655,0.16,2.1,0.074,8,25,0.99606,3.37,0.55,9.7,5,1485.0
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5,656.0
9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,5,738.0
11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,5,462.0
6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,6,168.0
7.7,0.64,0.21,2.2,0.077,32,133,0.9956,3.27,0.45,9.9,5,1419.0
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5,80.0
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7,243.0
9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,7,873.0
6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5,175.0
7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,9.6,6,585.0
11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7,1068.0
8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,7,1134.0
6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,6,1540.0
8.3,0.34,0.4,2.4,0.065,24,48,0.99554,3.34,0.86,11,6,965.0
8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,6,361.0
9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,5,786.0
5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2,6,1595.0
6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,6,1094.0
6.9,0.57,0,2.8,0.081,21,41,0.99518,3.41,0.52,10.8,5,1349.0
6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,4,1423.0
11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,6,376.0
8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,5,469.0
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5,592.0
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6,59.0
8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,6,960.0
6.9,0.49,0.19,1.7,0.079,13,26,0.99547,3.38,0.64,9.8,6,1041.0
8.5,0.66,0.2,2.1,0.097,23,113,0.99733,3.13,0.48,9.2,5,967.0
6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,5,670.0
9,0.38,0.41,2.4,0.103,6,10,0.99604,3.13,0.58,11.9,7,966.0
8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,6,737.0
7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,6,1379.0
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,76.0
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5,529.0
6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7,836.0
5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,6,1432.0
7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,7,1081.0
6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,5,1346.0
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5,1155.0
6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5,1516.0
10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,4,633.0
6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6,868.0
5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8,390.0
7.3,0.74,0.08,1.7,0.094,10,45,0.99576,3.24,0.5,9.8,5,1366.0
7.2,0.25,0.37,2.5,0.063,11,41,0.99439,3.52,0.8,12.4,7,1192.0
6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6,1596.0
12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,5,394.0
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,271.0
7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6,1318.0
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5,1579.0
6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2,5,742.0
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5,67.0
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,1327.0
6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7,837.0
6.1,0.705,0.1,2.8,0.081,13,28,0.99631,3.6,0.66,10.2,5,1531.0
7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,6,101.0
8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6,922.0
6.6,0.58,0.02,2,0.062,37,53,0.99374,3.35,0.76,11.6,7,1452.0
6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9,6,1410.0
7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5,1386.0
8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,5,678.0
8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5,109.0
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,142.0
