service,flag,src_bytes,dst_bytes,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,classe,posicaoOriginal
40,9,146,105,0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0,77141.0
22,9,233,540,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,7927.0
22,9,54540,8314,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,53985.0
22,1,0,0,0,0.0,0.0,1.0,0.0,0.11,0.0,0.0,1,40584.0
22,9,229,2325,1,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,90668.0
13,9,8,0,0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1,70127.0
31,5,0,0,0,1.0,1.0,0.02,0.06,0.0,1.0,1.0,1,47235.0
22,9,280,2449,1,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,58609.0
22,9,246,350,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,34555.0
60,9,181,0,0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0,34905.0
22,9,157,41901,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,20506.0
49,9,2645,332,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,17168.0
55,9,84,153,0,0.0,0.0,1.0,0.0,0.0,0.03,0.33,0,117041.0
45,5,0,0,0,1.0,1.0,0.22,0.05,0.0,1.0,1.0,1,63109.0
45,5,0,0,0,1.0,1.0,0.11,0.07,0.0,1.0,1.0,1,7290.0
45,1,0,0,0,0.0,0.0,0.05,0.07,0.0,0.0,0.0,1,27784.0
22,9,337,222,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,10684.0
11,9,44,70,0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0,100010.0
22,9,293,306,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,44109.0
22,9,324,3330,1,0.0,0.0,1.0,0.0,0.22,0.0,0.0,0,87721.0
13,9,8,0,0,0.0,0.0,1.0,0.0,0.57,0.0,0.0,1,35426.0
45,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,82415.0
