protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1.0,23.0,9.0,278.0,6546.0,0.0,0.0,123951.0
1.0,18.0,5.0,0.0,0.0,0.0,1.0,40790.0
1.0,23.0,9.0,198.0,2656.0,0.0,0.0,2615.0
1.0,23.0,9.0,196.0,2168.0,0.0,0.0,36141.0
1.0,23.0,6.0,227.0,32120.0,0.0,0.0,67302.0
1.0,23.0,9.0,322.0,4902.0,0.0,0.0,30334.0
1.0,23.0,9.0,220.0,1241.0,0.0,0.0,102310.0
1.0,23.0,9.0,252.0,1597.0,0.0,0.0,38020.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,95290.0
1.0,23.0,9.0,209.0,2198.0,0.0,0.0,81837.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,52955.0
1.0,23.0,9.0,210.0,1888.0,0.0,0.0,7813.0
1.0,18.0,5.0,0.0,0.0,0.0,1.0,21784.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,34425.0
1.0,22.0,5.0,0.0,0.0,0.0,1.0,49618.0
1.0,23.0,9.0,331.0,1397.0,0.0,0.0,118305.0
1.0,23.0,9.0,236.0,1556.0,0.0,0.0,70121.0
1.0,32.0,5.0,0.0,0.0,0.0,1.0,35637.0
1.0,21.0,1.0,0.0,0.0,0.0,1.0,9326.0
1.0,23.0,9.0,164.0,12513.0,0.0,0.0,56430.0
1.0,21.0,5.0,0.0,0.0,0.0,1.0,85944.0
2.0,46.0,9.0,1.0,0.0,0.0,1.0,86172.0
1.0,23.0,9.0,224.0,5705.0,0.0,0.0,95618.0
1.0,23.0,9.0,263.0,3112.0,0.0,0.0,119640.0
1.0,27.0,5.0,0.0,0.0,0.0,1.0,33134.0
2.0,46.0,9.0,28.0,0.0,0.0,1.0,52128.0
1.0,23.0,9.0,195.0,1274.0,0.0,0.0,43123.0
1.0,27.0,1.0,0.0,0.0,0.0,1.0,46634.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,41310.0
1.0,27.0,5.0,0.0,0.0,0.0,1.0,3210.0
1.0,23.0,9.0,221.0,5674.0,0.0,0.0,49523.0
1.0,23.0,9.0,290.0,4171.0,0.0,0.0,114012.0
1.0,23.0,9.0,228.0,11764.0,0.0,0.0,53367.0
1.0,23.0,9.0,205.0,6692.0,0.0,0.0,90915.0
1.0,7.0,1.0,0.0,0.0,0.0,1.0,54996.0
1.0,23.0,9.0,222.0,1408.0,0.0,0.0,42642.0
1.0,23.0,9.0,194.0,15965.0,0.0,0.0,18870.0
1.0,23.0,9.0,220.0,21953.0,0.0,0.0,96149.0
1.0,23.0,9.0,200.0,1912.0,0.0,0.0,71320.0
1.0,23.0,9.0,305.0,2157.0,0.0,0.0,95731.0
1.0,19.0,2.0,0.0,0.0,0.0,0.0,72805.0
1.0,24.0,1.0,0.0,0.0,0.0,1.0,81020.0
1.0,23.0,9.0,290.0,1704.0,0.0,0.0,1108.0
1.0,23.0,9.0,196.0,5548.0,0.0,0.0,7681.0
1.0,23.0,9.0,228.0,2507.0,0.0,0.0,40588.0
1.0,31.0,5.0,0.0,0.0,0.0,1.0,47402.0
1.0,42.0,1.0,0.0,0.0,0.0,1.0,79395.0
1.0,23.0,9.0,255.0,1615.0,0.0,0.0,10132.0
1.0,23.0,9.0,321.0,1735.0,0.0,0.0,21042.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,116192.0
1.0,18.0,5.0,0.0,0.0,0.0,1.0,62656.0
1.0,23.0,9.0,221.0,48336.0,0.0,0.0,73485.0
1.0,23.0,9.0,230.0,7431.0,0.0,0.0,92414.0
1.0,33.0,5.0,0.0,0.0,0.0,1.0,25685.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,20308.0
