protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1,19,9,852,0,0,0,63220.0
0,13,9,8,0,0,1,58800.0
1,46,1,0,0,0,1,103608.0
1,61,5,0,0,0,1,571.0
1,46,5,0,0,0,1,108403.0
1,50,9,927,329,0,0,62468.0
1,0,4,2011,9582,0,0,117079.0
1,23,1,0,0,0,0,33590.0
2,11,9,42,42,0,0,81799.0
1,23,9,160,95,0,0,98323.0
1,23,9,208,15642,0,0,2205.0
1,17,5,0,0,0,1,55369.0
1,10,5,0,0,0,1,34941.0
1,46,9,6,0,0,1,113385.0
1,46,4,0,0,0,1,94186.0
1,45,5,0,0,0,1,81019.0
2,11,9,46,146,0,0,17062.0
1,4,1,0,0,0,1,75366.0
2,11,9,44,44,0,0,49725.0
1,46,1,0,0,0,1,38370.0
1,23,9,283,3170,0,0,39089.0
1,50,9,1409,334,0,0,124508.0
1,23,9,275,525,0,0,74525.0
0,13,9,8,0,0,1,61412.0
1,62,1,0,0,0,1,3762.0
1,23,9,220,5860,0,0,83790.0
1,23,9,319,6534,0,0,4417.0
1,23,9,295,2483,0,0,113468.0
2,11,9,42,29,0,0,114444.0
1,23,9,263,2618,0,0,37235.0
1,23,9,215,597,0,0,2530.0
1,19,9,175337,0,0,0,14717.0
1,23,9,238,2202,0,0,125372.0
1,7,3,0,0,0,1,105710.0
1,50,9,507,283,0,0,84092.0
1,50,9,1346,331,0,0,14035.0
1,23,1,0,0,0,0,104598.0
1,41,4,1,0,0,1,83652.0
1,46,1,0,0,0,1,20922.0
1,19,5,0,0,0,1,26556.0
1,56,9,800,459008,0,0,26945.0
1,23,9,191,3011,0,0,123418.0
1,46,5,0,0,0,1,76655.0
1,46,5,0,0,0,1,37917.0
1,19,9,2194619,0,0,0,53161.0
1,50,5,0,0,0,1,38184.0
0,13,9,8,0,0,1,18338.0
1,19,5,0,0,0,1,64320.0
1,46,5,0,0,0,1,43751.0
1,23,9,251,255,0,0,20023.0
2,46,9,105,145,0,0,7050.0
1,36,5,0,0,0,1,24578.0
1,46,5,0,0,0,1,6607.0
1,50,9,1609,333,0,0,82251.0
1,23,9,226,312,0,0,2668.0
1,23,9,182,9961,0,0,90220.0
2,11,9,91,0,0,0,8353.0
2,41,9,1,0,0,1,63883.0
1,46,5,0,0,0,1,101158.0
1,52,5,0,0,0,1,87323.0
1,22,5,0,0,0,1,16911.0
1,46,5,0,0,0,1,24499.0
1,20,5,0,0,0,1,69716.0
1,55,5,0,0,0,1,112511.0
1,23,9,235,695,0,0,9330.0
2,11,9,44,68,0,0,59183.0
1,50,9,1100,332,0,0,26049.0
1,19,9,59,0,0,0,18031.0
1,23,9,54540,8314,0,0,117142.0
1,6,5,0,0,0,1,125514.0
2,11,9,44,78,0,0,32876.0
1,23,9,288,352,0,0,89374.0
1,61,5,0,0,0,1,71620.0
1,46,1,0,0,0,1,123813.0
1,23,9,295,771,0,0,36188.0
1,23,9,157,9185,0,0,85711.0
1,23,9,316,8272,0,0,104722.0
1,23,9,333,2408,0,0,99789.0
1,46,5,0,0,0,1,927.0
1,56,5,0,0,0,1,10893.0
2,46,9,105,146,0,0,3994.0
2,11,9,44,79,0,0,53996.0
1,39,5,0,0,0,1,26198.0
1,46,1,0,0,0,1,46928.0
1,20,5,0,0,0,1,27389.0
1,3,5,0,0,0,1,67257.0
2,11,9,45,133,0,0,103260.0
1,46,1,0,0,0,1,91106.0
1,23,9,193,1678,0,0,29209.0
1,46,5,0,0,0,1,46817.0
1,23,9,185,584,0,0,32628.0
2,11,9,45,142,0,0,5803.0
1,46,5,0,0,0,1,85025.0
0,13,9,18,0,0,1,10408.0
0,13,9,8,0,0,1,123791.0
2,11,9,45,129,0,0,74156.0
1,20,5,0,0,0,1,48202.0
1,23,9,213,1395,0,0,79703.0
1,64,5,0,0,0,1,159.0
1,17,9,9,221,0,0,101995.0
0,13,9,8,0,0,1,26766.0
1,46,4,1,0,0,1,37520.0
1,35,5,0,0,0,1,16980.0
2,11,9,44,72,0,0,2801.0
0,13,9,8,0,0,1,96763.0
2,46,9,105,0,0,0,28390.0
1,46,4,0,0,0,1,90278.0
1,23,9,199,4729,0,0,57074.0
1,52,1,0,0,0,1,93696.0
2,11,9,45,45,0,0,10475.0
1,23,9,328,337,0,0,30888.0
1,19,5,0,0,0,1,22931.0
1,48,1,0,0,0,1,81863.0
1,46,5,0,0,0,1,17028.0
1,23,9,230,6804,0,0,40467.0
1,50,9,1583,333,0,0,120099.0
1,19,9,567,0,0,0,60511.0
1,26,5,0,0,0,1,87845.0
2,41,9,147,105,0,0,7915.0
1,56,9,76,886,0,0,49350.0
1,32,5,0,0,0,1,11535.0
1,46,5,0,0,0,1,18254.0
1,46,5,0,0,0,1,57628.0
0,14,9,30,0,0,0,55393.0
1,46,5,0,0,0,1,56786.0
1,23,9,242,184,0,0,119065.0
1,50,9,1361,328,0,0,80175.0
1,23,9,294,18865,0,0,40160.0
1,23,9,284,810,0,0,34983.0
1,23,9,237,986,0,0,99415.0
1,46,1,0,0,0,1,96709.0
1,23,9,156,1493,0,0,10527.0
2,41,9,147,0,0,0,73123.0
1,23,9,232,8153,0,0,3.0
1,46,5,0,0,0,1,10558.0
0,14,9,1032,0,0,0,103052.0
1,23,9,222,2460,0,0,39225.0
1,50,9,1028,326,0,0,46264.0
0,13,9,18,0,0,1,32158.0
1,46,5,0,0,0,1,59271.0
0,13,9,8,0,0,1,8914.0
1,46,5,0,0,0,1,90148.0
1,46,5,0,0,0,1,10802.0
1,23,9,245,511,0,0,61623.0
1,46,1,0,0,0,1,4550.0
1,62,5,0,0,0,1,29122.0
1,23,9,330,8134,0,0,51684.0
1,23,9,231,3396,0,0,71585.0
1,23,9,210,304,0,0,58149.0
1,61,5,0,0,0,1,54926.0
1,17,5,0,0,0,1,49978.0
1,50,9,742,329,0,0,12646.0
1,23,9,184,3763,0,0,48203.0
1,50,9,11832,1552,0,0,50417.0
1,7,5,0,0,0,1,66223.0
1,23,9,235,454,0,0,91674.0
1,56,5,0,0,0,1,75815.0
1,23,9,218,434,0,0,34745.0
2,46,9,1,0,0,1,19246.0
1,19,9,373,0,0,0,106955.0
1,23,9,229,392,0,0,110902.0
1,23,9,277,308,0,0,19319.0
1,17,5,0,0,0,1,114899.0
1,46,5,0,0,0,1,43926.0
1,17,5,0,0,0,1,75311.0
1,46,1,0,0,0,1,2268.0
1,19,5,0,0,0,1,112155.0
1,58,5,0,0,0,1,107051.0
1,41,5,0,0,0,1,59448.0
1,24,5,0,0,0,1,37941.0
1,23,9,235,6638,0,0,121570.0
1,19,9,334,0,0,0,125169.0
1,56,9,292,1970,0,0,15256.0
1,23,4,36256,8314,0,0,87211.0
2,11,9,45,73,0,0,102454.0
1,46,5,0,0,0,1,113809.0
1,28,5,0,0,0,1,101157.0
2,11,9,44,127,0,0,50113.0
1,23,9,149,388,0,0,106939.0
1,46,5,0,0,0,1,84229.0
2,11,9,46,46,0,0,34398.0
0,13,9,30,0,0,0,72747.0
0,60,9,78,0,0,0,59310.0
2,11,9,46,46,0,0,87903.0
1,23,9,224,1065,0,0,41083.0
2,46,9,28,0,0,1,78278.0
0,13,9,8,0,0,1,74226.0
1,3,9,9,35,0,0,52699.0
1,23,1,0,0,0,0,69298.0
1,19,5,0,0,0,1,8152.0
1,23,9,222,391,0,0,86290.0
1,5,1,0,0,0,1,125610.0
1,17,9,10,139,0,0,543.0
1,46,4,0,0,0,1,103032.0
1,46,5,0,0,0,1,13902.0
1,32,5,0,0,0,1,3307.0
1,41,9,35195,0,0,0,80741.0
1,46,1,0,0,0,1,68898.0
1,23,9,346,1978,0,0,51713.0
1,19,9,11,0,0,1,21026.0
1,46,5,0,0,0,1,29945.0
1,23,9,233,1380,0,0,37542.0
1,46,5,0,0,0,1,97875.0
2,11,9,46,112,0,0,4520.0
1,19,9,501760,0,0,0,98401.0
1,23,9,209,3073,0,0,49513.0
1,23,9,191,649,0,0,78731.0
1,23,9,310,573,0,0,111288.0
1,23,1,0,0,0,0,41497.0
1,50,9,737,334,0,0,3601.0
1,22,5,0,0,0,1,105364.0
1,19,9,252,0,0,0,85433.0
1,50,1,0,0,0,1,113133.0
1,46,5,0,0,0,1,78542.0
1,23,9,209,1160,0,0,93278.0
1,23,5,0,0,0,1,35056.0
1,33,5,0,0,0,1,70521.0
1,4,5,0,0,0,1,15874.0
1,23,9,223,2459,0,0,124366.0
1,44,5,0,0,0,1,56071.0
1,23,9,287,1967,0,0,32879.0
1,46,5,0,0,0,1,95174.0
1,23,9,235,458,0,0,83447.0
1,38,5,0,0,0,1,12831.0
1,23,9,230,299,0,0,34706.0
1,46,5,0,0,0,1,54268.0
1,6,5,0,0,0,1,46205.0
1,23,9,331,8720,0,0,95485.0
1,63,5,0,0,0,1,12772.0
1,50,9,583,323,0,0,9140.0
1,23,9,225,4291,0,0,30000.0
1,23,9,243,1053,0,0,51481.0
1,28,1,0,0,0,1,8801.0
2,41,9,147,0,0,0,103984.0
