service,flag,src_bytes,dst_bytes,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,classe,posicaoOriginal
http,SF,351,3518,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,26238.0
domain_u,SF,42,42,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,15217.0
http,SF,262,13603,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,82164.0
domain_u,SF,45,72,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,37748.0
netbios_dgm,S0,0,0,0,1.0,1.0,0.03,0.06,0.0,1.0,1.0,1,5031.0
courier,S0,0,0,0,1.0,1.0,0.11,0.06,0.0,1.0,1.0,1,99141.0
http,SF,251,426,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,70362.0
ecr_i,SF,1480,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,96556.0
http,SF,306,3222,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,35384.0
private,S0,0,0,0,1.0,1.0,0.14,0.07,0.0,1.0,1.0,1,94520.0
private,S0,0,0,0,1.0,1.0,0.16,0.05,0.0,1.0,1.0,1,77700.0
private,REJ,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,45144.0
smtp,SF,3057,343,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,21461.0
smtp,SF,1069,335,1,0.0,0.0,1.0,0.0,0.01,0.01,0.01,0,67554.0
urp_i,SF,183,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,8592.0
eco_i,SF,8,0,0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1,46316.0
http,SF,317,74301,1,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,103836.0
daytime,S0,0,0,0,1.0,1.0,0.06,0.05,0.0,1.0,1.0,1,65314.0
time,S0,0,0,0,1.0,1.0,0.05,0.05,0.0,1.0,1.0,1,62244.0
http,SF,306,923,1,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,54044.0
http,SF,200,294,1,0.0,0.0,1.0,0.0,0.05,0.01,0.01,0,92356.0
http,SF,205,2543,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,24917.0
http,SF,214,1367,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,1615.0
http,SF,268,4740,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,17393.0
other,SF,147,0,0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0,71054.0
http,SF,208,3897,1,0.0,0.0,1.0,0.0,0.04,0.0,0.01,0,61914.0
http,SF,186,770,1,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0,54997.0
private,S0,0,0,0,1.0,1.0,0.01,0.08,0.0,1.0,1.0,1,25283.0
ftp_data,SF,1339,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,115033.0
eco_i,SF,8,0,0,0.0,0.0,1.0,0.0,0.51,0.0,0.0,1,37831.0
