service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
13,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,2,166,1.0,0.0,0.25,0.0,0.0,0.0,1,49380.0
11,9,43,72,0,0,134,0.0,0.0,1.0,0.0,0.0,255,224,0.88,0.01,0.0,0.0,0.0,0.0,0,14399.0
22,9,224,347,0,1,6,0.0,0.0,1.0,0.0,0.0,82,255,1.0,0.0,0.05,0.0,0.0,0.0,0,16654.0
13,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,161,1.0,0.0,0.5,0.0,0.0,0.0,1,121516.0
19,9,12165,0,0,1,5,0.0,0.0,1.0,0.0,0.0,251,123,0.48,0.02,0.02,0.0,0.0,0.0,0,69943.0
40,9,516,4,0,0,125,0.0,0.0,1.0,0.0,0.0,125,125,1.0,0.0,0.0,0.0,0.0,0.0,0,89170.0
3,5,0,0,0,0,235,1.0,1.0,0.02,0.06,0.0,255,18,0.07,0.06,0.0,1.0,1.0,0.0,1,58434.0
45,4,1,0,0,0,2,0.0,0.0,1.0,0.0,0.0,255,2,0.01,0.5,0.0,0.0,0.0,1.0,1,5820.0
49,9,1653,330,0,1,1,0.0,0.0,1.0,0.0,0.0,202,169,0.84,0.02,0.0,0.0,0.0,0.0,0,65267.0
22,9,335,7902,0,1,1,0.0,0.0,1.0,0.0,0.0,3,255,1.0,0.0,0.02,0.0,0.0,0.0,0,82902.0
46,5,0,0,0,0,231,1.0,1.0,0.06,0.06,0.0,255,12,0.05,0.07,0.0,1.0,1.0,0.0,1,117444.0
11,9,36,101,0,0,1,0.0,0.0,1.0,0.0,0.0,255,190,0.75,0.01,0.0,0.0,0.0,0.0,0,104477.0
22,9,54540,8314,0,1,2,0.0,0.0,1.0,0.0,0.0,5,5,1.0,0.0,0.0,0.0,0.0,0.0,0,22292.0
53,5,0,0,0,0,263,1.0,1.0,0.06,0.05,0.0,255,15,0.06,0.05,0.0,1.0,1.0,0.0,1,71356.0
22,9,324,1875,0,1,2,0.0,0.0,1.0,0.0,0.0,14,255,1.0,0.0,0.04,0.0,0.01,0.0,0,44954.0
8,2,0,0,0,0,234,0.0,0.0,0.03,0.06,0.0,255,8,0.03,0.07,0.0,0.0,0.0,1.0,1,97857.0
40,9,147,105,0,0,1,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.73,0.0,0.0,0.0,0.0,0,77278.0
45,5,0,0,0,0,130,1.0,1.0,0.04,0.06,0.0,255,16,0.06,0.07,0.0,1.0,1.0,0.0,1,25032.0
22,9,224,1509,0,1,7,0.0,0.0,1.0,0.0,0.36,214,255,1.0,0.0,0.01,0.0,0.0,0.0,0,102352.0
49,9,1138,333,0,1,1,0.0,0.0,1.0,0.0,0.0,166,247,0.96,0.01,0.01,0.0,0.0,0.0,0,81710.0
22,9,219,1056,0,1,4,0.25,0.3,1.0,0.0,0.4,14,255,1.0,0.0,0.08,0.07,0.01,0.01,0,116125.0
14,9,1032,0,0,0,511,0.0,0.0,1.0,0.0,0.0,255,141,0.55,0.02,0.0,0.01,0.0,0.0,1,96938.0
14,9,1032,0,0,0,511,0.0,0.0,1.0,0.0,0.0,255,154,0.6,0.02,0.0,0.0,0.0,0.0,1,76078.0
22,2,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,255,245,0.96,0.01,0.0,0.0,0.0,0.05,0,82031.0
13,9,30,0,0,0,1,0.0,0.0,1.0,0.0,0.0,92,131,1.0,0.0,0.16,0.0,0.0,0.0,0,70827.0
55,9,141,973,0,1,1,0.0,0.0,1.0,0.0,0.0,93,19,0.2,0.04,0.0,0.0,0.0,0.11,0,114336.0
22,9,318,1066,0,1,5,0.0,0.0,1.0,0.0,0.1,76,88,1.0,0.0,0.06,0.01,0.02,0.0,0,81025.0
22,9,307,3222,0,1,1,0.0,0.0,1.0,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0,31141.0
45,1,0,0,0,0,143,0.0,0.0,0.1,0.06,0.0,255,4,0.02,0.06,0.0,0.0,0.0,1.0,1,82239.0
60,5,0,0,0,0,219,1.0,1.0,0.04,0.07,0.0,255,8,0.03,0.07,0.0,1.0,1.0,0.0,1,4797.0
29,5,0,0,0,0,240,1.0,1.0,0.05,0.05,0.0,255,12,0.05,0.06,0.0,1.0,1.0,0.0,1,28115.0
55,9,440,13135,0,1,1,0.0,0.0,1.0,0.0,0.0,255,53,0.21,0.02,0.0,0.53,0.66,0.0,0,63723.0
19,9,748,0,0,0,1,0.0,0.0,1.0,0.0,0.0,208,26,0.12,0.02,0.0,0.0,0.0,0.0,0,19045.0
40,5,0,0,0,0,102,1.0,1.0,0.02,0.07,0.0,255,2,0.01,0.07,0.0,1.0,1.0,0.0,1,61048.0
45,9,215,0,0,0,1,0.0,0.0,1.0,0.0,0.0,27,27,1.0,0.0,0.0,0.0,0.0,0.0,1,3168.0
22,6,217,18864,0,1,1,1.0,1.0,1.0,0.0,0.0,88,250,1.0,0.0,0.13,0.01,0.0,0.5,0,106850.0
45,5,0,0,0,0,272,1.0,1.0,0.06,0.06,0.0,255,1,0.0,0.07,0.0,1.0,1.0,0.0,1,54300.0
49,5,0,0,0,0,103,1.0,1.0,0.22,0.06,0.0,255,6,0.02,0.05,0.0,1.0,1.0,0.0,1,70416.0
45,5,0,0,0,0,100,1.0,1.0,0.05,0.06,0.0,255,4,0.02,0.07,0.0,1.0,1.0,0.0,1,52789.0
45,5,0,0,0,0,152,1.0,1.0,0.04,0.07,0.0,255,6,0.02,0.06,0.0,1.0,1.0,0.0,1,70568.0
23,5,0,0,0,0,4,1.0,1.0,0.5,0.75,0.0,255,2,0.01,0.08,0.0,1.0,1.0,0.0,1,120929.0
45,5,0,0,0,0,101,1.0,1.0,0.07,0.06,0.0,255,8,0.03,0.06,0.0,1.0,1.0,0.0,1,100511.0
45,1,0,0,0,0,88,0.0,0.0,0.19,0.07,0.0,255,17,0.07,0.07,0.0,0.0,0.0,1.0,1,101747.0
25,5,0,0,0,0,205,1.0,1.0,0.04,0.05,0.0,255,9,0.04,0.06,0.0,1.0,1.0,0.0,1,124100.0
19,9,7162,0,0,1,5,0.0,0.0,1.0,0.0,0.0,11,97,1.0,0.0,0.02,0.0,0.01,0.0,0,94170.0
22,9,222,1295,0,1,1,0.0,0.0,1.0,0.0,0.0,22,22,1.0,0.0,0.0,0.0,0.0,0.0,0,5743.0
49,9,2106,365,0,1,1,0.0,0.0,1.0,0.0,1.0,104,200,0.69,0.03,0.01,0.0,0.0,0.0,0,120730.0
22,9,235,1600,0,1,10,0.0,0.0,1.0,0.0,0.21,164,255,1.0,0.0,0.02,0.01,0.01,0.0,0,27665.0
22,9,219,6374,0,1,3,0.0,0.0,1.0,0.0,0.0,22,255,1.0,0.0,0.02,0.05,0.0,0.0,0,121321.0
22,9,215,16372,0,1,2,0.0,0.0,1.0,0.0,0.0,58,255,1.0,0.0,0.04,0.0,0.0,0.0,0,11993.0
45,5,0,0,0,0,146,1.0,1.0,0.03,0.06,0.0,255,8,0.03,0.06,0.0,1.0,1.0,0.0,1,79984.0
17,9,8,138,0,0,1,0.0,0.0,1.0,0.0,0.0,113,2,0.02,0.04,0.0,0.0,0.0,0.0,0,19613.0
24,5,0,0,0,0,230,1.0,1.0,0.04,0.07,0.0,255,11,0.04,0.09,0.0,1.0,1.0,0.0,1,71470.0
11,9,44,125,0,0,87,0.0,0.0,1.0,0.0,0.01,255,249,0.98,0.01,0.0,0.0,0.0,0.0,0,124553.0
49,9,1268,335,0,1,1,0.0,0.0,1.0,0.0,1.0,255,150,0.59,0.02,0.0,0.0,0.0,0.0,0,42486.0
22,1,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,12,216,1.0,0.0,0.16,0.0,0.0,0.97,0,52781.0
22,9,337,780,0,1,4,0.0,0.0,1.0,0.0,0.0,10,255,1.0,0.0,0.06,0.0,0.0,0.0,0,58664.0
45,5,0,0,0,0,270,1.0,1.0,0.04,0.07,0.0,255,10,0.04,0.06,0.0,1.0,1.0,0.0,1,18305.0
19,9,748,0,0,1,1,0.0,0.0,1.0,0.0,0.0,2,75,0.5,1.0,0.03,0.0,0.01,0.0,0,77185.0
22,9,242,1912,0,1,8,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,105224.0
22,9,196,11034,0,1,2,0.0,0.0,1.0,0.0,0.0,7,255,1.0,0.0,0.05,0.0,0.0,0.0,0,46376.0
22,9,248,560,0,1,1,0.0,0.0,1.0,0.0,0.0,173,255,1.0,0.0,0.02,0.0,0.0,0.0,0,114713.0
45,5,0,0,0,0,252,1.0,1.0,0.0,0.06,0.0,255,16,0.06,0.07,0.0,1.0,1.0,0.0,1,78375.0
22,9,246,10597,0,1,6,0.0,0.0,1.0,0.0,0.0,11,11,1.0,0.0,0.0,0.0,0.0,0.0,0,38414.0
22,9,206,2824,0,1,2,0.0,0.0,1.0,0.0,0.67,20,255,1.0,0.0,0.03,0.0,0.0,0.0,0,75708.0
45,5,0,0,0,0,99,1.0,1.0,0.03,0.07,0.0,255,1,0.0,0.07,0.0,1.0,1.0,0.0,1,59424.0
45,5,0,0,0,0,158,1.0,1.0,0.03,0.07,0.0,255,4,0.02,0.07,0.0,1.0,1.0,0.0,1,5986.0
14,9,1032,0,0,0,511,0.0,0.0,1.0,0.0,0.0,255,167,0.65,0.02,0.0,0.0,0.0,0.0,1,119150.0
11,9,46,142,0,0,95,0.0,0.0,1.0,0.0,0.01,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,4933.0
45,5,0,0,0,0,206,1.0,1.0,0.1,0.05,0.0,147,20,0.14,0.07,0.0,0.9,1.0,0.0,1,79354.0
22,9,247,765,0,1,9,0.0,0.0,1.0,0.0,0.13,173,255,1.0,0.0,0.02,0.0,0.0,0.0,0,79126.0
23,5,0,0,0,0,133,1.0,1.0,0.16,0.05,0.0,255,21,0.08,0.05,0.0,1.0,1.0,0.0,1,94956.0
22,1,0,0,0,0,2,0.0,0.0,1.0,0.0,0.0,4,253,1.0,0.0,0.2,0.0,0.0,0.99,0,5540.0
58,5,0,0,0,0,144,1.0,1.0,0.12,0.06,0.0,255,18,0.07,0.06,0.0,1.0,1.0,0.0,1,105618.0
50,5,0,0,0,0,246,1.0,1.0,0.06,0.07,0.0,255,15,0.06,0.08,0.0,1.0,1.0,0.0,1,11385.0
11,9,44,44,0,0,231,0.0,0.0,1.0,0.01,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0,120143.0
19,9,26,0,0,0,1,0.0,0.0,1.0,0.0,0.0,7,13,0.71,0.29,0.15,0.0,0.08,0.0,0,103359.0
19,9,15876,0,0,0,16,0.0,0.0,1.0,0.0,0.0,208,70,0.34,0.03,0.0,0.0,0.0,0.0,0,118739.0
19,9,383,0,0,1,2,0.0,0.0,1.0,0.0,0.0,37,86,0.89,0.05,0.03,0.0,0.0,0.0,0,6442.0
45,1,0,0,0,0,150,0.0,0.0,0.13,0.06,0.0,255,3,0.01,0.07,0.0,0.0,0.0,1.0,1,79498.0
45,1,0,0,0,0,76,0.01,0.0,0.01,1.0,0.0,255,1,0.0,0.33,0.0,0.0,0.0,1.0,1,83224.0
22,9,333,250,0,1,5,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,37621.0
22,9,216,11094,0,1,3,0.0,0.0,1.0,0.0,0.43,46,231,1.0,0.0,0.04,0.0,0.0,0.0,0,20539.0
45,1,0,0,0,0,270,0.08,0.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.08,0.0,1.0,1,55242.0
37,5,0,0,0,0,104,1.0,1.0,0.19,0.06,0.0,255,20,0.08,0.07,0.0,1.0,1.0,0.0,1,67805.0
22,9,334,5430,0,1,3,0.0,0.0,1.0,0.0,0.0,18,255,1.0,0.0,0.03,0.0,0.0,0.0,0,101771.0
10,5,0,0,0,0,296,1.0,1.0,0.02,0.05,0.0,255,4,0.02,0.07,0.0,1.0,1.0,0.0,1,11504.0
49,9,991,330,0,1,1,0.0,0.0,1.0,0.0,0.0,201,149,0.74,0.01,0.0,0.0,0.0,0.0,0,7917.0
19,9,212,0,0,1,2,0.0,0.0,1.0,0.0,0.0,9,62,0.89,0.22,0.03,0.0,0.0,0.0,0,60747.0
22,9,288,2020,0,1,2,0.0,0.0,1.0,0.0,0.75,35,255,1.0,0.0,0.02,0.0,0.01,0.0,0,38427.0
15,5,0,0,0,0,129,1.0,1.0,0.03,0.06,0.0,255,17,0.07,0.07,0.0,1.0,1.0,0.0,1,27484.0
60,5,0,0,0,0,300,1.0,1.0,0.05,0.05,0.0,255,14,0.05,0.06,0.0,1.0,1.0,0.0,1,53144.0
11,9,45,132,0,0,263,0.0,0.0,1.0,0.01,0.0,255,251,0.98,0.01,0.0,0.0,0.0,0.0,0,52917.0
22,9,212,1385,0,1,21,0.0,0.0,1.0,0.0,0.17,72,255,1.0,0.0,0.01,0.0,0.0,0.0,0,13916.0
45,9,28,0,3,0,70,0.01,0.0,0.99,0.03,0.0,255,69,0.27,0.01,0.0,0.0,0.0,0.0,1,49685.0
19,9,12,0,0,1,2,0.0,0.0,1.0,0.0,0.0,187,72,0.39,0.38,0.0,0.0,0.0,0.01,0,74214.0
3,5,0,0,0,0,273,1.0,1.0,0.07,0.04,0.0,255,18,0.07,0.05,0.0,1.0,1.0,0.0,1,4170.0
40,9,146,105,0,0,1,0.0,0.0,1.0,0.0,0.0,255,3,0.01,0.39,0.0,0.0,0.0,0.0,0,119883.0
5,5,0,0,0,0,115,1.0,1.0,0.03,0.07,0.0,255,4,0.02,0.07,0.0,1.0,1.0,0.0,1,16918.0
