service,flag,src_bytes,dst_bytes,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,classe,posicaoOriginal
23,9,54540,8314,1,0.0,0.0,1.0,0.0,0.0,0.02,0.02,1,36272.0
23,9,229,12240,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,116022.0
61,5,0,0,0,1.0,1.0,0.02,0.07,0.0,1.0,1.0,1,34293.0
12,9,46,125,0,0.0,0.0,0.99,0.03,0.0,0.0,0.0,0,94325.0
23,9,256,870,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,24350.0
23,9,326,4392,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,119657.0
20,5,0,0,0,1.0,1.0,0.48,0.09,0.05,1.0,0.29,1,87415.0
23,9,223,160,1,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0,79655.0
57,6,0,0,0,1.0,1.0,1.0,0.0,0.0,0.02,1.0,1,2056.0
19,9,287,903,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,14131.0
29,5,0,0,0,1.0,1.0,0.16,0.04,0.0,1.0,1.0,1,26763.0
23,9,327,2402,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,98997.0
47,5,0,0,0,1.0,1.0,0.03,0.06,0.0,1.0,1.0,1,15082.0
51,9,1529,280,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,114119.0
23,9,300,2202,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,122623.0
47,1,0,0,0,0.06,0.0,0.0,1.0,0.0,0.05,0.0,1,79695.0
14,9,8,0,0,0.0,0.0,1.0,0.0,0.26,0.0,0.0,1,48451.0
57,5,0,0,0,1.0,1.0,0.03,0.06,0.0,1.0,1.0,1,4168.0
23,9,212,296,1,0.0,0.0,1.0,0.0,0.06,0.0,0.0,0,48800.0
23,9,196,14123,1,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0,3499.0
57,5,0,0,0,1.0,1.0,0.2,0.3,0.0,1.0,1.0,1,45666.0
47,1,0,0,0,0.06,0.0,0.0,1.0,0.0,0.09,0.0,1,57125.0
23,1,0,0,0,0.0,0.0,0.05,0.06,0.0,0.0,0.0,1,89450.0
47,5,0,0,0,1.0,1.0,0.04,0.06,0.0,1.0,1.0,1,33632.0
47,5,0,0,0,1.0,1.0,0.02,0.06,0.0,1.0,1.0,1,55583.0
39,5,0,0,0,1.0,1.0,0.13,0.05,0.0,1.0,1.0,1,29254.0
14,9,8,0,0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1,18831.0
16,5,0,0,0,1.0,1.0,0.13,0.06,0.0,1.0,1.0,1,74069.0
57,2,0,15,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,111534.0
23,9,164,1926,1,0.0,0.0,1.0,0.0,0.06,0.0,0.0,0,32493.0
51,9,1294,327,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,72870.0
20,9,9,0,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,111674.0
58,2,0,0,0,0.0,0.0,0.03,0.07,0.0,0.0,0.0,1,30593.0
42,4,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,84741.0
23,9,218,307,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,54553.0
47,5,0,0,0,1.0,1.0,0.11,0.17,0.0,1.0,1.0,1,104651.0
12,9,44,44,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,59435.0
20,9,0,5129964,0,0.0,0.0,1.0,0.0,0.0,0.76,0.88,0,68905.0
42,9,146,105,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,119768.0
0,6,2252,6679,1,1.0,1.0,1.0,0.0,0.0,0.11,0.27,0,77768.0
23,9,315,405,1,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0,35883.0
20,5,0,0,0,1.0,1.0,0.23,0.11,0.0,1.0,1.0,1,3077.0
23,9,308,406,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,91224.0
47,5,0,0,0,1.0,1.0,0.05,0.06,0.0,1.0,1.0,1,99299.0
51,9,882,332,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,103722.0
23,9,305,1380,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,66205.0
23,1,0,0,0,0.0,0.0,1.0,0.0,0.11,0.0,0.0,1,75218.0
23,9,319,18765,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,122635.0
23,9,198,283,1,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0,19637.0
12,9,32,0,0,0.0,0.0,1.0,0.0,0.07,0.0,0.0,0,85602.0
15,9,1032,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,44459.0
47,5,0,0,0,1.0,1.0,0.16,0.06,0.0,1.0,1.0,1,6467.0
23,9,325,2649,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,96778.0
23,9,363,564,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,108678.0
23,9,215,294,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,42374.0
23,9,224,2913,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,123573.0
22,5,0,0,0,1.0,1.0,0.09,0.06,0.0,1.0,1.0,1,50128.0
20,5,0,0,0,1.0,1.0,0.03,0.07,0.0,1.0,1.0,1,1418.0
23,9,253,13371,1,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0,111568.0
61,5,0,0,0,1.0,1.0,0.17,0.05,0.0,1.0,1.0,1,37495.0
15,9,1032,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,76945.0
32,5,0,0,0,1.0,1.0,0.14,0.07,0.0,1.0,1.0,1,17460.0
39,1,0,0,0,0.0,0.0,0.14,0.08,0.0,0.0,0.0,1,32013.0
18,5,0,0,0,1.0,1.0,0.16,0.16,0.0,1.0,1.0,1,8435.0
16,5,0,0,0,1.0,1.0,0.11,0.06,0.0,1.0,1.0,1,119135.0
23,5,0,0,0,0.93,0.86,0.43,0.36,0.0,1.0,1.0,1,119664.0
23,9,192,499,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,51948.0
47,1,0,0,0,0.0,0.0,0.16,0.07,0.0,0.0,0.0,1,1810.0
47,1,0,0,0,0.0,0.0,0.05,0.06,0.0,0.0,0.0,1,108207.0
