service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
private,S0,0,0,0,0,109,1.0,1.0,0.23,0.05,0.0,255,25,0.1,0.05,0.0,1.0,1.0,0.0,1,57660.0
private,S0,0,0,0,0,118,1.0,1.0,0.16,0.05,0.0,255,12,0.05,0.06,0.0,1.0,1.0,0.0,1,123682.0
eco_i,SF,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,43,1.0,0.0,0.51,0.0,0.0,0.0,1,27282.0
other,RSTR,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.62,0.0,0.0,0.0,1.0,1,96581.0
domain_u,SF,44,113,0,0,1,0.0,0.0,1.0,0.0,1.0,255,234,0.92,0.01,0.0,0.0,0.0,0.0,0,117092.0
telnet,S0,0,0,0,0,73,1.0,1.0,0.22,0.05,0.0,255,57,0.22,0.02,0.0,1.0,1.0,0.0,1,90181.0
smtp,SF,3053,329,0,1,2,0.0,0.0,1.0,0.0,0.0,28,182,1.0,0.0,0.02,0.0,0.0,0.0,0,89195.0
http,SF,54540,8314,0,1,3,0.0,0.0,1.0,0.0,0.0,42,42,1.0,0.0,0.0,0.0,0.0,0.29,1,98461.0
domain_u,SF,44,137,0,0,76,0.0,0.0,1.0,0.0,0.01,255,232,0.91,0.01,0.0,0.0,0.0,0.0,0,34788.0
http,SF,202,821,0,1,30,0.0,0.0,1.0,0.0,0.0,152,255,1.0,0.0,0.03,0.0,0.0,0.0,0,84957.0
private,SF,1,0,0,0,9,0.0,0.0,1.0,0.0,0.0,255,208,0.82,0.03,0.0,0.0,0.0,0.0,1,121696.0
supdup,S0,0,0,0,0,227,1.0,1.0,0.06,0.07,0.0,255,14,0.05,0.08,0.0,1.0,1.0,0.0,1,10040.0
ftp_data,SF,748,0,0,1,1,0.0,0.0,1.0,0.0,0.0,130,109,0.65,0.02,0.02,0.0,0.0,0.0,0,30266.0
private,SF,1,0,0,0,12,0.0,0.0,1.0,0.0,0.0,255,209,0.82,0.03,0.0,0.0,0.0,0.0,1,17679.0
telnet,S0,0,0,0,0,73,1.0,1.0,0.23,0.05,0.0,255,64,0.25,0.02,0.0,1.0,1.0,0.0,1,58061.0
other,SF,145,105,0,0,1,0.0,0.0,1.0,0.0,0.0,183,1,0.01,0.6,0.0,0.0,0.0,0.0,0,52827.0
http,REJ,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,1,204,1.0,0.0,0.18,0.0,0.0,0.97,0,34739.0
smtp,SF,1874,401,0,1,1,0.0,0.0,1.0,0.0,0.0,76,241,0.97,0.03,0.01,0.0,0.0,0.0,0,49184.0
http,SF,305,14648,0,1,4,0.0,0.0,1.0,0.0,0.08,85,255,1.0,0.0,0.04,0.0,0.0,0.0,0,76340.0
netstat,S0,0,0,0,0,199,1.0,1.0,0.06,0.05,0.0,255,12,0.05,0.05,0.0,1.0,1.0,0.0,1,50375.0
uucp,S0,0,0,0,0,136,1.0,1.0,0.07,0.07,0.0,255,10,0.04,0.06,0.0,1.0,1.0,0.0,1,125172.0
bgp,S0,0,0,0,0,250,1.0,1.0,0.01,0.06,0.0,255,2,0.01,0.07,0.0,1.0,1.0,0.0,1,108308.0
http,SF,146,30113,0,1,12,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,11258.0
private,S0,0,0,0,0,222,1.0,1.0,0.05,0.05,0.0,82,12,0.15,0.1,0.0,0.98,1.0,0.0,1,54962.0
efs,S0,0,0,0,0,9,1.0,1.0,0.89,0.22,0.0,255,8,0.03,0.07,0.0,1.0,1.0,0.0,1,81654.0
http,SF,202,1271,0,1,2,0.0,0.0,1.0,0.0,0.0,155,255,1.0,0.0,0.02,0.0,0.0,0.0,0,22333.0
private,S0,0,0,0,0,203,1.0,1.0,0.1,0.07,0.0,255,20,0.08,0.06,0.0,1.0,1.0,0.0,1,98338.0
eco_i,SF,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,54,1.0,0.0,0.52,0.0,0.0,0.0,1,121002.0
domain_u,SF,45,133,0,0,70,0.0,0.0,1.0,0.0,0.01,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0,91532.0
http,SF,290,511,0,1,19,0.0,0.0,1.0,0.0,0.14,107,231,1.0,0.0,0.02,0.0,0.0,0.0,0,124295.0
private,S0,0,0,0,0,117,1.0,1.0,0.14,0.06,0.0,255,6,0.02,0.06,0.0,1.0,1.0,0.0,1,120221.0
http,SF,196,5299,0,1,13,0.0,0.0,1.0,0.0,0.0,14,255,1.0,0.0,0.07,0.0,0.0,0.47,0,5736.0
other,SF,63,0,0,1,1,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.07,0.0,0.92,0.0,0.0,0,115717.0
csnet_ns,S0,0,0,0,0,299,1.0,1.0,0.04,0.05,0.0,255,13,0.05,0.07,0.0,1.0,1.0,0.0,1,116388.0
http,SF,326,13988,0,1,6,0.0,0.0,1.0,0.0,0.15,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,19130.0
http,SF,311,3503,0,1,3,0.0,0.0,1.0,0.0,0.0,16,255,1.0,0.0,0.03,0.0,0.0,0.0,0,50183.0
private,S0,0,0,0,0,111,1.0,1.0,0.1,0.06,0.0,58,10,0.17,0.1,0.0,1.0,1.0,0.0,1,7799.0
domain_u,SF,43,43,0,0,149,0.0,0.0,1.0,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0,59854.0
private,SF,1,0,0,0,13,0.0,0.0,0.08,0.77,0.0,255,1,0.0,0.43,0.0,0.0,0.0,0.0,1,87874.0
whois,S0,0,0,0,0,146,1.0,1.0,0.12,0.06,0.0,255,15,0.06,0.06,0.0,1.0,1.0,0.0,1,33513.0
private,S0,0,0,0,0,52,1.0,1.0,0.13,0.12,0.0,255,9,0.04,0.09,0.0,1.0,1.0,0.0,1,31389.0
login,S0,0,0,0,0,145,1.0,1.0,0.02,0.05,0.0,255,3,0.01,0.05,0.0,1.0,1.0,0.0,1,44837.0
private,S0,0,0,0,0,207,1.0,1.0,0.04,0.07,0.0,255,8,0.03,0.07,0.0,1.0,1.0,0.0,1,19461.0
telnet,S0,0,0,0,0,33,0.97,1.0,0.27,0.15,0.0,255,42,0.16,0.05,0.0,1.0,1.0,0.0,1,38682.0
domain_u,SF,42,42,0,0,8,0.0,0.0,1.0,0.0,0.22,71,71,1.0,0.0,0.0,0.0,0.0,0.0,0,108832.0
http,SF,231,3072,0,1,12,0.0,0.0,1.0,0.0,0.11,48,255,1.0,0.0,0.05,0.0,0.0,0.0,0,81930.0
ecr_i,SF,1032,0,0,0,509,0.0,0.0,1.0,0.0,0.0,255,150,0.59,0.17,0.0,0.0,0.0,0.0,1,54315.0
private,S0,0,0,0,0,298,1.0,1.0,0.06,0.05,0.0,255,19,0.07,0.08,0.0,1.0,1.0,0.0,1,50022.0
http,SF,260,2721,0,1,6,0.0,0.0,1.0,0.0,0.29,44,255,1.0,0.0,0.02,0.0,0.0,0.0,0,68206.0
