service,flag,src_bytes,dst_bytes,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,classe,posicaoOriginal
23.0,9.0,241.0,429.0,1.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,12594.0
50.0,9.0,1338.0,478.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78597.0
23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.17,0.0,0.0,0.0,30355.0
23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09,0.0,0.0,0.0,47152.0
50.0,9.0,743.0,378.0,1.0,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0.0,48011.0
50.0,9.0,890.0,331.0,1.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,26881.0
11.0,9.0,43.0,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,117766.0
23.0,9.0,291.0,2669.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8216.0
50.0,9.0,1830.0,332.0,1.0,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0.0,49339.0
13.0,9.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14971.0
23.0,9.0,204.0,1274.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,108338.0
19.0,9.0,9178.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0.0,72649.0
19.0,9.0,334.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,111122.0
23.0,9.0,304.0,9585.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16493.0
19.0,9.0,567.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.01,0.0,31682.0
49.0,2.0,358678.0,252.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,53128.0
23.0,9.0,158.0,2024.0,1.0,0.0,0.0,1.0,0.0,0.06,0.0,0.0,0.0,40522.0
23.0,9.0,276.0,345.0,1.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,6962.0
23.0,9.0,310.0,1237.0,1.0,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0.0,62352.0
23.0,9.0,54540.0,8314.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,26590.0
23.0,9.0,319.0,21537.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,115615.0
18.0,9.0,247.0,773.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,103627.0
23.0,9.0,253.0,1588.0,1.0,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0.0,66655.0
19.0,9.0,7196.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0.0,5232.0
23.0,9.0,295.0,288.0,1.0,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0.0,21546.0
18.0,9.0,1214.0,3380.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,107321.0
56.0,9.0,344.0,10452.0,1.0,0.0,0.0,1.0,0.0,0.0,0.63,0.34,0.0,41334.0
50.0,9.0,2020.0,337.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,58772.0
23.0,9.0,331.0,9621.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,81923.0
50.0,9.0,1072.0,330.0,1.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,51146.0
23.0,9.0,314.0,479.0,1.0,0.0,0.0,1.0,0.0,0.05,0.0,0.01,0.0,18722.0
11.0,9.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,53440.0
23.0,9.0,54540.0,8314.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,28942.0
23.0,9.0,54540.0,8314.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,48895.0
23.0,9.0,340.0,283.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24662.0
23.0,9.0,295.0,2794.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,68078.0
18.0,9.0,324.0,1069.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,82656.0
23.0,9.0,207.0,3452.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2008.0
23.0,9.0,282.0,10189.0,1.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,29096.0
50.0,9.0,1118.0,333.0,1.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,109606.0
23.0,9.0,271.0,715.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,89353.0
23.0,9.0,206.0,812.0,1.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,68030.0
11.0,9.0,46.0,71.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.0,0.0,97698.0
23.0,4.0,21048.0,8314.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,20399.0
23.0,9.0,225.0,15033.0,1.0,0.0,0.0,1.0,0.0,0.08,0.0,0.0,0.0,57873.0
50.0,9.0,678.0,478.0,1.0,0.0,0.0,0.17,0.33,0.0,0.0,0.0,0.0,8099.0
23.0,9.0,278.0,9263.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,98364.0
50.0,9.0,536.0,279.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51975.0
23.0,9.0,178.0,368.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6903.0
18.0,9.0,678.0,2077.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,70018.0
