service,flag,src_bytes,dst_bytes,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,classe,posicaoOriginal
22,9,307,3731,1,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,82678.0
44,5,0,0,0,1.0,1.0,0.0,0.06,0.0,1.0,1.0,0,50625.0
15,5,0,0,0,1.0,1.0,0.07,0.06,0.0,1.0,1.0,0,122325.0
51,1,0,0,0,0.0,0.0,0.03,0.07,0.0,0.0,0.0,0,27836.0
49,9,1591,338,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,37973.0
7,1,0,0,0,0.0,0.0,0.05,0.06,0.0,0.0,0.0,0,123480.0
13,9,8,0,0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0,20943.0
22,9,329,818,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,108267.0
22,9,352,1398,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,40568.0
19,9,567,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,20620.0
22,9,331,8541,1,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,54439.0
32,5,0,0,0,1.0,1.0,0.02,0.07,0.0,1.0,1.0,0,78873.0
22,1,0,0,0,0.0,0.0,1.0,0.0,0.08,0.0,0.0,0,50014.0
29,5,0,0,0,1.0,1.0,0.19,0.11,0.0,1.0,1.0,0,71808.0
40,9,147,105,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,66402.0
49,9,13108,1381,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,5564.0
13,9,8,0,0,0.0,0.0,1.0,0.0,0.51,0.0,0.0,0,25230.0
44,5,0,0,0,1.0,1.0,0.07,0.09,0.0,1.0,1.0,0,31480.0
9,5,0,0,0,1.0,1.0,0.17,0.83,0.0,1.0,1.0,0,114402.0
13,9,8,0,0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0,7773.0
21,5,0,0,0,1.0,1.0,0.01,0.06,0.0,1.0,1.0,0,125339.0
11,9,44,128,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,15292.0
22,9,289,3428,1,0.0,0.25,1.0,0.0,0.04,0.0,0.0,0,36971.0
22,9,163,9221,1,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0,47180.0
44,1,0,0,0,0.0,0.0,0.03,0.07,0.0,0.0,0.0,0,45897.0
22,9,231,320,1,0.0,0.0,1.0,0.0,0.04,0.0,0.01,0,80185.0
22,9,194,260,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,49412.0
55,9,285,392735,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,59153.0
19,9,641,0,1,0.0,0.0,1.0,0.0,0.08,0.0,0.0,0,105505.0
4,5,0,0,0,1.0,1.0,0.01,0.07,0.0,1.0,1.0,0,81423.0
