service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
11,9,45,45,0,0,105,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,46746.0
40,9,147,105,0,0,2,0.0,0.0,1.0,0.0,0.0,255,3,0.01,0.61,0.0,0.0,0.0,0.0,0,53338.0
3,1,0,0,0,0,283,0.0,0.0,0.05,0.06,0.0,255,13,0.05,0.07,0.0,0.0,0.0,1.0,1,18301.0
55,5,0,0,0,0,224,1.0,1.0,0.01,0.07,0.0,255,19,0.07,0.07,0.0,1.0,1.0,0.0,1,90301.0
22,9,313,1924,0,1,5,0.0,0.0,1.0,0.0,0.0,5,255,1.0,0.0,0.05,0.0,0.0,0.0,0,40536.0
41,1,0,0,0,0,288,0.0,0.0,0.05,0.06,0.0,255,15,0.06,0.07,0.0,0.0,0.0,1.0,1,64007.0
3,5,0,0,0,0,280,1.0,1.0,0.04,0.06,0.0,255,11,0.04,0.06,0.0,1.0,1.0,0.0,1,82052.0
44,5,0,0,0,0,127,1.0,1.0,0.13,0.06,0.0,255,16,0.06,0.06,0.0,1.0,1.0,0.0,1,52278.0
22,7,221,22048,0,1,2,0.5,0.5,1.0,0.0,0.0,12,255,1.0,0.0,0.01,0.08,0.0,0.0,0,110041.0
44,5,0,0,0,0,61,1.0,1.0,0.26,0.1,0.0,255,16,0.06,0.07,0.0,1.0,1.0,0.0,1,113107.0
22,9,384,546,0,1,1,0.0,0.0,1.0,0.0,0.22,36,255,1.0,0.0,0.05,0.0,0.0,0.0,0,26408.0
22,9,289,2536,0,1,27,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,22351.0
40,9,146,0,0,0,1,0.0,0.0,1.0,0.0,0.0,206,1,0.0,0.15,0.0,0.0,0.0,0.0,0,116064.0
