service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
45,5,0,0,0,0,135,1.0,1.0,0.14,0.06,0.0,255,8,0.03,0.07,0.0,1.0,1.0,0.0,1,119125.0
22,9,190,8654,0,1,4,0.0,0.0,1.0,0.0,0.0,74,255,1.0,0.0,0.05,0.01,0.0,0.0,0,664.0
13,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,3,135,1.0,0.0,0.25,0.0,0.0,0.0,1,65247.0
45,1,0,0,0,0,268,0.0,0.0,0.07,0.06,0.0,255,18,0.07,0.07,0.0,0.0,0.0,1.0,1,77407.0
19,9,1010,0,0,1,2,0.0,0.0,1.0,0.0,0.0,60,15,0.15,0.1,0.13,0.02,0.0,0.0,0,95374.0
22,9,253,1217,0,1,5,0.0,0.0,1.0,0.0,0.0,5,255,1.0,0.0,0.06,0.0,0.0,0.01,0,11505.0
50,9,1473,374,0,1,1,0.0,0.0,1.0,0.0,0.0,174,246,0.96,0.01,0.01,0.0,0.0,0.0,0,92111.0
3,5,0,0,0,0,290,1.0,1.0,0.01,0.06,0.0,255,8,0.03,0.07,0.0,1.0,1.0,0.0,1,4183.0
45,5,0,0,0,0,53,1.0,1.0,0.09,0.11,0.0,255,5,0.02,0.09,0.0,1.0,1.0,0.0,1,29722.0
60,9,181,0,0,0,2,0.0,0.0,0.5,1.0,0.0,255,121,0.47,0.01,0.0,0.0,0.0,0.0,0,66113.0
18,9,1475,4152,0,1,1,0.0,0.0,1.0,0.0,0.0,97,32,0.33,0.04,0.0,0.0,0.0,0.0,0,69629.0
45,1,0,0,0,0,268,0.0,0.0,0.07,0.07,0.0,255,19,0.07,0.09,0.0,0.0,0.0,1.0,1,103625.0
44,2,0,0,0,0,125,0.0,0.0,0.13,0.07,0.0,255,16,0.06,0.06,0.0,0.0,0.0,1.0,1,66895.0
22,9,176,170,0,1,1,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,122106.0
11,9,32,0,0,0,1,0.0,0.0,1.0,0.0,1.0,27,13,0.48,0.15,0.0,0.0,0.0,0.0,0,37654.0
50,9,1820,336,0,1,1,0.0,0.0,1.0,0.0,0.0,20,16,0.8,0.1,0.0,0.0,0.0,0.0,0,113713.0
15,5,0,0,0,0,100,1.0,1.0,0.08,0.05,0.0,255,8,0.03,0.05,0.0,1.0,1.0,0.0,1,24944.0
22,9,241,431,0,1,13,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,34526.0
45,1,0,0,0,0,328,0.03,0.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.04,0.0,1.0,1,62494.0
45,5,0,0,0,0,134,1.0,1.0,0.06,0.06,0.0,255,17,0.07,0.06,0.0,1.0,1.0,0.0,1,67502.0
45,4,1,0,0,0,2,0.0,0.0,1.0,0.0,0.0,255,2,0.01,0.73,0.0,0.0,0.0,1.0,1,38872.0
22,5,0,0,0,0,8,1.0,1.0,1.0,0.0,0.0,10,8,0.8,0.2,0.0,0.8,1.0,0.0,1,54277.0
22,9,203,3543,0,1,4,0.0,0.0,1.0,0.0,0.0,4,255,1.0,0.0,0.02,0.0,0.0,0.0,0,107409.0
45,5,0,0,0,0,126,1.0,1.0,0.12,0.06,0.0,236,15,0.06,0.07,0.0,1.0,1.0,0.0,1,60154.0
