protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1,36,4,0,0,0,1,117228.0
1,31,1,0,0,0,1,83798.0
1,22,9,195,2862,0,0,97273.0
1,3,5,0,0,0,1,111618.0
1,49,5,0,0,0,1,115005.0
1,22,5,0,0,0,1,75050.0
1,22,1,0,0,0,1,43838.0
1,24,5,0,0,0,1,74565.0
1,44,5,0,0,0,1,87766.0
0,13,9,8,0,0,1,96379.0
1,33,5,0,0,0,1,87796.0
1,44,4,0,0,0,1,34030.0
1,44,1,0,0,0,1,111282.0
1,22,9,215,6154,0,0,32462.0
2,11,9,45,140,0,0,109112.0
1,44,5,0,0,0,1,68363.0
1,4,5,0,0,0,1,30205.0
1,22,9,54540,8314,0,0,7165.0
1,22,9,253,370,0,0,12707.0
1,5,1,0,0,0,1,72905.0
1,22,9,218,1738,0,0,54409.0
1,22,9,329,646195,0,0,27614.0
0,14,9,1032,0,0,0,42235.0
1,32,5,0,0,0,1,10543.0
2,40,9,146,105,0,0,3140.0
2,11,9,44,131,0,0,43088.0
1,19,9,1199,0,0,0,40029.0
1,18,5,0,0,0,1,48561.0
1,21,5,0,0,0,1,115252.0
1,22,9,54540,8314,0,0,24365.0
1,22,9,330,318,0,0,4640.0
1,22,9,316,8421,0,0,29949.0
2,11,9,42,143,0,0,122891.0
1,51,5,0,0,0,1,72460.0
1,22,9,318,2256,0,0,56132.0
1,44,5,0,0,0,1,124168.0
2,11,9,46,46,0,0,123171.0
1,28,5,0,0,0,1,21107.0
1,22,9,266,1585,0,0,102435.0
1,53,4,0,0,0,1,34969.0
2,11,9,42,42,0,0,4711.0
1,22,9,283,1476,0,0,36969.0
1,22,9,251,702,0,0,51953.0
1,55,6,167,19827,0,0,18110.0
1,44,5,0,0,0,1,104868.0
1,24,1,0,0,0,1,71955.0
1,44,1,0,0,0,1,51237.0
1,44,5,0,0,0,1,49406.0
1,19,9,1339,0,0,0,102261.0
1,19,9,59,0,0,0,6519.0
1,49,9,2449,330,0,0,36964.0
1,44,1,0,0,0,1,93882.0
1,44,5,0,0,0,1,21993.0
0,13,9,8,0,0,1,4721.0
1,44,4,0,0,0,1,91149.0
1,22,9,165,9787,0,0,102939.0
1,49,9,1274,328,0,0,75213.0
1,33,5,0,0,0,1,65762.0
0,14,9,520,0,0,0,30079.0
1,49,9,953,332,0,0,78232.0
1,22,5,0,0,0,1,101555.0
1,22,1,0,0,0,1,48465.0
1,22,9,159,10056,0,0,72901.0
1,7,5,0,0,0,1,109886.0
1,44,5,0,0,0,1,114776.0
1,19,9,5319,0,0,0,71100.0
1,44,1,0,0,0,1,10545.0
1,44,5,0,0,0,1,65975.0
1,42,9,38,130,0,0,19744.0
1,19,9,5929,0,0,0,21256.0
1,23,5,0,0,0,1,114417.0
1,22,9,244,1719,0,0,16110.0
1,22,9,265,278,0,0,75654.0
1,42,9,150,13042,0,0,8476.0
1,62,5,0,0,0,1,74678.0
1,17,5,0,0,0,1,102080.0
1,3,9,10,39,0,0,31406.0
1,22,9,224,753,0,0,75732.0
1,49,9,1044,323,0,0,68910.0
1,8,5,0,0,0,1,7873.0
1,19,5,0,0,0,1,42096.0
1,22,5,0,0,0,1,82744.0
1,5,1,0,0,0,1,20977.0
1,19,8,40495,0,0,0,41724.0
1,27,5,0,0,0,1,66184.0
1,22,9,274,313,0,0,12890.0
1,22,9,348,2784,0,0,64627.0
1,19,9,641,0,0,0,124051.0
1,44,5,0,0,0,1,57260.0
1,22,9,235,12623,0,0,85255.0
1,22,9,237,289,0,0,101989.0
1,22,9,381,682,0,0,26986.0
1,3,9,10,37,0,0,72902.0
1,44,5,0,0,0,1,99607.0
0,13,9,8,0,0,1,122818.0
1,22,1,0,0,0,1,102320.0
0,14,9,1032,0,0,0,102018.0
1,22,9,335,9080,0,0,75349.0
0,13,9,8,0,0,1,59968.0
1,22,9,208,280,0,0,80867.0
1,22,9,235,1552,0,0,64209.0
1,44,5,0,0,0,1,51698.0
1,44,5,0,0,0,1,16151.0
1,22,9,307,871,0,0,57909.0
1,44,1,0,0,0,1,6811.0
1,44,5,0,0,0,1,83285.0
1,22,1,0,0,0,1,45717.0
1,19,5,0,0,0,1,97253.0
1,22,9,346,3085,0,0,118871.0
1,44,5,0,0,0,1,83265.0
1,49,9,1323,363,0,0,7556.0
1,22,1,0,0,0,1,95836.0
1,18,2,0,0,0,1,48514.0
1,22,9,320,3978,0,0,13362.0
1,9,5,0,0,0,1,65228.0
1,22,9,334,281,0,0,69782.0
2,40,9,145,105,0,0,87276.0
1,44,1,0,0,0,1,69550.0
1,22,9,311,396,0,0,23182.0
1,33,5,0,0,0,1,65500.0
1,26,5,0,0,0,1,48621.0
1,22,9,209,1126,0,0,74779.0
2,11,9,44,125,0,0,75092.0
1,44,5,0,0,0,1,96878.0
1,49,9,1014,332,0,0,13590.0
1,22,9,217,1818,0,0,45152.0
1,49,9,1769,331,0,0,3735.0
1,22,9,283,12505,0,0,31698.0
1,44,1,0,0,0,1,25366.0
0,13,9,8,0,0,1,10599.0
1,17,5,0,0,0,1,114369.0
1,22,9,255,33119,0,0,107380.0
1,44,5,0,0,0,1,23712.0
1,44,1,0,0,0,1,12265.0
1,22,9,322,236,0,0,9297.0
1,22,9,337,1178,0,0,100868.0
1,60,1,0,0,0,1,123123.0
1,22,9,229,2039,0,0,41028.0
1,44,5,0,0,0,1,116201.0
1,44,5,0,0,0,1,102329.0
1,55,6,0,0,0,1,30621.0
1,32,1,0,0,0,1,53888.0
1,44,5,0,0,0,1,18980.0
1,22,9,324,1875,0,0,44954.0
1,59,5,0,0,0,1,19128.0
1,37,5,0,0,0,1,62316.0
2,11,9,30,0,0,0,66867.0
1,44,5,0,0,0,1,38568.0
1,44,5,0,0,0,1,73562.0
1,44,1,0,0,0,1,2835.0
1,22,9,338,238,0,0,18161.0
2,11,9,45,155,0,0,120198.0
1,22,9,224,284,0,0,105363.0
1,54,5,0,0,0,1,15940.0
1,44,5,0,0,0,1,23956.0
1,44,5,0,0,0,1,33883.0
1,22,9,315,6302,0,0,98821.0
0,14,9,520,0,0,0,81174.0
1,22,9,241,174,0,0,79508.0
2,40,9,147,0,0,0,125186.0
1,6,5,0,0,0,1,3517.0
1,22,9,299,667,0,0,44850.0
1,49,9,1115,328,0,0,122445.0
2,11,9,43,43,0,0,35661.0
0,14,9,1032,0,0,0,3985.0
1,22,9,304,1380,0,0,33662.0
1,27,5,0,0,0,1,26441.0
1,40,9,59,0,0,0,17557.0
1,19,9,8173,0,0,0,25975.0
1,44,5,0,0,0,1,31259.0
1,22,9,243,389,0,0,83163.0
0,14,9,1032,0,0,0,74203.0
1,22,9,234,4721,0,0,11641.0
1,22,1,0,0,0,1,22954.0
1,22,9,226,5357,0,0,38093.0
1,44,1,0,0,0,1,103910.0
1,44,4,1,0,0,1,2119.0
1,49,9,1049,326,0,0,18229.0
1,44,5,0,0,0,1,60430.0
1,22,9,170,378,0,0,11790.0
2,44,9,105,145,0,0,95661.0
0,13,9,8,0,0,1,29534.0
1,22,9,308,1608,0,0,16321.0
1,44,5,0,0,0,1,122099.0
1,22,9,207,660,0,0,74576.0
1,22,9,155,1032,0,0,111223.0
1,44,1,0,0,0,1,95571.0
