protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
tcp,private,S0,0,0,0,1,55794.0
tcp,private,S0,0,0,0,1,51005.0
tcp,http,SF,241,849,0,0,11626.0
tcp,http,SF,252,10757,0,0,73667.0
tcp,http,SF,290,8836,0,0,17992.0
tcp,smtp,SF,2006,391,0,0,81225.0
tcp,http,SF,232,674,0,0,63439.0
tcp,ftp_data,SF,641,0,0,0,91473.0
tcp,ftp_data,S0,0,0,0,1,20076.0
tcp,http,SF,303,458,0,0,837.0
tcp,hostnames,REJ,0,0,0,1,38318.0
tcp,sql_net,REJ,0,0,0,1,73086.0
tcp,http,SF,392,3759,0,0,67688.0
tcp,ftp_data,SF,567,0,0,0,20323.0
icmp,eco_i,SF,8,0,0,1,14805.0
tcp,http,SF,222,998,0,0,84218.0
tcp,private,S0,0,0,0,1,119159.0
tcp,smtp,SF,3115,320,0,0,42242.0
tcp,http,SF,230,304,0,0,96006.0
tcp,http,SF,213,1512,0,0,94468.0
tcp,http,SF,287,1484,0,0,108969.0
tcp,ftp_data,SF,74,0,0,0,99867.0
tcp,http,SF,251,943,0,0,96049.0
tcp,http,RSTR,50248,8314,0,1,30379.0
tcp,other,RSTR,1,0,0,1,49328.0
tcp,http_443,S0,0,0,0,1,67738.0
tcp,private,S0,0,0,0,1,109984.0
udp,domain_u,SF,46,136,0,0,12273.0
tcp,whois,REJ,0,0,0,1,11480.0
tcp,http,SF,244,1451,0,0,77531.0
tcp,http,SF,215,955,0,0,28885.0
tcp,efs,S0,0,0,0,1,120312.0
tcp,telnet,S0,0,0,0,1,75815.0
tcp,http,SF,227,1456,0,0,81472.0
icmp,eco_i,SF,18,0,0,1,77997.0
tcp,courier,S0,0,0,0,1,119014.0
tcp,ftp_data,S0,0,0,0,1,72144.0
tcp,private,REJ,0,0,0,1,13443.0
tcp,other,REJ,0,0,0,1,90321.0
tcp,http,SF,171,831,0,0,16124.0
tcp,gopher,S0,0,0,0,1,4393.0
tcp,http,SF,339,2577,0,0,115276.0
tcp,private,S0,0,0,0,1,107607.0
tcp,http,SF,313,7534,0,0,98905.0
tcp,smtp,SF,667,332,0,0,84400.0
tcp,smtp,SF,1348,322,0,0,107192.0
tcp,ftp_data,SF,7233,0,0,0,93102.0
icmp,ecr_i,SF,1032,0,0,1,95350.0
tcp,telnet,SF,702,23468,0,0,100053.0
icmp,eco_i,SF,8,0,0,1,25268.0
icmp,ecr_i,SF,520,0,0,1,100797.0
tcp,ftp_data,SF,11,0,0,0,10860.0
tcp,http,SF,202,3084,0,0,28617.0
tcp,http,SF,292,394,0,0,19643.0
tcp,smtp,SF,861,328,0,0,47911.0
tcp,ftp_data,SF,6601,0,0,0,103225.0
udp,domain_u,SF,46,146,0,0,120993.0
icmp,ecr_i,SF,1032,0,0,1,55630.0
icmp,ecr_i,SF,1032,0,0,1,21272.0
tcp,http,SF,282,36253,0,0,101611.0
icmp,ecr_i,SF,520,0,0,1,62804.0
tcp,telnet,RSTO,1506,1887,0,1,42396.0
tcp,supdup,REJ,0,0,0,1,62551.0
tcp,ftp_data,SF,5319,0,0,0,70263.0
tcp,domain,REJ,0,0,0,1,116592.0
udp,private,SF,105,0,0,0,14950.0
tcp,http,SF,226,3658,0,0,88212.0
tcp,nnsp,REJ,0,0,0,1,14638.0
tcp,private,REJ,0,0,0,1,28219.0
tcp,http,REJ,0,0,0,0,87604.0
tcp,login,S0,0,0,0,1,67566.0
tcp,http,SF,318,510,0,0,92474.0
tcp,http,SF,243,263,0,0,27872.0
tcp,Z39_50,S0,0,0,0,1,1213.0
tcp,smtp,SF,715,364,0,0,12414.0
udp,private,SF,105,145,0,0,60081.0
tcp,private,S0,0,0,0,1,116326.0
tcp,http,SF,219,3100,0,0,24075.0
tcp,private,S0,0,0,0,1,118916.0
icmp,ecr_i,SF,1032,0,0,1,39797.0
tcp,private,S0,0,0,0,1,68765.0
tcp,private,S0,0,0,0,1,106045.0
tcp,http,SF,223,317,0,0,34155.0
tcp,other,REJ,0,0,0,1,34743.0
tcp,ftp_data,SF,748,0,0,0,1068.0
tcp,private,S0,0,0,0,1,78402.0
tcp,shell,S0,0,0,0,1,107587.0
icmp,eco_i,SF,8,0,0,1,1302.0
icmp,eco_i,SF,8,0,0,1,52336.0
tcp,smtp,S0,0,0,0,0,32183.0
tcp,finger,S0,0,0,0,1,3955.0
udp,other,SF,147,105,0,0,73255.0
tcp,http,REJ,0,0,0,0,4309.0
udp,other,SF,147,105,0,0,43255.0
tcp,http,SF,210,343,0,0,24740.0
tcp,http,SF,326,2833,0,0,65839.0
icmp,eco_i,SF,8,0,0,1,90636.0
udp,other,SF,516,4,0,0,73118.0
udp,domain_u,SF,42,42,0,0,100032.0
tcp,http,SF,313,1919,0,0,7196.0
tcp,http,REJ,0,0,0,0,26532.0
tcp,ftp,SF,232,768,0,0,90701.0
tcp,http,SF,255,1828,0,0,28731.0
tcp,http,SF,213,10194,0,0,35741.0
tcp,http,SF,321,20737,0,0,19261.0
tcp,private,REJ,0,0,0,1,110784.0
tcp,http,SF,290,383,0,0,44404.0
tcp,http,SF,54540,8314,0,1,111278.0
tcp,http,REJ,0,0,0,0,94225.0
tcp,finger,SF,6,138,0,0,20793.0
tcp,ftp_data,S0,0,0,0,1,91037.0
tcp,domain,S0,0,0,0,1,89881.0
udp,private,SF,105,147,0,0,117042.0
udp,domain_u,SF,45,45,0,0,103701.0
tcp,smtp,SF,1437,336,0,0,27718.0
tcp,smtp,SF,3109,406,0,0,93991.0
tcp,sql_net,S0,0,0,0,1,38387.0
tcp,private,S0,0,0,0,1,96835.0
tcp,http,SF,284,327,0,0,36662.0
tcp,ftp_data,S0,0,0,0,1,58569.0
tcp,http,SF,260,190,0,0,13818.0
tcp,http,SF,152,2578,0,0,117894.0
tcp,http,SF,309,4777,0,0,38609.0
tcp,http,SF,238,1112,0,0,45518.0
tcp,imap4,S0,0,0,0,1,91390.0
tcp,link,S0,0,0,0,1,73700.0
tcp,ftp_data,SF,3888,0,0,0,21712.0
tcp,telnet,S0,0,0,0,1,74840.0
tcp,ftp_data,S0,0,0,0,1,115407.0
tcp,http,SF,304,310,0,0,87150.0
tcp,smtp,SF,1064,338,0,0,60054.0
tcp,private,S0,0,0,0,1,31287.0
tcp,http,S0,0,0,0,1,80272.0
tcp,IRC,S1,37681,40396,0,0,22723.0
tcp,private,REJ,0,0,0,1,17004.0
tcp,http,SF,228,8539,0,0,18645.0
tcp,efs,RSTR,0,0,0,1,88172.0
tcp,http,SF,217,2226,0,0,110850.0
tcp,login,S0,0,0,0,1,15622.0
tcp,auth,SF,10,35,0,0,93455.0
tcp,http,SF,314,1425,0,0,48902.0
tcp,telnet,SF,499,3551,0,0,20151.0
udp,domain_u,SF,42,108,0,0,75477.0
tcp,http,SF,415,4167,0,0,68456.0
icmp,eco_i,SF,8,0,0,1,10093.0
tcp,http,SF,331,3185,0,0,13894.0
tcp,ftp_data,SF,854,0,0,0,49655.0
tcp,http,SF,299,702,0,0,10369.0
tcp,uucp,S0,0,0,0,1,56378.0
tcp,private,REJ,0,0,0,1,48958.0
tcp,telnet,S0,0,0,0,1,120304.0
tcp,csnet_ns,S0,0,0,0,1,116530.0
udp,domain_u,SF,44,44,0,0,97981.0
udp,domain_u,SF,44,74,0,0,17742.0
tcp,smtp,SF,1441,330,0,0,93388.0
tcp,private,S0,0,0,0,1,29430.0
icmp,eco_i,SF,8,0,0,1,93553.0
tcp,imap4,S0,0,0,0,1,1537.0
tcp,http,REJ,0,0,0,0,108990.0
tcp,http,REJ,0,0,0,0,65732.0
tcp,Z39_50,S0,0,0,0,1,49261.0
tcp,sql_net,REJ,0,0,0,1,31476.0
tcp,ftp_data,SF,1199,0,0,0,76202.0
tcp,smtp,S0,0,0,0,1,109974.0
tcp,http,SF,166,1992,0,0,8074.0
icmp,eco_i,SF,8,0,0,1,94934.0
tcp,ftp_data,SF,501760,0,0,0,87704.0
tcp,private,S0,0,0,0,1,41868.0
tcp,imap4,S0,0,0,0,1,99689.0
udp,domain_u,SF,43,131,0,0,121019.0
tcp,http,SF,210,3081,0,0,94997.0
tcp,ftp_data,S0,0,0,0,1,31140.0
tcp,private,S0,0,0,0,1,117054.0
tcp,time,S0,0,0,0,1,85958.0
tcp,name,S0,0,0,0,1,122014.0
tcp,http,SF,334,736,0,0,89575.0
tcp,http,SF,279,2961,0,0,117585.0
udp,other,SF,145,105,0,0,59317.0
tcp,gopher,S0,0,0,0,1,1677.0
tcp,private,REJ,0,0,0,1,32605.0
tcp,http,SF,322,29026,0,0,55525.0
icmp,eco_i,SF,8,0,0,1,50649.0
icmp,eco_i,SF,18,0,0,1,12408.0
tcp,http,SF,301,669,0,0,89176.0
tcp,private,S0,0,0,0,1,48204.0
icmp,urh_i,SF,83,0,0,0,111529.0
tcp,http,SF,196,14312,0,0,98766.0
tcp,exec,RSTO,0,0,0,1,52203.0
tcp,http,SF,180,9287,0,0,42241.0
tcp,private,REJ,0,0,0,1,102758.0
udp,domain_u,SF,46,129,0,0,41466.0
tcp,smtp,SF,1696,332,0,0,100793.0
tcp,bgp,S0,0,0,0,1,55428.0
tcp,smtp,SF,2426,326,0,0,82601.0
udp,domain_u,SF,44,113,0,0,117092.0
tcp,private,S0,0,0,0,1,105244.0
tcp,http,SF,334,634,0,0,23748.0
tcp,http,SF,238,1645,0,0,63575.0
tcp,ftp_data,S0,0,0,0,1,84456.0
tcp,http,SF,225,1024,0,0,54567.0
tcp,IRC,RSTR,1033,8573,0,0,41710.0
tcp,http,SF,266,445,0,0,10288.0
tcp,private,S0,0,0,0,1,26148.0
tcp,vmnet,S0,0,0,0,1,45803.0
tcp,vmnet,S0,0,0,0,1,4723.0
tcp,http,SF,355,1320,0,0,18575.0
tcp,private,RSTR,0,0,0,1,84839.0
tcp,http,S0,0,0,0,1,86916.0
tcp,http,SF,245,2431,0,0,36061.0
