service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
11.0,9.0,42.0,42.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.67,35.0,33.0,0.94,0.09,0.0,0.0,0.0,0.0,0.0,63719.0
58.0,9.0,78.0,0.0,0.0,0.0,26.0,0.0,0.0,0.08,0.08,0.0,255.0,12.0,0.05,0.01,0.0,0.0,0.0,0.0,0.0,24394.0
13.0,9.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,201.0,201.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68847.0
23.0,9.0,206.0,642.0,0.0,1.0,29.0,0.0,0.0,1.0,0.0,0.06,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79411.0
13.0,9.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,28.0,1.0,0.0,0.25,0.0,0.0,0.0,1.0,4025.0
17.0,5.0,0.0,0.0,0.0,0.0,37.0,1.0,1.0,0.49,0.05,0.0,255.0,18.0,0.07,0.07,0.0,1.0,1.0,0.0,1.0,47645.0
23.0,9.0,198.0,315.0,0.0,1.0,29.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35194.0
49.0,9.0,817.0,481.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,255.0,3.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,9517.0
45.0,9.0,1.0,0.0,0.0,0.0,139.0,0.0,0.0,0.93,0.01,0.0,255.0,197.0,0.77,0.03,0.0,0.0,0.0,0.0,1.0,26258.0
19.0,9.0,7077.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.67,178.0,40.0,0.22,0.06,0.0,0.01,0.03,0.0,0.0,27832.0
23.0,9.0,332.0,458.0,0.0,1.0,20.0,0.0,0.0,1.0,0.0,0.14,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25770.0
