duration,protocol_type,service,flag,src_bytes,dst_bytes,wrong_fragment,hot,logged_in,num_compromised,su_attempted,num_root,num_access_files,count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
0,1,45,5,0,0,0,0,0,0,0,0,0,94,1.0,1.0,0.0,0.0,0.09,0.09,0.0,255,4,0.02,0.07,0.0,0.0,1.0,1.0,0.0,1,5687.0
0,1,16,5,0,0,0,0,0,0,0,0,0,116,1.0,1.0,0.0,0.0,0.17,0.08,0.0,255,20,0.08,0.07,0.0,0.0,1.0,1.0,0.0,1,71513.0
1,1,50,9,1181,389,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,80,148,0.4,0.05,0.01,0.01,0.0,0.0,0.0,0,42479.0
7,1,50,9,938,328,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31,168,0.97,0.06,0.03,0.02,0.0,0.0,0.0,0,117907.0
0,1,34,5,0,0,0,0,0,0,0,0,0,105,1.0,1.0,0.0,0.0,0.13,0.06,0.0,255,14,0.05,0.05,0.0,0.0,1.0,1.0,0.0,1,4451.0
0,1,45,5,0,0,0,0,0,0,0,0,0,268,1.0,1.0,0.0,0.0,0.01,0.06,0.0,255,8,0.03,0.08,0.0,0.0,1.0,1.0,0.0,1,77008.0
0,1,22,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,22,255,1.0,0.0,0.05,0.05,0.05,0.0,0.03,0,18690.0
0,1,22,9,217,778,0,0,1,0,0,0,0,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,65,255,1.0,0.0,0.02,0.02,0.0,0.0,0.0,0,99618.0
0,1,12,2,0,0,0,0,0,0,0,0,0,119,0.0,0.0,1.0,1.0,0.14,0.06,0.0,255,17,0.07,0.06,0.0,0.0,0.0,0.0,1.0,1,29276.0
0,1,31,1,0,0,0,0,0,0,0,0,0,219,0.0,0.0,1.0,1.0,0.05,0.07,0.0,255,11,0.04,0.07,0.0,0.0,0.0,0.0,1.0,1,118986.0
