protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1,22,9,251,255,0,0,20023.0
2,11,9,45,74,0,0,27030.0
1,22,9,367,3200,0,0,12967.0
1,2,5,0,0,0,1,84958.0
1,32,5,0,0,0,1,106946.0
1,45,5,0,0,0,1,7735.0
1,45,1,0,0,0,1,79148.0
1,15,5,0,0,0,1,105261.0
1,45,1,0,0,0,1,85987.0
1,40,5,0,0,0,1,30523.0
1,45,5,0,0,0,1,16285.0
1,22,9,221,725,0,0,40924.0
2,11,9,45,135,0,0,45471.0
1,22,9,232,960,0,0,6832.0
1,50,9,935,328,0,0,76150.0
1,45,5,0,0,0,1,105265.0
1,19,9,4763,0,0,0,45540.0
2,11,9,45,90,0,0,105223.0
2,11,9,45,126,0,0,67680.0
1,45,5,0,0,0,1,4338.0
1,29,5,0,0,0,1,19301.0
1,17,5,0,0,0,1,25191.0
1,18,9,1262,2453,0,1,90880.0
1,22,9,302,7128,0,0,75825.0
1,17,9,7,425,0,0,72691.0
1,40,4,1,0,0,1,31466.0
1,45,5,0,0,0,1,37288.0
1,22,9,198,6232,0,0,97091.0
1,45,5,0,0,0,1,11575.0
1,45,5,0,0,0,1,88341.0
1,22,1,0,0,0,1,71029.0
1,45,5,0,0,0,1,58165.0
1,22,9,319,261,0,0,44575.0
1,22,9,234,260,0,0,49042.0
1,15,1,0,0,0,1,75085.0
2,11,9,45,45,0,0,106929.0
0,13,9,30,0,0,0,119651.0
1,33,5,0,0,0,1,66036.0
2,45,9,105,146,0,0,91295.0
2,11,9,43,127,0,0,53127.0
1,22,9,201,458,0,0,108714.0
1,56,5,0,0,0,1,101538.0
2,45,9,28,0,0,1,64078.0
1,15,5,0,0,0,1,71324.0
1,22,9,294,2335,0,0,117038.0
0,14,9,1032,0,0,1,121056.0
1,63,5,0,0,0,1,75402.0
1,50,9,5644,322,0,0,42690.0
0,13,9,8,0,0,1,92353.0
1,22,9,206,771,0,0,105759.0
1,19,9,4892,0,0,0,106562.0
1,22,9,195,1227,0,0,105931.0
2,40,9,146,105,0,0,112451.0
0,13,9,8,0,0,1,28368.0
1,45,5,0,0,0,1,23479.0
1,45,5,0,0,0,1,102433.0
1,52,5,0,0,0,1,29914.0
1,45,5,0,0,0,1,58979.0
1,4,5,0,0,0,1,82736.0
1,22,9,215,827,0,0,49616.0
1,16,2,0,0,0,1,118930.0
1,17,9,8,221,0,0,54013.0
1,34,5,0,0,0,1,74470.0
1,45,5,0,0,0,1,116510.0
1,22,9,338,327,0,0,12158.0
1,3,5,0,0,0,1,31071.0
1,21,5,0,0,0,1,35358.0
1,45,1,0,0,0,1,83475.0
1,22,9,234,261,0,0,84978.0
2,11,9,42,42,0,0,125095.0
2,40,9,147,0,0,0,39860.0
1,36,5,0,0,0,1,107525.0
1,18,9,275,903,0,0,58846.0
2,45,9,105,145,0,0,116315.0
1,12,5,0,0,0,1,30752.0
1,40,4,1,0,0,1,109960.0
1,22,9,300,1197,0,0,38088.0
1,45,5,0,0,0,1,6926.0
1,4,5,0,0,0,1,57025.0
1,22,1,0,0,0,1,73622.0
1,4,5,0,0,0,1,34185.0
1,45,4,1,0,0,1,64140.0
2,11,9,45,138,0,0,83861.0
1,50,9,1049,347,0,0,101457.0
1,22,9,259,9464,0,0,88117.0
1,45,5,0,0,0,1,62385.0
1,45,5,0,0,0,1,70223.0
1,19,9,1376,0,0,0,122560.0
1,37,1,0,0,0,1,125732.0
1,45,5,0,0,0,1,75582.0
1,9,2,0,0,0,1,21758.0
1,12,5,0,0,0,1,30128.0
1,22,9,230,15121,0,0,71625.0
1,22,9,356,3130,0,0,108701.0
1,22,9,234,17358,0,0,94781.0
1,36,5,0,0,0,1,95583.0
1,21,5,0,0,0,1,120655.0
1,22,9,209,3002,0,0,102991.0
1,45,1,0,0,0,1,339.0
1,22,9,286,634,0,0,61852.0
1,22,9,219,718,0,0,108845.0
0,14,9,64,0,0,0,51544.0
1,45,5,0,0,0,1,28346.0
1,22,9,211,711,0,0,43683.0
1,19,5,0,0,0,1,3025.0
1,7,5,0,0,0,1,114104.0
1,45,5,0,0,0,1,81424.0
1,22,9,242,971,0,0,32567.0
1,50,9,706,280,0,0,99961.0
1,30,5,0,0,0,1,108908.0
1,22,9,240,1315,0,0,80923.0
1,17,9,7,365,0,0,110818.0
1,29,5,0,0,0,1,104169.0
1,8,5,0,0,0,1,60143.0
1,15,5,0,0,0,1,32967.0
1,45,5,0,0,0,1,15994.0
1,22,9,294,2186,0,0,103184.0
1,19,9,854,0,0,0,99180.0
1,22,9,314,687,0,0,76116.0
1,22,9,295,867,0,0,66506.0
2,11,9,17,17,0,0,15194.0
1,19,9,11,0,0,0,102851.0
2,11,9,44,112,0,0,47848.0
1,3,5,0,0,0,1,85530.0
1,54,1,0,0,0,0,75078.0
1,45,5,0,0,0,1,38484.0
0,13,9,8,0,0,1,125711.0
1,22,1,0,0,0,1,81698.0
1,45,5,0,0,0,1,20134.0
0,14,9,20,0,0,1,99255.0
2,11,9,46,112,0,0,102563.0
1,22,9,324,1951,0,0,28596.0
1,5,5,0,0,0,1,64044.0
1,54,1,0,0,0,0,29386.0
1,40,1,0,0,0,1,73511.0
1,22,9,311,4412,0,0,36938.0
2,11,9,43,125,0,0,18270.0
1,22,9,54540,8314,0,1,59985.0
1,48,5,0,0,0,1,55901.0
1,52,5,0,0,0,1,61909.0
1,22,9,284,124,0,0,28100.0
1,19,9,201,0,0,0,94138.0
1,45,2,0,0,0,1,53757.0
1,45,5,0,0,0,1,34362.0
1,45,1,0,0,0,1,109374.0
2,11,9,46,46,0,0,14689.0
1,22,9,218,4729,0,0,58857.0
1,56,9,104,2858,0,0,97228.0
1,22,9,289,18885,0,0,79347.0
1,21,1,0,0,0,1,19547.0
1,22,5,0,0,0,1,77226.0
1,22,9,207,855,0,0,110789.0
1,22,9,284,577,0,0,58670.0
1,32,5,0,0,0,1,82493.0
1,40,1,0,0,0,1,100584.0
1,40,4,0,0,0,1,125069.0
1,22,9,230,295,0,0,85780.0
1,17,9,10,139,0,0,119864.0
1,19,5,0,0,0,1,22164.0
1,19,9,319,0,0,0,27763.0
1,24,5,0,0,0,1,15463.0
1,50,9,1061,332,0,0,45730.0
2,11,9,44,44,0,0,63150.0
1,50,9,940,331,0,0,68820.0
2,11,9,43,43,0,0,64529.0
1,19,9,10389,0,0,0,80479.0
1,22,9,186,14609,0,0,1351.0
1,52,1,0,0,0,1,52928.0
2,11,9,44,125,0,0,44716.0
1,50,9,1536,329,0,0,69266.0
1,2,5,0,0,0,1,109379.0
2,11,9,42,75,0,0,51201.0
1,50,9,1710,375,0,1,67041.0
1,51,1,0,0,0,1,72225.0
2,11,9,46,133,0,0,116187.0
1,24,5,0,0,0,1,43908.0
1,45,5,0,0,0,1,74991.0
1,50,9,779,330,0,0,54661.0
1,54,5,0,0,0,1,34771.0
2,40,9,146,0,0,0,96465.0
1,22,9,304,30973,0,0,13247.0
2,11,9,33,0,0,0,125962.0
1,22,9,249,1154,0,0,12961.0
1,45,5,0,0,0,1,87606.0
1,22,9,369,2120,0,0,26145.0
1,19,9,12,0,0,0,102840.0
1,45,5,0,0,0,1,68088.0
1,22,1,0,0,0,1,69792.0
1,50,9,886,326,0,0,613.0
1,18,2,0,0,0,1,108139.0
2,11,9,43,145,0,0,83063.0
1,45,5,0,0,0,1,67545.0
1,10,1,0,0,0,1,32290.0
2,11,9,33,87,0,0,23269.0
1,50,9,1146,329,0,0,70896.0
1,40,1,0,0,0,1,70030.0
1,3,9,10,36,0,0,2224.0
1,22,9,217,945,0,0,57890.0
1,22,9,244,2522,0,0,40423.0
1,22,9,340,880,0,0,34602.0
2,45,9,215,0,0,1,44287.0
2,45,9,105,147,0,0,21670.0
1,18,9,1423,4152,0,0,68767.0
2,11,9,43,126,0,0,90722.0
1,5,5,0,0,0,1,39607.0
1,22,9,54540,8314,0,1,35791.0
1,19,9,11376,0,0,0,36360.0
1,22,9,246,515,0,0,41547.0
1,22,9,216,2020,0,0,99050.0
1,19,9,15876,0,0,0,10397.0
1,18,5,0,0,0,1,32713.0
1,50,9,1743,338,0,0,117659.0
1,45,5,0,0,0,1,90030.0
1,37,5,0,0,0,1,4546.0
1,19,5,0,0,0,1,45295.0
1,61,5,0,0,0,1,57.0
1,45,5,0,0,0,1,45836.0
1,45,5,0,0,0,1,76761.0
1,53,5,0,0,0,1,24668.0
1,45,5,0,0,0,1,120759.0
1,45,5,0,0,0,1,76195.0
0,14,9,520,0,0,1,99473.0
1,37,1,0,0,0,1,104747.0
2,11,9,46,128,0,0,64179.0
1,17,5,0,0,0,1,100516.0
2,11,9,46,138,0,0,54603.0
1,19,8,568,0,0,0,120788.0
1,45,1,0,0,0,1,115064.0
0,14,9,1032,0,0,1,109986.0
0,13,9,30,0,0,0,86561.0
1,50,9,1021,336,0,0,103794.0
1,21,5,0,0,0,1,92133.0
1,8,5,0,0,0,1,65126.0
2,40,9,147,105,0,0,39666.0
1,22,9,203,39751,0,0,11783.0
1,62,5,0,0,0,1,16242.0
1,20,5,0,0,0,1,66797.0
1,50,9,966,327,0,0,5064.0
2,40,9,516,4,0,0,104959.0
1,22,9,226,1537,0,0,62713.0
1,22,9,214,2870,0,0,125434.0
2,45,9,105,146,0,0,88825.0
2,11,9,42,42,0,0,10950.0
1,26,5,0,0,0,1,17978.0
1,58,5,0,0,0,1,18672.0
1,22,5,0,0,0,1,78556.0
1,50,9,1339,276,0,0,15930.0
0,13,9,8,0,0,1,53281.0
1,45,5,0,0,0,1,45593.0
1,22,9,272,4695,0,0,25503.0
1,22,9,255,3326,0,0,72586.0
1,17,5,0,0,0,1,52194.0
1,22,9,284,210,0,0,35174.0
1,56,2,0,0,0,1,77748.0
1,56,9,555,17328,0,0,37774.0
2,11,9,45,45,0,0,43240.0
1,22,9,296,667,0,0,68234.0
1,50,9,874,333,0,0,93956.0
1,22,1,0,0,0,1,102010.0
1,7,5,0,0,0,1,84318.0
2,45,9,1,0,0,1,48986.0
1,52,5,0,0,0,1,79573.0
1,19,9,637,0,0,0,113408.0
1,38,5,0,0,0,1,69737.0
1,45,5,0,0,0,1,43573.0
1,45,5,0,0,0,1,83437.0
1,45,5,0,0,0,1,39297.0
1,22,9,315,349,0,0,5630.0
1,63,5,0,0,0,1,71836.0
2,11,9,45,111,0,0,50380.0
1,19,5,0,0,0,1,88998.0
2,40,9,147,105,0,0,92192.0
1,22,9,293,819,0,0,3339.0
1,31,5,0,0,0,1,107943.0
1,50,9,1200,405,0,0,29672.0
1,45,5,0,0,0,1,106607.0
1,19,5,0,0,0,1,16665.0
1,22,9,295,7529,0,0,116581.0
1,19,9,607,0,0,0,47573.0
1,18,9,1228,2451,0,1,118252.0
1,22,9,307,468,0,0,58807.0
1,22,9,236,1109,0,0,61658.0
2,11,9,46,75,0,0,117589.0
1,22,9,333,5933,0,0,89369.0
1,22,9,201,4080,0,0,85631.0
0,14,9,8,0,0,1,23632.0
2,40,9,147,105,0,0,44894.0
1,45,5,0,0,0,1,46640.0
1,45,5,0,0,0,1,5679.0
1,45,5,0,0,0,1,6653.0
1,22,9,296,32294,0,0,40111.0
2,45,9,215,0,0,1,69342.0
1,50,9,658,335,0,0,98995.0
1,22,9,250,293,0,0,14055.0
1,55,5,0,0,0,1,41837.0
0,13,9,8,0,0,1,18338.0
1,22,9,230,2196,0,0,23797.0
0,13,9,8,0,0,1,98843.0
2,11,9,46,132,0,0,98808.0
2,11,9,44,137,0,0,68028.0
1,22,9,309,1528,0,0,12423.0
1,22,9,247,1813,0,0,95750.0
1,15,5,0,0,0,1,124365.0
1,22,9,54540,8314,0,1,16441.0
1,3,5,0,0,0,1,91351.0
1,20,5,0,0,0,1,65225.0
1,43,9,35,130,0,0,67644.0
1,22,9,323,511,0,0,41419.0
1,45,5,0,0,0,1,55200.0
0,13,9,8,0,0,1,38717.0
1,22,9,239,251,0,0,39230.0
1,22,9,324,2178,0,0,9503.0
1,50,9,806,327,0,0,101890.0
1,2,1,0,0,0,1,104865.0
1,45,5,0,0,0,1,102751.0
1,40,5,0,0,0,1,96751.0
1,56,5,0,0,0,1,22103.0
2,40,9,147,0,0,0,87096.0
2,39,9,48,48,0,0,38263.0
2,11,9,33,0,0,0,87737.0
1,22,9,283,13700,0,0,89137.0
1,22,9,297,3306,0,0,95990.0
0,14,9,520,0,0,1,37472.0
1,45,1,0,0,0,1,883.0
1,45,1,0,0,0,1,28336.0
1,22,9,216,1808,0,0,53331.0
2,40,9,516,4,0,0,84651.0
1,45,5,0,0,0,1,77586.0
1,22,9,54540,8314,0,1,94867.0
1,19,9,749,0,0,0,69141.0
1,45,5,0,0,0,1,124417.0
1,25,5,0,0,0,1,47375.0
1,56,9,866,21892,0,0,41443.0
