service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
other,REJ,0,0,0,0,510,0.13,0.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.07,0.0,1.0,1,39154.0
http,SF,301,9295,0,1,25,0.0,0.0,1.0,0.0,0.0,25,255,1.0,0.0,0.01,0.0,0.0,0.0,0,50787.0
http,SF,329,19561,0,1,15,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,97434.0
finger,S0,0,0,0,0,203,1.0,1.0,0.07,0.07,0.0,255,15,0.06,0.07,0.0,1.0,1.0,0.0,1,3628.0
http,SF,314,5422,0,1,8,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,6956.0
private,SH,0,0,0,0,1,1.0,1.0,1.0,0.0,0.0,28,1,0.04,0.71,0.0,0.71,1.0,0.0,1,19523.0
ecr_i,SF,1032,0,0,0,211,0.0,0.0,1.0,0.0,0.0,255,211,0.83,0.01,0.0,0.0,0.0,0.0,1,113043.0
http,SF,289,236,0,1,3,0.0,0.0,1.0,0.0,0.3,75,255,1.0,0.0,0.05,0.0,0.01,0.0,0,95222.0
private,S0,0,0,0,0,133,1.0,1.0,0.04,0.07,0.0,255,5,0.02,0.06,0.0,1.0,1.0,0.0,1,73319.0
http,SF,239,516,0,1,8,0.0,0.0,1.0,0.0,0.23,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,122301.0
iso_tsap,S0,0,0,0,0,264,1.0,1.0,0.04,0.05,0.0,255,10,0.04,0.05,0.0,1.0,1.0,0.0,1,110992.0
http,SF,212,2158,0,1,6,0.0,0.0,1.0,0.0,0.0,6,255,1.0,0.0,0.07,0.0,0.0,0.0,0,28542.0
smtp,SF,1084,334,0,1,1,0.0,0.0,1.0,0.0,0.0,29,75,0.79,0.1,0.03,0.0,0.0,0.0,0,77675.0
smtp,SF,1035,388,0,1,1,0.0,0.0,1.0,0.0,0.0,255,66,0.26,0.06,0.0,0.51,0.0,0.03,0,8510.0
private,RSTR,1,0,0,0,2,0.0,0.0,1.0,0.0,0.0,255,2,0.01,0.73,0.0,0.0,0.0,1.0,1,23261.0
smtp,SF,1117,333,0,1,1,0.0,0.0,1.0,0.0,1.0,192,124,0.52,0.04,0.02,0.0,0.0,0.0,0,44743.0
finger,SF,9,269,0,0,1,0.0,0.0,1.0,0.0,0.0,254,6,0.02,0.02,0.0,0.0,0.0,0.0,0,5949.0
smtp,SF,615,339,0,1,1,0.0,0.0,1.0,0.0,0.0,195,242,0.96,0.01,0.01,0.0,0.0,0.0,0,27957.0
http,S1,345,9887,0,1,2,0.5,0.5,1.0,0.0,0.0,51,255,1.0,0.0,0.02,0.02,0.0,0.0,0,32129.0
http,S0,0,0,0,0,24,1.0,1.0,0.21,0.17,0.0,255,25,0.1,0.07,0.0,1.0,1.0,0.0,1,59010.0
