service,flag,src_bytes,dst_bytes,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,classe,posicaoOriginal
23,9,237,1329,1,0.0,0.0,1.0,0.0,0.07,0.0,0.0,0,116227.0
23,9,234,765,1,0.0,0.0,1.0,0.0,0.14,0.0,0.0,0,49819.0
41,1,0,0,0,0.1,0.0,0.0,1.0,0.0,0.16,0.0,1,46234.0
50,9,1195,406,1,0.0,0.0,1.0,0.0,0.0,0.56,0.0,0,7410.0
46,5,0,0,0,1.0,1.0,0.07,0.08,0.0,1.0,1.0,1,97079.0
14,9,8,0,0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1,88722.0
23,1,0,0,0,0.0,0.0,1.0,0.0,0.12,0.0,0.0,1,46076.0
18,5,0,0,0,1.0,1.0,0.08,0.05,0.0,1.0,1.0,1,110474.0
46,4,0,0,0,0.0,0.0,0.25,0.5,0.0,0.01,0.0,1,96876.0
33,5,0,0,0,1.0,1.0,0.03,0.07,0.0,1.0,1.0,1,86115.0
46,2,0,0,0,0.0,0.0,0.04,0.07,0.0,0.0,0.0,1,53484.0
46,5,0,0,0,1.0,1.0,0.12,0.06,0.0,1.0,1.0,1,106622.0
46,1,0,0,0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,1,79312.0
23,9,314,1011,1,0.0,0.0,1.0,0.0,0.05,0.0,0.01,0,52919.0
12,9,45,132,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,30351.0
12,9,46,46,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,75435.0
23,9,372,5309,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,123181.0
18,5,0,0,0,1.0,1.0,0.01,0.06,0.0,1.0,1.0,1,124854.0
23,9,312,1621,1,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0,107145.0
23,9,301,457,1,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0,37401.0
12,9,46,46,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,68380.0
14,9,8,0,0,0.0,0.0,1.0,0.0,0.51,0.0,0.0,1,64747.0
23,9,226,2402,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,102781.0
12,9,44,133,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,120997.0
46,5,0,0,0,1.0,1.0,0.0,0.06,0.0,1.0,1.0,1,78375.0
50,9,696,330,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,104432.0
26,5,0,0,0,1.0,1.0,0.07,0.06,0.0,1.0,1.0,1,110035.0
14,9,8,0,0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1,82986.0
46,5,0,0,0,1.0,1.0,0.05,0.06,0.0,1.0,1.0,1,37311.0
23,9,208,556,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,89189.0
50,9,1435,325,1,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,108862.0
41,1,0,0,0,0.21,0.0,0.0,1.0,0.0,0.16,0.0,1,63343.0
12,9,44,133,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,8766.0
34,5,0,0,0,1.0,1.0,0.03,0.06,0.0,1.0,1.0,1,122877.0
50,9,1116,403,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,120683.0
41,9,147,105,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,34679.0
24,5,0,0,0,1.0,1.0,0.04,0.06,0.0,1.0,1.0,1,23252.0
46,5,0,0,0,1.0,1.0,0.03,0.07,0.0,1.0,1.0,1,4166.0
56,5,0,0,0,1.0,1.0,0.33,0.06,0.0,1.0,1.0,1,93443.0
31,5,0,0,0,1.0,1.0,0.05,0.08,0.0,1.0,1.0,1,71126.0
23,9,335,1579,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,8442.0
23,9,353,2251,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,17687.0
23,9,239,362,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,38002.0
46,1,0,0,0,0.0,0.0,0.02,0.08,0.0,0.0,0.0,1,89259.0
23,9,320,766,1,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,75040.0
58,9,182,0,0,0.0,0.0,0.33,1.0,0.0,0.0,0.0,0,92188.0
23,9,202,7535,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,121669.0
46,1,0,0,0,0.0,0.0,0.15,0.07,0.0,0.0,0.0,1,15192.0
23,9,303,2507,1,0.0,0.0,1.0,0.0,0.0,0.28,0.0,0,82862.0
46,1,0,0,0,0.08,0.0,0.0,1.0,0.0,0.13,0.0,1,120350.0
50,9,1852,330,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,119551.0
61,5,0,0,0,1.0,1.0,0.08,0.06,0.0,1.0,1.0,1,121286.0
10,10,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,98809.0
46,5,0,0,0,1.0,1.0,0.05,0.06,0.0,1.0,1.0,1,72849.0
23,9,226,1969,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,114709.0
23,9,328,7568,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,43866.0
20,9,1214,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,19170.0
23,9,212,460,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,2367.0
20,9,2194619,0,0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0,64383.0
23,9,229,2413,1,0.0,0.0,1.0,0.0,0.02,0.02,0.01,0,68478.0
23,9,200,3623,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,42209.0
23,9,225,1875,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,73776.0
46,1,0,0,0,0.0,0.0,0.07,0.05,0.0,0.0,0.0,1,32385.0
14,9,8,0,0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1,123851.0
46,5,0,0,0,1.0,1.0,0.14,0.07,0.0,1.0,1.0,1,124608.0
46,9,105,146,0,0.0,0.0,0.14,0.29,0.0,0.0,0.0,0,38696.0
23,9,308,1193,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,77684.0
23,9,311,296,1,0.0,0.0,1.0,0.0,0.05,0.01,0.02,0,123352.0
62,5,0,0,0,1.0,1.0,0.08,0.06,0.0,1.0,1.0,1,28559.0
20,9,175337,0,1,0.0,0.0,1.0,0.0,0.02,0.01,0.0,0,16615.0
20,5,0,0,0,1.0,1.0,0.5,0.05,0.0,1.0,1.0,1,20868.0
23,9,313,1572,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,70333.0
29,5,0,0,0,1.0,1.0,0.01,0.06,0.0,1.0,1.0,1,40093.0
23,9,243,749,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,93467.0
46,5,0,0,0,1.0,1.0,0.15,0.06,0.0,1.0,1.0,1,116947.0
15,9,1032,0,0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,1,81596.0
50,9,2768,406,1,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0,103968.0
50,9,1315,331,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,108965.0
33,5,0,0,0,1.0,1.0,0.0,0.05,0.0,1.0,1.0,1,73085.0
23,9,350,613,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,52962.0
12,9,45,45,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,44255.0
46,5,0,0,0,1.0,1.0,0.07,0.09,0.0,1.0,1.0,1,30295.0
23,9,228,2006,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,81722.0
23,9,219,2768,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,29327.0
12,9,45,74,0,0.0,0.0,1.0,0.01,0.0,0.0,0.0,0,72325.0
6,5,0,0,0,1.0,1.0,0.05,0.07,0.0,1.0,1.0,1,58257.0
23,5,0,0,0,0.5,0.33,1.0,0.0,0.03,0.03,0.03,0,14249.0
23,9,229,15915,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,14728.0
46,5,0,0,0,1.0,1.0,0.0,0.07,0.0,1.0,1.0,1,41493.0
23,9,235,7522,1,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0,4141.0
46,9,105,145,0,0.0,0.0,0.14,0.29,0.0,0.0,0.0,0,49806.0
20,9,192,0,1,0.0,0.0,1.0,0.0,0.06,0.0,0.0,0,80135.0
23,9,351,7886,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,30817.0
41,9,1,0,0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,1,122022.0
50,9,1725,330,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,59250.0
15,9,520,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,79145.0
46,1,0,0,0,0.0,0.0,0.16,0.07,0.0,0.0,0.0,1,110671.0
5,5,0,0,0,1.0,1.0,0.05,0.06,0.0,1.0,1.0,1,14130.0
46,5,0,0,0,1.0,1.0,0.11,0.05,0.0,1.0,1.0,1,100754.0
50,9,2526,335,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,79901.0
23,5,0,0,0,1.0,1.0,0.02,0.06,0.0,1.0,1.0,1,93526.0
12,9,46,92,0,0.0,0.0,1.0,0.01,0.0,0.0,0.0,0,72391.0
23,9,361,250,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,62596.0
57,9,0,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,112873.0
46,5,0,0,0,1.0,1.0,0.12,0.06,0.0,1.0,1.0,1,46469.0
23,9,182,9442,1,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,107683.0
38,5,0,0,0,1.0,1.0,0.09,0.05,0.0,1.0,1.0,1,108477.0
46,5,0,0,0,1.0,1.0,0.1,0.05,0.0,1.0,1.0,1,84470.0
13,5,0,0,0,1.0,1.0,0.12,0.06,0.0,1.0,1.0,1,30128.0
46,5,0,0,0,1.0,1.0,0.02,0.07,0.0,1.0,1.0,1,17770.0
14,9,8,0,0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1,87915.0
