service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
11,9,42,131,0,0,194,0.0,0.0,0.99,0.01,0.0,83,50,0.6,0.02,0.0,0.0,0.0,0.0,0,113775.0
2,5,0,0,0,0,274,1.0,1.0,0.04,0.05,0.0,255,12,0.05,0.05,0.0,1.0,1.0,0.0,1,87172.0
11,9,45,130,0,0,277,0.0,0.0,1.0,0.0,0.0,255,251,0.98,0.01,0.0,0.0,0.0,0.0,0,3415.0
13,9,18,0,0,0,1,0.0,0.0,1.0,0.0,0.0,1,97,1.0,0.0,0.26,0.0,0.0,0.0,1,89112.0
44,5,0,0,0,0,283,1.0,1.0,0.0,0.06,0.0,255,18,0.07,0.08,0.0,1.0,1.0,0.0,1,71303.0
19,9,641,0,0,1,1,0.0,0.0,1.0,0.0,0.0,32,105,0.84,0.06,0.03,0.0,0.0,0.0,0,6196.0
22,9,244,1601,0,1,5,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,27476.0
13,9,30,0,0,0,1,0.0,0.0,1.0,0.0,0.0,195,195,1.0,0.0,0.0,0.0,0.0,0.0,0,57265.0
44,5,0,0,0,0,270,1.0,1.0,0.06,0.07,0.0,255,15,0.06,0.09,0.0,1.0,1.0,0.0,1,45576.0
49,5,0,0,0,0,7,1.0,0.78,1.0,0.0,0.33,29,141,0.24,0.07,0.01,0.93,0.05,0.0,1,538.0
44,5,0,0,0,0,135,1.0,1.0,0.11,0.06,0.0,255,15,0.06,0.07,0.0,1.0,1.0,0.0,1,9669.0
44,5,0,0,0,0,264,1.0,1.0,0.01,0.06,0.0,255,7,0.03,0.07,0.0,1.0,1.0,0.0,1,47470.0
