service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
13.0,9.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,97.0,1.0,0.0,0.26,0.0,0.0,0.0,1.0,89112.0
19.0,9.0,641.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,32.0,105.0,0.84,0.06,0.03,0.0,0.0,0.0,0.0,6196.0
22.0,9.0,244.0,1601.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27476.0
49.0,5.0,0.0,0.0,0.0,0.0,7.0,1.0,0.78,1.0,0.0,0.33,29.0,141.0,0.24,0.07,0.01,0.93,0.05,0.0,1.0,538.0
49.0,9.0,888.0,332.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,255.0,151.0,0.59,0.03,0.0,0.0,0.0,0.0,0.0,106340.0
49.0,9.0,12424.0,1550.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,247.0,129.0,0.49,0.01,0.02,0.81,0.78,0.0,0.0,123370.0
22.0,9.0,373.0,3040.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12758.0
44.0,9.0,105.0,147.0,0.0,0.0,8.0,0.0,0.0,0.25,0.25,0.0,255.0,242.0,0.95,0.01,0.0,0.0,0.0,0.0,0.0,952.0
22.0,9.0,191.0,325.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,96214.0
22.0,9.0,328.0,5087.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.18,2.0,255.0,1.0,0.0,0.06,0.0,0.0,0.0,0.0,105512.0
22.0,9.0,202.0,1253.0,0.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,169.0,255.0,1.0,0.0,0.03,0.0,0.0,0.0,0.0,69426.0
49.0,9.0,1505.0,330.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,147.0,136.0,0.37,0.04,0.01,0.0,0.0,0.0,0.0,100912.0
22.0,9.0,325.0,1047.0,0.0,1.0,31.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41635.0
11.0,9.0,44.0,110.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,207.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,112692.0
22.0,9.0,208.0,1248.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.4,4.0,255.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,123548.0
22.0,9.0,188.0,525.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,102.0,255.0,1.0,0.0,0.04,0.0,0.0,0.0,0.0,45676.0
49.0,9.0,1415.0,364.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,84.0,136.0,0.8,0.05,0.01,0.0,0.0,0.0,0.0,24061.0
22.0,9.0,347.0,3448.0,0.0,1.0,15.0,0.0,0.0,1.0,0.0,0.09,60.0,231.0,1.0,0.0,0.03,0.0,0.0,0.0,0.0,97067.0
22.0,9.0,216.0,354.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.38,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77718.0
19.0,9.0,749.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,78.0,89.0,0.18,0.04,0.02,0.0,0.0,0.0,0.0,57622.0
22.0,9.0,206.0,8678.0,0.0,1.0,23.0,0.0,0.0,1.0,0.0,0.08,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28131.0
14.0,9.0,1032.0,0.0,0.0,0.0,154.0,0.0,0.0,1.0,0.0,0.0,255.0,154.0,0.6,0.01,0.0,0.0,0.0,0.0,1.0,5861.0
22.0,9.0,208.0,3285.0,0.0,1.0,20.0,0.0,0.0,1.0,0.0,0.1,20.0,255.0,1.0,0.0,0.07,0.0,0.0,0.0,0.0,120037.0
11.0,9.0,33.0,88.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.36,255.0,250.0,0.98,0.01,0.0,0.0,0.0,0.0,0.0,7666.0
22.0,9.0,377.0,457.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.11,30.0,255.0,1.0,0.0,0.04,0.0,0.0,0.0,0.0,75271.0
22.0,9.0,206.0,19950.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,0.2,10.0,255.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,99056.0
14.0,9.0,520.0,0.0,0.0,0.0,270.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,66185.0
22.0,9.0,304.0,310.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,87150.0
44.0,1.0,0.0,0.0,0.0,0.0,509.0,0.04,0.0,0.0,0.99,0.0,255.0,1.0,0.0,1.0,0.0,0.04,0.0,1.0,1.0,3444.0
22.0,9.0,202.0,1792.0,0.0,1.0,17.0,0.06,0.06,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36203.0
22.0,9.0,281.0,406.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.12,1.0,255.0,1.0,0.0,0.06,0.0,0.0,0.0,0.0,4399.0
22.0,9.0,221.0,1425.0,0.0,1.0,13.0,0.0,0.0,1.0,0.0,0.1,233.0,255.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,96276.0
13.0,9.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,72.0,1.0,0.0,0.25,0.0,0.0,0.0,1.0,116763.0
22.0,9.0,331.0,2512.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,48.0,255.0,1.0,0.0,0.1,0.0,0.0,0.8,0.0,24411.0
