service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
11,9,43,131,0,0,64,0.0,0.0,1.0,0.0,0.01,255,239,0.94,0.01,0.0,0.0,0.0,0.0,0,36191.0
22,9,320,4213,0,1,12,0.0,0.0,1.0,0.0,0.15,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,36208.0
45,1,0,0,0,0,2,0.0,0.0,0.5,1.0,0.0,255,1,0.0,0.91,0.0,0.0,0.0,1.0,1,4550.0
22,1,0,0,0,0,1,0.0,0.0,1.0,0.0,1.0,35,118,1.0,0.0,0.22,0.0,0.0,1.0,0,2232.0
22,9,328,2798,0,1,1,0.0,0.0,1.0,0.0,0.57,1,255,1.0,0.0,0.04,0.0,0.01,0.0,0,66085.0
50,9,1362,328,0,1,1,0.0,0.0,1.0,0.0,0.0,132,88,0.67,0.05,0.0,0.0,0.0,0.0,0,21113.0
27,1,0,0,0,0,131,0.0,0.0,0.15,0.06,0.0,255,19,0.07,0.07,0.0,0.0,0.0,1.0,1,54304.0
45,1,0,0,0,0,231,0.0,0.0,0.08,0.07,0.0,255,18,0.07,0.07,0.0,0.0,0.0,1.0,1,24880.0
13,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,25,1.0,0.0,0.52,0.0,0.0,0.0,1,110544.0
22,9,205,187,0,1,37,0.0,0.0,1.0,0.0,0.0,151,255,1.0,0.0,0.02,0.0,0.0,0.0,0,118740.0
31,5,0,0,0,0,109,1.0,1.0,0.19,0.06,0.0,255,3,0.01,0.07,0.0,1.0,1.0,0.0,1,89883.0
52,5,0,0,0,0,72,1.0,1.0,0.19,0.06,0.0,255,8,0.03,0.07,0.0,1.0,1.0,0.0,1,15689.0
