service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
22,9,253,150,0,1,1,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,43853.0
45,9,105,146,0,0,3,0.0,0.0,0.33,1.0,0.0,255,236,0.93,0.01,0.0,0.0,0.0,0.0,0,97551.0
45,5,0,0,0,0,248,1.0,1.0,0.05,0.06,0.0,255,18,0.07,0.07,0.0,1.0,1.0,0.0,1,97662.0
45,1,0,0,0,0,182,0.0,0.0,0.11,0.06,0.0,255,20,0.08,0.07,0.0,0.0,0.0,1.0,1,98834.0
22,9,293,4693,0,1,16,0.0,0.0,1.0,0.0,0.0,32,255,1.0,0.0,0.02,0.0,0.0,0.0,0,94993.0
49,9,1015,335,0,1,1,0.0,0.0,1.0,0.0,1.0,26,88,0.88,0.15,0.02,0.0,0.0,0.0,0,62098.0
11,9,41,130,0,0,67,0.0,0.0,1.0,0.0,0.01,255,235,0.92,0.01,0.0,0.0,0.0,0.0,0,1962.0
22,9,335,1319,0,1,3,0.0,0.0,1.0,0.0,0.4,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,80464.0
17,9,7,363,0,0,1,0.0,0.0,1.0,0.0,0.0,143,7,0.01,0.02,0.43,0.0,0.14,0.0,0,16847.0
22,9,315,1425,0,1,3,0.33,0.33,1.0,0.0,0.0,166,255,1.0,0.0,0.02,0.01,0.0,0.0,0,54338.0
11,9,45,114,0,0,12,0.0,0.0,1.0,0.0,0.09,255,251,0.98,0.01,0.0,0.0,0.0,0.0,0,7020.0
22,9,2044,2234,0,1,5,0.0,0.0,1.0,0.0,0.0,28,255,1.0,0.0,0.07,0.0,0.01,0.0,0,38396.0
19,5,0,0,0,0,57,1.0,1.0,0.21,0.07,0.0,255,63,0.25,0.03,0.0,1.0,1.0,0.0,1,58569.0
45,5,0,0,0,0,254,1.0,1.0,0.02,0.06,0.0,255,14,0.05,0.07,0.0,1.0,1.0,0.0,1,101085.0
22,9,334,281,0,1,5,0.0,0.0,1.0,0.0,0.0,255,244,0.96,0.01,0.0,0.0,0.0,0.0,0,69782.0
14,9,1032,0,0,0,510,0.0,0.0,1.0,0.0,0.0,234,89,0.38,0.01,0.0,0.0,0.0,0.0,1,99515.0
14,9,1032,0,0,0,49,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,1,78941.0
49,9,2710,366,0,1,1,0.0,0.0,1.0,0.0,0.0,232,126,0.54,0.02,0.0,0.0,0.0,0.0,0,18378.0
45,5,0,0,0,0,80,1.0,1.0,0.11,0.06,0.0,255,6,0.02,0.06,0.0,1.0,1.0,0.0,1,38484.0
13,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,89,1.0,0.0,0.51,0.0,0.0,0.0,1,31329.0
22,1,0,0,0,0,34,0.0,0.0,1.0,0.0,0.0,187,198,1.0,0.0,0.03,0.01,0.01,0.39,0,113253.0
22,9,216,1308,0,1,20,0.0,0.0,1.0,0.0,0.13,130,255,1.0,0.0,0.02,0.0,0.0,0.0,0,76877.0
22,1,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,24,27,1.0,0.0,0.07,0.0,0.07,0.93,0,79108.0
57,5,0,0,0,0,214,1.0,1.0,0.0,0.07,0.0,255,20,0.08,0.06,0.0,1.0,1.0,0.0,1,89085.0
11,9,32,0,0,0,1,0.0,0.0,1.0,0.0,1.0,32,82,0.28,0.09,0.04,0.0,0.0,0.0,0,89957.0
11,9,45,82,0,0,241,0.0,0.0,1.0,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0,39372.0
22,9,339,286,0,1,2,0.0,0.0,1.0,0.0,0.0,255,216,0.85,0.02,0.0,0.0,0.0,0.0,0,112147.0
13,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,2,116,1.0,0.0,0.5,0.0,0.0,0.0,1,40067.0
13,9,30,0,0,0,1,0.0,0.0,1.0,0.0,0.0,192,192,1.0,0.0,0.0,0.0,0.0,0.0,0,50963.0
22,9,308,1374,0,1,13,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,50843.0
22,1,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,70,255,1.0,0.0,0.08,0.0,0.0,0.79,0,30945.0
22,9,324,392,0,1,36,0.0,0.0,1.0,0.0,0.07,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,105734.0
22,9,242,492,0,1,26,0.0,0.0,1.0,0.0,0.12,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,59750.0
22,9,252,1566,0,1,6,0.0,0.0,1.0,0.0,0.0,121,255,1.0,0.0,0.02,0.0,0.0,0.06,0,125121.0
19,9,71,0,0,1,1,0.0,0.0,1.0,0.0,0.0,255,61,0.24,0.02,0.0,0.88,0.98,0.0,0,89089.0
45,1,0,0,0,0,147,0.0,0.0,0.12,0.05,0.0,255,11,0.04,0.07,0.0,0.0,0.0,1.0,1,88082.0
45,5,0,0,0,0,119,1.0,1.0,0.17,0.07,0.0,255,20,0.08,0.05,0.0,1.0,1.0,0.0,1,34141.0
22,9,340,690,0,1,10,0.0,0.0,1.0,0.0,0.23,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,47416.0
14,9,1032,0,0,0,509,0.0,0.0,1.0,0.0,0.0,255,178,0.7,0.16,0.0,0.0,0.0,0.0,1,20472.0
11,9,46,136,0,0,16,0.0,0.0,1.0,0.0,0.04,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0,106418.0
22,9,214,2659,0,1,13,0.0,0.0,1.0,0.0,0.0,48,255,1.0,0.0,0.02,0.0,0.0,0.0,0,85500.0
