protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1.0,23.0,9.0,296.0,449.0,0.0,0.0,36985.0
1.0,23.0,9.0,240.0,293.0,0.0,0.0,50256.0
1.0,23.0,9.0,278.0,6546.0,0.0,0.0,123951.0
1.0,23.0,9.0,198.0,2656.0,0.0,0.0,2615.0
1.0,23.0,9.0,196.0,2168.0,0.0,0.0,36141.0
1.0,23.0,6.0,227.0,32120.0,0.0,0.0,67302.0
1.0,23.0,9.0,322.0,4902.0,0.0,0.0,30334.0
1.0,8.0,5.0,0.0,0.0,0.0,1.0,22489.0
1.0,23.0,9.0,220.0,1241.0,0.0,0.0,102310.0
2.0,12.0,9.0,44.0,129.0,0.0,0.0,41410.0
1.0,23.0,9.0,54540.0,8314.0,0.0,1.0,112118.0
1.0,23.0,9.0,233.0,128.0,0.0,0.0,117036.0
1.0,4.0,5.0,0.0,0.0,0.0,1.0,4170.0
1.0,23.0,9.0,208.0,281.0,0.0,0.0,4702.0
2.0,46.0,9.0,105.0,145.0,0.0,0.0,117323.0
1.0,23.0,9.0,252.0,1597.0,0.0,0.0,38020.0
1.0,23.0,9.0,309.0,296.0,0.0,0.0,53344.0
1.0,56.0,9.0,2555.0,10108.0,0.0,0.0,112804.0
0.0,15.0,9.0,1032.0,0.0,0.0,1.0,16993.0
1.0,2.0,5.0,0.0,0.0,0.0,1.0,35771.0
1.0,23.0,9.0,352.0,397.0,0.0,0.0,98035.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,95290.0
0.0,14.0,9.0,30.0,0.0,0.0,0.0,122670.0
1.0,23.0,9.0,209.0,2198.0,0.0,0.0,81837.0
1.0,23.0,9.0,270.0,238.0,0.0,0.0,125147.0
1.0,23.0,9.0,237.0,571.0,0.0,0.0,92791.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,52955.0
1.0,23.0,9.0,210.0,1888.0,0.0,0.0,7813.0
0.0,15.0,9.0,1032.0,0.0,0.0,1.0,79115.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,34425.0
1.0,23.0,9.0,233.0,540.0,0.0,0.0,7927.0
2.0,12.0,9.0,44.0,44.0,0.0,0.0,32286.0
2.0,12.0,9.0,44.0,129.0,0.0,0.0,120255.0
1.0,13.0,5.0,0.0,0.0,0.0,1.0,29505.0
1.0,23.0,9.0,331.0,1397.0,0.0,0.0,118305.0
1.0,23.0,9.0,236.0,1556.0,0.0,0.0,70121.0
1.0,46.0,1.0,0.0,0.0,0.0,1.0,37433.0
1.0,21.0,1.0,0.0,0.0,0.0,1.0,9326.0
