protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1,31,5,0,0,0,1,65798.0
1,20,5,0,0,0,1,96879.0
1,22,9,207,314,0,0,94433.0
1,22,9,310,290,0,0,40200.0
1,45,5,0,0,0,1,46432.0
1,22,1,0,0,0,1,20361.0
1,22,9,54540,8314,0,0,74567.0
1,22,1,0,0,0,1,981.0
2,45,9,28,0,0,1,21468.0
1,22,9,298,3897,0,0,94678.0
1,22,9,286,3678,0,0,117277.0
1,22,9,166,9597,0,0,103482.0
1,22,9,206,642,0,0,96960.0
1,22,9,262,1323,0,0,21859.0
1,22,9,245,30881,0,0,106376.0
1,23,5,0,0,0,1,93546.0
0,14,9,520,0,0,1,59780.0
1,60,5,0,0,0,1,43121.0
1,22,9,211,3592,0,0,61090.0
1,22,5,0,0,0,1,101207.0
1,49,9,893,330,0,0,78991.0
1,22,9,209,2150,0,0,59812.0
1,40,4,1,0,0,1,112913.0
1,43,9,38,130,0,0,31395.0
1,49,9,759,387,0,0,88848.0
1,22,9,246,242,0,0,61277.0
1,22,9,308,632,0,0,64609.0
1,22,9,308,463,0,0,105061.0
0,13,9,8,0,0,1,50096.0
0,14,9,520,0,0,1,74270.0
1,19,9,383,0,0,0,75687.0
1,45,5,0,0,0,1,73375.0
1,45,5,0,0,0,1,52504.0
0,13,9,8,0,0,1,113819.0
0,13,9,8,0,0,1,97940.0
1,22,9,262,2539,0,0,111653.0
1,19,5,0,0,0,1,28093.0
1,22,9,342,285,0,0,105428.0
1,22,9,285,6793,0,0,123896.0
1,22,9,233,1380,0,0,108234.0
1,19,9,1470,0,0,0,5288.0
1,40,1,0,0,0,1,106575.0
1,19,1,0,0,0,1,19566.0
0,13,9,8,0,0,1,5023.0
1,9,5,0,0,0,1,85863.0
1,17,5,0,0,0,1,62242.0
1,19,9,10389,0,0,0,1237.0
1,22,9,289,1792,0,0,88584.0
1,52,5,0,0,0,1,115860.0
1,19,5,0,0,0,1,55476.0
1,55,5,0,0,0,1,61288.0
1,22,9,303,1547,0,0,6396.0
1,19,9,641,0,0,0,85728.0
0,13,9,8,0,0,1,18781.0
1,8,5,0,0,0,1,60143.0
1,19,9,748,0,0,0,32072.0
1,49,9,781,334,0,0,22332.0
0,13,9,8,0,0,1,80182.0
1,22,5,0,0,0,1,121756.0
1,22,9,213,9311,0,0,38361.0
2,45,9,105,147,0,0,3574.0
1,22,9,194,1437,0,0,102802.0
0,14,9,520,0,0,1,18101.0
1,22,9,225,4359,0,0,11033.0
1,45,5,0,0,0,1,95540.0
1,45,5,0,0,0,1,83285.0
1,22,9,217,2991,0,0,105149.0
1,22,9,178,841,0,0,53984.0
1,22,9,202,1862,0,0,66179.0
1,49,9,759,329,0,0,101098.0
2,40,9,146,105,0,0,72846.0
1,22,9,317,294,0,0,39683.0
1,45,1,0,0,0,1,28834.0
1,22,9,225,736,0,0,89287.0
1,2,5,0,0,0,1,54644.0
1,37,5,0,0,0,1,15428.0
1,45,5,0,0,0,1,79922.0
1,45,1,0,0,0,1,60484.0
2,11,9,43,128,0,0,98623.0
1,45,5,0,0,0,1,70359.0
1,22,9,316,301,0,0,121857.0
1,45,1,0,0,0,1,116430.0
0,13,9,8,0,0,1,71648.0
1,45,5,0,0,0,1,27557.0
0,13,9,64,0,0,0,36711.0
1,22,9,360,1541,0,0,32376.0
1,22,9,281,744,0,0,22306.0
1,22,9,54540,8314,0,0,66510.0
1,22,9,305,1819,0,0,67631.0
1,45,4,1,0,0,1,91699.0
2,11,9,40,73,0,0,53214.0
1,10,5,0,0,0,1,18126.0
1,22,9,259,345,0,0,111469.0
0,14,9,1032,0,0,1,124447.0
2,11,9,42,143,0,0,122891.0
2,11,9,45,135,0,0,41825.0
1,15,5,0,0,0,1,81252.0
1,22,9,336,405,0,0,114091.0
1,30,5,0,0,0,1,60626.0
1,45,5,0,0,0,1,38048.0
1,22,1,0,0,0,1,73119.0
1,22,9,186,719,0,0,90020.0
1,22,9,229,482,0,0,63107.0
1,45,5,0,0,0,1,10067.0
1,53,5,0,0,0,1,90041.0
1,48,5,0,0,0,1,93656.0
2,40,9,146,105,0,0,61783.0
1,2,5,0,0,0,1,73910.0
2,40,9,1,0,0,1,3231.0
1,22,9,303,2698,0,0,33324.0
1,22,9,317,3116,0,0,63010.0
