protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1.0,23.0,9.0,309.0,1713.0,0.0,0.0,45240.0
1.0,23.0,9.0,205.0,310.0,0.0,0.0,18054.0
1.0,23.0,9.0,237.0,386.0,0.0,0.0,98352.0
1.0,23.0,9.0,245.0,22021.0,0.0,0.0,114339.0
1.0,23.0,9.0,351.0,725.0,0.0,0.0,6619.0
1.0,23.0,9.0,237.0,788.0,0.0,0.0,93890.0
2.0,12.0,9.0,45.0,110.0,0.0,0.0,62550.0
1.0,23.0,9.0,222.0,391.0,0.0,0.0,58451.0
1.0,23.0,9.0,239.0,7333.0,0.0,0.0,67603.0
1.0,23.0,9.0,211.0,2058.0,0.0,0.0,30759.0
1.0,23.0,9.0,328.0,6716.0,0.0,0.0,108755.0
1.0,23.0,9.0,207.0,1540.0,0.0,0.0,61357.0
1.0,20.0,9.0,19.0,0.0,0.0,0.0,122961.0
1.0,23.0,9.0,334.0,1592.0,0.0,0.0,8076.0
2.0,12.0,9.0,44.0,80.0,0.0,0.0,65373.0
1.0,19.0,9.0,236.0,773.0,0.0,0.0,33915.0
0.0,57.0,9.0,78.0,0.0,0.0,0.0,21728.0
1.0,23.0,9.0,179.0,5670.0,0.0,0.0,10806.0
2.0,12.0,9.0,42.0,75.0,0.0,0.0,80197.0
1.0,23.0,9.0,340.0,6731.0,0.0,0.0,5491.0
1.0,23.0,9.0,378.0,1413.0,0.0,0.0,110090.0
2.0,12.0,9.0,33.0,89.0,0.0,0.0,72327.0
1.0,23.0,9.0,295.0,6120.0,0.0,0.0,47429.0
1.0,23.0,9.0,328.0,14087.0,0.0,0.0,2048.0
1.0,23.0,9.0,245.0,381.0,0.0,0.0,26133.0
1.0,23.0,9.0,158.0,2500.0,0.0,0.0,26530.0
1.0,23.0,9.0,233.0,13380.0,0.0,0.0,87492.0
1.0,23.0,9.0,260.0,2721.0,0.0,0.0,68206.0
1.0,0.0,4.0,1960.0,3855.0,0.0,0.0,27649.0
1.0,23.0,9.0,187.0,3794.0,0.0,0.0,66578.0
1.0,23.0,9.0,216.0,333.0,0.0,0.0,32828.0
1.0,23.0,9.0,271.0,1569.0,0.0,0.0,67515.0
2.0,12.0,9.0,43.0,70.0,0.0,0.0,23189.0
1.0,23.0,9.0,288.0,14781.0,0.0,0.0,93094.0
1.0,23.0,9.0,286.0,1425.0,0.0,0.0,23301.0
1.0,23.0,9.0,325.0,746.0,0.0,0.0,75352.0
1.0,23.0,9.0,234.0,4007.0,0.0,0.0,117702.0
