protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
2,44,9,105,146,0,0,106044.0
2,11,9,36,96,0,0,72946.0
1,44,5,0,0,0,1,59088.0
0,13,9,8,0,0,1,5858.0
0,13,9,30,0,0,0,54834.0
2,11,9,45,114,0,0,7020.0
1,22,9,246,1394,0,0,53064.0
1,22,9,205,2530,0,0,80055.0
1,19,9,245,0,0,0,41173.0
1,40,4,1,0,0,1,31466.0
1,44,5,0,0,0,1,67073.0
1,22,9,332,9211,0,0,45777.0
1,21,5,0,0,0,1,87104.0
0,13,9,8,0,0,1,91816.0
1,44,5,0,0,0,1,88550.0
1,22,9,351,9114,0,0,70055.0
1,22,9,233,2239,0,0,63535.0
1,22,9,223,7273,0,0,79427.0
1,22,9,164,5450,0,0,42609.0
1,19,9,383,0,0,0,102497.0
1,22,9,295,180,0,0,42244.0
2,11,9,46,112,0,0,42151.0
1,44,1,0,0,0,1,90638.0
1,17,9,10,142,0,0,23251.0
1,19,1,0,0,0,1,28729.0
1,22,9,239,7892,0,0,99144.0
1,44,5,0,0,0,1,79381.0
2,44,9,28,0,0,1,109477.0
0,13,9,18,0,0,1,82482.0
1,15,5,0,0,0,1,73944.0
2,40,9,516,4,0,0,23270.0
1,18,5,0,0,0,1,91456.0
1,19,9,61298,0,0,0,48540.0
1,44,4,1,0,0,1,43281.0
1,22,9,282,761,0,0,124377.0
1,22,9,219,1228,0,0,12178.0
1,48,9,1942,332,0,0,55005.0
2,11,9,35,51,0,0,33727.0
1,48,9,715,328,0,0,5548.0
1,40,9,6062,0,0,0,87758.0
1,44,1,0,0,0,1,17149.0
1,22,9,319,2304,0,0,90027.0
1,22,9,316,1195,0,0,31712.0
1,22,9,241,2858,0,0,116680.0
0,13,9,8,0,0,1,6737.0
2,11,9,44,113,0,0,68216.0
2,11,9,45,78,0,0,107614.0
1,44,5,0,0,0,1,119977.0
1,31,5,0,0,0,1,42098.0
1,44,5,0,0,0,1,48850.0
0,13,9,8,0,0,1,67866.0
1,22,9,244,302,0,0,118418.0
1,5,5,0,0,0,1,88843.0
1,12,5,0,0,0,1,36863.0
1,22,9,208,1011,0,0,47174.0
1,44,5,0,0,0,1,97812.0
1,22,9,255,31360,0,0,123147.0
1,44,5,0,0,0,1,56303.0
1,22,9,280,885,0,0,53326.0
1,22,9,241,13345,0,0,13586.0
1,44,5,0,0,0,1,107543.0
2,11,9,46,123,0,0,80774.0
1,22,1,0,0,0,0,5540.0
1,48,9,1247,327,0,0,118440.0
1,38,5,0,0,0,1,81672.0
1,22,9,210,305,0,0,15595.0
1,22,9,301,274,0,0,73515.0
1,44,1,0,0,0,1,35524.0
1,10,5,0,0,0,1,15201.0
1,22,9,258,349,0,0,43219.0
1,22,9,281,1266,0,0,84587.0
1,5,10,0,0,0,1,113350.0
1,44,5,0,0,0,1,99940.0
1,22,9,209,702,0,0,84052.0
1,27,5,0,0,0,1,52834.0
1,25,1,0,0,0,0,76148.0
1,44,5,0,0,0,1,8536.0
1,24,1,0,0,0,0,88749.0
1,20,5,0,0,0,1,28739.0
1,17,5,0,0,0,1,46301.0
1,22,9,303,336,0,0,106079.0
1,27,5,0,0,0,1,24693.0
1,22,9,306,3222,0,0,74671.0
1,44,4,1,0,0,1,101053.0
1,44,5,0,0,0,1,44349.0
1,22,9,272,267,0,0,43724.0
1,22,9,198,4333,0,0,101610.0
2,11,9,38,54,0,0,90587.0
1,44,5,0,0,0,1,83317.0
1,22,9,314,18265,0,0,117360.0
1,22,9,229,782,0,0,68273.0
1,22,9,220,27411,0,0,69194.0
1,19,9,2194619,0,0,0,1046.0
1,40,5,0,0,0,1,61048.0
1,22,9,219,12922,0,0,70563.0
1,22,9,166,23013,0,0,36192.0
1,22,9,289,458,0,0,53730.0
1,33,5,0,0,0,1,76164.0
1,17,5,0,0,0,1,56298.0
1,35,1,0,0,0,1,15612.0
2,11,9,46,130,0,0,117750.0
1,44,5,0,0,0,1,110052.0
1,44,5,0,0,0,1,37921.0
1,44,5,0,0,0,1,21799.0
2,11,9,42,42,0,0,4595.0
1,19,9,10073,0,0,0,67737.0
1,3,5,0,0,0,1,89458.0
2,11,9,43,76,0,0,121819.0
1,22,9,54540,8314,0,0,84167.0
1,44,5,0,0,0,1,63635.0
1,48,9,1378,333,0,0,80421.0
1,44,4,0,0,0,1,27151.0
1,22,9,313,2754,0,0,91683.0
1,30,2,0,0,0,1,58072.0
1,2,1,0,0,0,1,32099.0
1,22,9,54540,8314,0,0,32716.0
1,37,5,0,0,0,1,9939.0
1,22,9,238,12259,0,0,75832.0
2,11,9,44,44,0,0,10440.0
1,44,5,0,0,0,1,87229.0
1,44,1,0,0,0,1,31793.0
1,17,5,0,0,0,1,14768.0
1,2,1,0,0,0,1,85767.0
1,22,9,214,6008,0,0,48851.0
1,44,5,0,0,0,1,10558.0
1,61,1,0,0,0,1,116606.0
1,22,9,182,29290,0,0,64635.0
1,24,5,0,0,0,1,13387.0
1,22,9,268,279,0,0,2057.0
1,17,5,0,0,0,1,100516.0
1,22,9,327,392,0,0,91553.0
1,19,5,0,0,0,1,101444.0
1,22,1,0,0,0,0,14243.0
1,22,9,212,1863,0,0,41252.0
1,44,5,0,0,0,1,123239.0
1,22,9,348,255,0,0,84193.0
2,44,9,215,0,0,0,1125.0
1,22,9,339,284,0,0,34104.0
1,22,9,236,4527,0,0,120292.0
1,44,5,0,0,0,1,12811.0
1,18,9,703,2070,0,0,113374.0
1,44,5,0,0,0,1,25005.0
1,22,9,311,791,0,0,36529.0
0,13,9,30,0,0,0,22433.0
1,22,9,232,12605,0,0,30580.0
1,7,5,0,0,0,1,59675.0
1,19,9,334,0,0,0,46243.0
1,22,1,0,0,0,0,68904.0
2,44,9,28,0,0,1,93213.0
1,22,9,329,7217,0,0,103398.0
1,22,9,292,2828,0,0,4793.0
1,22,1,0,0,0,0,10627.0
1,22,9,317,4452,0,0,57605.0
1,22,9,331,6827,0,0,4432.0
2,11,9,42,127,0,0,38476.0
1,19,9,12165,0,0,0,81695.0
1,44,5,0,0,0,1,7203.0
2,44,9,1,0,0,1,82776.0
0,14,9,1032,0,0,0,106638.0
1,29,5,0,0,0,1,71019.0
1,44,5,0,0,0,1,74223.0
1,48,9,1182,362,0,0,69081.0
1,19,9,884,0,0,0,81791.0
1,22,9,324,15862,0,0,100802.0
1,44,5,0,0,0,1,61181.0
1,44,5,0,0,0,1,82791.0
0,13,9,8,0,0,1,50519.0
1,21,5,0,0,0,1,57356.0
1,44,1,0,0,0,1,69633.0
1,44,5,0,0,0,1,97774.0
1,44,5,0,0,0,1,10690.0
1,22,9,149,3177,0,0,6550.0
1,22,9,225,10625,0,0,96225.0
0,14,9,1032,0,0,0,79205.0
2,40,9,146,0,0,0,8959.0
0,14,9,1480,0,0,0,30503.0
1,22,9,323,7355,0,0,11090.0
1,44,5,0,0,0,1,74025.0
1,21,5,0,0,0,1,103700.0
0,13,9,8,0,0,1,56935.0
1,22,5,0,0,0,1,83389.0
2,11,9,44,72,0,0,67963.0
1,18,5,0,0,0,1,93151.0
1,22,9,276,2907,0,0,84309.0
1,19,5,0,0,0,1,60130.0
1,44,5,0,0,0,1,68595.0
1,19,9,26,0,0,0,112865.0
1,19,9,172,0,0,0,86251.0
1,40,1,0,0,0,1,91964.0
1,48,9,932,327,0,0,30797.0
1,6,5,0,0,0,1,81674.0
1,22,9,183,4486,0,0,99800.0
1,44,5,0,0,0,1,37126.0
1,22,9,326,1770,0,0,18795.0
1,19,5,0,0,0,1,31222.0
1,22,9,199,263,0,0,17575.0
1,45,5,0,0,0,1,26961.0
1,22,9,266,2535,0,0,3511.0
2,11,9,46,139,0,0,15779.0
1,40,4,1,0,0,1,4522.0
1,22,1,0,0,0,0,112806.0
1,50,5,0,0,0,1,21145.0
1,22,9,206,1694,0,0,32727.0
1,22,9,214,8160,0,0,82811.0
0,13,9,8,0,0,1,24563.0
1,37,5,0,0,0,1,117626.0
1,22,6,142,21900,0,0,40868.0
1,22,9,218,307,0,0,54553.0
1,44,5,0,0,0,1,54823.0
2,40,9,516,4,0,0,47218.0
1,44,5,0,0,0,1,73229.0
2,39,9,48,48,0,0,45723.0
1,22,5,0,0,0,1,32051.0
1,40,9,6601,0,0,0,99815.0
1,48,9,1710,375,0,0,105611.0
2,40,9,147,105,0,0,123751.0
1,44,4,0,0,0,1,76831.0
1,19,9,259,0,0,0,21387.0
1,22,9,336,86082,0,0,7499.0
1,17,9,9,141,0,0,72461.0
1,44,5,0,0,0,1,2833.0
1,22,9,337,3626,0,0,121795.0
1,22,9,255,650,0,0,10639.0
1,44,1,0,0,0,1,119508.0
1,44,1,0,0,0,1,53950.0
0,13,9,8,0,0,1,20336.0
1,19,9,334,0,0,0,58666.0
1,44,5,0,0,0,1,30386.0
1,7,5,0,0,0,1,118778.0
1,40,9,59,0,0,0,87821.0
1,22,9,144,193,0,0,63680.0
1,22,9,210,759,0,0,113973.0
1,44,5,0,0,0,1,37118.0
1,22,9,216,2293,0,0,64792.0
0,14,9,1480,0,0,0,34787.0
1,17,5,0,0,0,1,42277.0
1,44,5,0,0,0,1,67444.0
1,19,9,334,0,0,0,13108.0
1,51,5,0,0,0,1,47266.0
1,22,9,302,3909,0,0,8341.0
1,22,9,219,7441,0,0,122066.0
1,44,4,0,0,0,1,88171.0
0,14,9,1032,0,0,0,91452.0
1,44,5,0,0,0,1,2464.0
1,19,9,71,0,0,0,80996.0
1,22,9,282,263,0,0,43090.0
2,11,9,42,42,0,0,36588.0
1,40,9,35195,0,0,0,110104.0
1,44,1,0,0,0,1,30059.0
1,22,9,277,1993,0,0,25087.0
2,40,9,1,0,0,1,70203.0
1,22,9,236,475,0,0,124337.0
1,31,5,0,0,0,1,120768.0
1,19,9,63,0,0,0,37996.0
2,40,9,516,4,0,0,11307.0
1,40,1,0,0,0,1,38544.0
1,31,5,0,0,0,1,76690.0
2,44,9,1,0,0,1,20420.0
2,44,9,28,0,0,1,56774.0
1,48,9,1355,392,0,0,30558.0
1,48,9,1686,333,0,0,45047.0
1,48,9,594,331,0,0,95739.0
1,22,9,235,20622,0,0,111898.0
1,22,9,359,471,0,0,90239.0
1,22,9,206,364,0,0,11777.0
1,19,5,0,0,0,1,124931.0
0,13,9,18,0,0,1,4204.0
2,40,9,146,105,0,0,17573.0
1,3,5,0,0,0,1,75731.0
1,49,5,0,0,0,1,22979.0
1,40,1,0,0,0,1,35136.0
1,38,2,0,0,0,1,18786.0
1,22,9,293,2486,0,0,15265.0
1,22,9,257,13507,0,0,84431.0
1,48,9,1715,328,0,0,51034.0
1,44,5,0,0,0,1,100030.0
1,22,9,213,12596,0,0,70992.0
1,17,5,0,0,0,1,16332.0
1,22,9,230,4415,0,0,90073.0
1,44,5,0,0,0,1,15401.0
1,22,9,256,3200,0,0,44584.0
1,22,5,0,0,0,1,68415.0
1,22,9,334,511,0,0,65684.0
1,28,5,0,0,0,1,63303.0
1,22,9,203,1078,0,0,11018.0
1,52,5,0,0,0,1,90035.0
2,44,9,105,146,0,0,72825.0
1,22,9,235,1046,0,0,90761.0
1,19,9,192,0,0,0,95736.0
1,28,5,0,0,0,1,113858.0
1,19,9,245,0,0,0,98175.0
1,0,4,790,8250,0,0,51096.0
1,44,1,0,0,0,1,52890.0
1,44,5,0,0,0,1,12770.0
1,19,9,1699,0,0,0,47047.0
1,23,5,0,0,0,1,40282.0
2,11,9,42,42,0,0,118701.0
1,48,9,820,323,0,0,15166.0
1,22,9,227,2809,0,0,24052.0
1,22,9,336,3211,0,0,68963.0
1,19,9,7045,0,0,0,123380.0
0,13,9,8,0,0,1,59592.0
