service,flag,src_bytes,dst_bytes,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,classe,posicaoOriginal
46.0,9.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,1.0,114875.0
13.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,33789.0
23.0,9.0,218.0,14638.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28841.0
23.0,9.0,321.0,47268.0,1.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,32787.0
46.0,9.0,28.0,0.0,0.0,0.0,0.0,0.98,0.04,0.0,0.0,0.0,1.0,4271.0
57.0,2.0,118.0,8926.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,67176.0
23.0,9.0,192.0,35496.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,62171.0
46.0,9.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,73661.0
23.0,9.0,280.0,18968.0,1.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,6507.0
23.0,9.0,224.0,21867.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91885.0
23.0,9.0,251.0,50944.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,114851.0
23.0,9.0,276.0,39807.0,1.0,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0.0,102380.0
23.0,9.0,191.0,20238.0,1.0,0.17,0.02,1.0,0.0,0.04,0.06,0.0,0.0,57615.0
23.0,9.0,205.0,26456.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,99728.0
23.0,9.0,144.0,32821.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,95179.0
23.0,9.0,218.0,19550.0,1.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,72655.0
