service,flag,src_bytes,dst_bytes,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,classe,posicaoOriginal
22,9,266,406,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,66919.0
22,9,283,809,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,6650.0
22,9,314,535,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,87327.0
22,9,246,1718,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,56181.0
22,9,197,818,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,13356.0
22,9,258,9720,1,0.0,0.0,1.0,0.0,0.06,0.0,0.0,0,16264.0
22,9,159,27305,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,92245.0
11,9,45,45,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,79087.0
22,9,324,645,1,0.0,0.0,1.0,0.0,0.04,0.0,0.02,0,46816.0
22,9,227,2438,1,0.0,0.0,1.0,0.0,0.03,0.05,0.0,0,36448.0
13,9,8,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,43395.0
22,9,341,535,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,96731.0
4,5,0,0,0,1.0,1.0,0.11,0.06,0.0,1.0,1.0,1,77802.0
22,9,315,801,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,107818.0
5,1,0,0,0,0.0,0.0,0.13,0.06,0.0,0.0,0.0,1,97633.0
22,6,173,21900,1,1.0,1.0,1.0,0.0,0.07,1.0,0.0,0,37663.0
19,9,9311,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.01,0,1820.0
11,9,42,78,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,52418.0
22,9,196,5790,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,32941.0
22,5,0,0,0,0.5,0.08,1.0,0.0,0.01,0.06,0.0,0,122745.0
22,9,323,1543,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,108440.0
22,9,217,1285,1,0.5,0.04,1.0,0.0,0.06,0.5,0.0,0,26061.0
11,9,46,46,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,90202.0
22,1,0,0,0,0.0,0.0,1.0,0.0,0.17,0.0,0.0,0,104176.0
13,9,8,0,0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1,8344.0
22,9,54540,8314,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,124713.0
58,9,78,0,0,0.0,0.0,0.04,0.08,0.0,0.0,0.0,0,78133.0
49,9,568,331,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,76137.0
22,9,235,4097,1,0.5,0.5,1.0,0.0,0.0,0.01,0.01,0,4428.0
11,9,45,118,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,46509.0
22,9,318,858,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,5204.0
13,9,18,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,112277.0
44,5,0,0,0,1.0,1.0,0.06,0.07,0.0,1.0,1.0,1,60986.0
22,9,259,290,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,86174.0
44,5,0,0,0,1.0,1.0,0.14,0.06,0.0,1.0,1.0,1,89913.0
58,9,78,0,0,0.0,0.0,0.4,0.13,0.0,0.0,0.0,0,9804.0
44,1,0,0,0,0.0,0.0,0.03,0.09,0.0,0.0,0.0,1,100921.0
49,9,1287,328,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,60805.0
49,9,994,330,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,113239.0
44,1,0,0,0,0.1,0.0,0.0,1.0,0.0,0.1,0.0,1,82277.0
6,5,0,0,0,1.0,1.0,0.02,0.06,0.0,1.0,1.0,1,58636.0
36,5,0,0,0,1.0,1.0,0.09,0.05,0.0,1.0,1.0,1,72656.0
19,9,6601,0,1,0.0,0.0,1.0,0.0,0.02,0.0,0.01,0,64668.0
13,9,8,0,0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,1,88328.0
36,5,0,0,0,1.0,1.0,0.09,0.07,0.0,1.0,1.0,1,95492.0
44,5,0,0,0,1.0,1.0,0.07,0.06,0.0,1.0,1.0,1,84635.0
57,5,0,0,0,1.0,1.0,0.03,0.06,0.0,1.0,1.0,1,61575.0
19,9,175337,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,36752.0
40,1,0,0,0,0.05,0.0,0.0,0.96,0.0,0.0,0.0,1,109016.0
55,5,0,0,0,1.0,1.0,0.22,0.06,0.0,1.0,1.0,1,12457.0
2,5,0,0,0,1.0,1.0,0.05,0.06,0.0,1.0,1.0,1,39928.0
44,9,28,0,0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,1,23521.0
22,9,214,882,1,0.0,0.35,1.0,0.0,0.03,0.0,0.0,0,119124.0
22,9,375,1421,1,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,59333.0
27,5,0,0,0,1.0,1.0,0.16,0.06,0.0,1.0,1.0,1,119112.0
59,5,0,0,0,1.0,1.0,0.08,0.06,0.0,1.0,1.0,1,55216.0
44,5,0,0,0,1.0,1.0,0.0,0.06,0.0,1.0,1.0,1,10285.0
22,9,205,4729,1,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0,71869.0
44,3,0,0,0,0.71,0.5,0.01,0.37,0.0,0.4,0.5,1,20916.0
49,9,932,324,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,122269.0
13,9,8,0,0,0.0,0.0,1.0,0.0,0.52,0.0,0.0,1,123741.0
13,9,8,0,0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1,121361.0
44,5,0,0,0,1.0,1.0,0.02,0.06,0.0,1.0,1.0,1,5235.0
22,9,187,316,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,34341.0
22,1,0,0,0,0.0,0.0,1.0,0.0,0.14,0.0,0.0,0,78126.0
22,9,220,2367,1,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,64970.0
23,5,0,0,0,1.0,1.0,0.04,0.07,0.0,1.0,1.0,1,19107.0
19,5,0,0,0,1.0,1.0,0.01,0.07,0.0,1.0,1.0,1,19243.0
57,5,0,0,0,1.0,1.0,0.05,0.06,0.0,1.0,1.0,1,95718.0
36,5,0,0,0,1.0,1.0,0.3,0.4,0.0,1.0,1.0,1,4199.0
19,9,5131424,0,1,0.0,0.0,1.0,0.0,0.13,0.0,0.0,0,6693.0
11,9,45,79,0,0.0,0.0,1.0,0.01,0.0,0.0,0.0,0,5071.0
19,5,0,0,0,0.98,1.0,0.22,0.09,0.0,1.0,1.0,1,125230.0
13,9,8,0,0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,1,64263.0
49,9,1970,401,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,7884.0
22,9,299,4210,1,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0,100200.0
44,4,0,0,0,0.0,0.0,1.0,0.0,0.0,0.04,0.0,1,52951.0
49,9,3633,333,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,25558.0
44,5,0,0,0,1.0,1.0,0.11,0.06,0.0,1.0,1.0,1,7091.0
13,9,8,0,0,0.0,0.0,1.0,0.0,0.27,0.0,0.0,1,42075.0
49,9,1250,325,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,34152.0
