service,flag,src_bytes,dst_bytes,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,classe,posicaoOriginal
45.0,5.0,0.0,0.0,0.0,1.0,1.0,0.07,0.06,0.0,1.0,1.0,1.0,84178.0
34.0,5.0,0.0,0.0,0.0,1.0,1.0,0.05,0.07,0.0,1.0,1.0,1.0,124799.0
45.0,5.0,0.0,0.0,0.0,1.0,1.0,0.09,0.06,0.0,1.0,1.0,1.0,16444.0
45.0,5.0,0.0,0.0,0.0,1.0,1.0,0.07,0.06,0.0,1.0,1.0,1.0,66801.0
45.0,5.0,0.0,0.0,0.0,1.0,1.0,0.11,0.05,0.0,1.0,1.0,1.0,52952.0
23.0,9.0,334.0,617.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19375.0
42.0,5.0,0.0,0.0,0.0,1.0,1.0,0.03,0.06,0.0,1.0,1.0,1.0,61321.0
23.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,114861.0
59.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.0,0.0,0.0,1.0,21500.0
45.0,5.0,0.0,0.0,0.0,1.0,1.0,0.12,0.06,0.0,1.0,1.0,1.0,25386.0
11.0,9.0,42.0,42.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23629.0
23.0,5.0,0.0,0.0,0.0,1.0,1.0,0.33,0.22,0.0,1.0,1.0,1.0,102725.0
23.0,9.0,225.0,3265.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,114698.0
5.0,5.0,0.0,0.0,0.0,1.0,1.0,0.02,0.05,0.0,1.0,1.0,1.0,72456.0
23.0,9.0,323.0,766.0,1.0,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0.0,117485.0
62.0,5.0,0.0,0.0,0.0,1.0,1.0,0.07,0.08,0.0,1.0,1.0,1.0,23203.0
49.0,9.0,978.0,404.0,1.0,0.0,0.0,1.0,0.0,0.01,0.01,0.01,0.0,119540.0
23.0,9.0,350.0,3436.0,1.0,0.0,0.0,1.0,0.0,0.02,0.02,0.0,0.0,116427.0
45.0,5.0,0.0,0.0,0.0,1.0,1.0,0.04,0.13,0.0,1.0,1.0,1.0,76538.0
19.0,9.0,0.0,5150790.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,92118.0
23.0,9.0,321.0,11850.0,1.0,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0.0,121971.0
49.0,9.0,1870.0,331.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,125937.0
23.0,9.0,325.0,5881.0,1.0,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0.0,112718.0
23.0,9.0,301.0,7783.0,1.0,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0.0,55892.0
19.0,9.0,1199.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59358.0
45.0,5.0,0.0,0.0,0.0,1.0,1.0,0.1,0.08,0.0,1.0,1.0,1.0,40033.0
11.0,9.0,46.0,135.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21932.0
11.0,9.0,43.0,69.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,97069.0
23.0,9.0,54540.0,8314.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,50947.0
23.0,9.0,362.0,327.0,1.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,115890.0
19.0,9.0,1699.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,80554.0
26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.0,0.0,0.0,1.0,111271.0
23.0,9.0,257.0,2220.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.01,0.0,41509.0
23.0,9.0,230.0,627.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,119941.0
45.0,5.0,0.0,0.0,0.0,1.0,1.0,0.02,0.06,0.0,1.0,1.0,1.0,23956.0
45.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,42903.0
45.0,5.0,0.0,0.0,0.0,1.0,1.0,0.06,0.06,0.0,1.0,1.0,1.0,108571.0
23.0,9.0,139.0,29859.0,1.0,0.0,0.0,1.0,0.0,0.06,0.0,0.0,0.0,114352.0
23.0,9.0,368.0,1856.0,1.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,6270.0
45.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,124518.0
23.0,9.0,285.0,23652.0,1.0,0.0,0.0,1.0,0.0,0.08,0.0,0.0,0.0,30197.0
49.0,9.0,748.0,387.0,1.0,0.0,0.0,1.0,0.0,0.01,0.91,0.73,0.0,63681.0
23.0,9.0,295.0,2574.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,114050.0
23.0,9.0,269.0,1397.0,1.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,85983.0
36.0,5.0,0.0,0.0,0.0,1.0,1.0,0.05,0.06,0.0,1.0,1.0,1.0,84436.0
23.0,9.0,325.0,1433.0,1.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,3730.0
23.0,9.0,244.0,932.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,97050.0
17.0,9.0,6.0,136.0,0.0,0.0,0.0,0.33,1.0,0.0,0.0,0.0,0.0,1822.0
45.0,5.0,0.0,0.0,0.0,1.0,1.0,0.19,0.06,0.0,1.0,1.0,1.0,83937.0
19.0,9.0,2271.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07,0.0,0.0,0.0,38752.0
14.0,9.0,520.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,62860.0
31.0,5.0,0.0,0.0,0.0,1.0,1.0,0.09,0.06,0.0,1.0,1.0,1.0,15470.0
23.0,9.0,207.0,353.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48520.0
24.0,5.0,0.0,0.0,0.0,1.0,1.0,0.15,0.05,0.0,1.0,1.0,1.0,25657.0
45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.43,0.09,0.0,0.0,0.0,1.0,84087.0
41.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100534.0
23.0,9.0,327.0,392.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49272.0
60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.07,0.0,0.0,0.0,1.0,112168.0
19.0,5.0,0.0,0.0,0.0,1.0,1.0,0.21,0.06,0.0,1.0,1.0,1.0,59827.0
45.0,9.0,105.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12802.0
45.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,56019.0
23.0,9.0,214.0,591.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,103693.0
