service,flag,src_bytes,dst_bytes,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,classe,posicaoOriginal
22.0,9.0,266.0,406.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,66919.0
22.0,9.0,283.0,809.0,1.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,6650.0
22.0,9.0,314.0,535.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,87327.0
22.0,9.0,246.0,1718.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,56181.0
22.0,9.0,197.0,818.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13356.0
22.0,9.0,258.0,9720.0,1.0,0.0,0.0,1.0,0.0,0.06,0.0,0.0,0.0,16264.0
22.0,9.0,159.0,27305.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,92245.0
11.0,9.0,45.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79087.0
22.0,9.0,324.0,645.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.02,0.0,46816.0
22.0,9.0,227.0,2438.0,1.0,0.0,0.0,1.0,0.0,0.03,0.05,0.0,0.0,36448.0
22.0,9.0,341.0,535.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,96731.0
22.0,9.0,315.0,801.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,107818.0
22.0,6.0,173.0,21900.0,1.0,1.0,1.0,1.0,0.0,0.07,1.0,0.0,0.0,37663.0
19.0,9.0,9311.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01,0.0,1820.0
11.0,9.0,42.0,78.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,52418.0
22.0,9.0,196.0,5790.0,1.0,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0.0,32941.0
22.0,5.0,0.0,0.0,0.0,0.5,0.08,1.0,0.0,0.01,0.06,0.0,0.0,122745.0
22.0,9.0,323.0,1543.0,1.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,108440.0
