service,flag,src_bytes,dst_bytes,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,classe,posicaoOriginal
19.0,9.0,1199.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59358.0
23.0,9.0,362.0,327.0,1.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,115890.0
19.0,9.0,1699.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,80554.0
49.0,9.0,748.0,387.0,1.0,0.0,0.0,1.0,0.0,0.01,0.91,0.73,0.0,63681.0
17.0,9.0,6.0,136.0,0.0,0.0,0.0,0.33,1.0,0.0,0.0,0.0,0.0,1822.0
19.0,9.0,2271.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07,0.0,0.0,0.0,38752.0
14.0,9.0,520.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,62860.0
23.0,6.0,295.0,0.0,1.0,0.33,0.33,1.0,0.0,0.05,0.01,0.01,0.0,123404.0
14.0,9.0,1032.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,60079.0
19.0,9.0,334.0,0.0,1.0,0.0,0.0,1.0,0.0,0.33,0.0,0.0,1.0,27443.0
14.0,9.0,1032.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,1.0,29100.0
13.0,9.0,30.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,115386.0
19.0,9.0,501760.0,0.0,1.0,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0.0,118789.0
14.0,9.0,1032.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,22266.0
23.0,9.0,345.0,198.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,60428.0
41.0,9.0,516.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26574.0
14.0,9.0,520.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,40816.0
3.0,9.0,10.0,38.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,53636.0
19.0,9.0,748.0,0.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,23417.0
19.0,9.0,7077.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57351.0
19.0,9.0,192.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01,0.0,92135.0
17.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100436.0
23.0,9.0,199.0,174.0,1.0,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0.0,36441.0
19.0,9.0,748.0,0.0,1.0,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0.0,40026.0
23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16,0.0,0.0,0.0,90932.0
19.0,9.0,245.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0.0,66290.0
49.0,9.0,1696.0,808.0,1.0,0.0,0.0,1.0,0.0,0.0,0.63,0.0,0.0,83172.0
23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0.0,55178.0
3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,66540.0
41.0,9.0,147.0,105.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,74769.0
51.0,2.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,45079.0
19.0,9.0,7045.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.01,0.01,1.0,67181.0
19.0,9.0,334.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,122286.0
19.0,9.0,748.0,0.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,36641.0
17.0,9.0,7.0,135.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,112365.0
49.0,9.0,726.0,334.0,1.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,13587.0
49.0,9.0,673.0,335.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76623.0
23.0,9.0,238.0,191.0,1.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,95674.0
