service,flag,src_bytes,dst_bytes,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,classe,posicaoOriginal
45,5,0,0,0,1.0,1.0,0.07,0.06,0.0,1.0,1.0,1,109382.0
23,9,192,1745,1,0.0,0.0,1.0,0.0,0.06,0.0,0.0,0,57838.0
23,9,273,2379,1,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,75516.0
23,9,214,1337,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,66474.0
50,9,2235,327,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,121239.0
11,9,44,110,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,99032.0
11,9,43,43,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,41534.0
50,9,1027,334,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,98329.0
23,9,303,316,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,83085.0
54,1,0,0,0,0.0,0.0,0.12,0.05,0.0,0.0,0.0,1,84107.0
62,5,0,0,0,1.0,1.0,0.14,0.14,0.0,1.0,1.0,1,17866.0
10,1,0,0,0,0.0,0.0,0.03,0.07,0.0,0.0,0.0,1,75124.0
11,9,44,44,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,20789.0
11,9,30,0,0,0.0,0.0,1.0,0.0,0.06,0.0,0.0,0,112780.0
23,9,215,597,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,44554.0
11,9,44,73,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,57632.0
23,9,251,1701,1,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0,61840.0
65,5,0,0,0,1.0,1.0,0.01,0.05,0.0,1.0,1.0,1,111426.0
14,9,30,0,0,0.0,0.0,1.0,0.0,0.67,0.0,0.0,0,111314.0
61,9,181,0,0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0,20934.0
12,5,0,0,0,1.0,1.0,0.08,0.06,0.0,1.0,1.0,1,6703.0
23,9,277,1993,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,121269.0
41,9,147,105,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,93985.0
11,9,44,74,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,57304.0
20,1,0,0,0,0.0,0.0,0.06,0.08,0.0,0.0,0.0,1,96323.0
30,5,0,0,0,1.0,1.0,0.08,0.05,0.0,1.0,1.0,1,86118.0
23,9,221,313,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,72337.0
23,9,323,310,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,107687.0
13,9,18,0,0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,1,86239.0
50,9,1077,370,1,0.0,0.0,0.5,1.0,0.0,0.0,0.08,0,122021.0
11,9,46,149,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,31064.0
50,9,2171,325,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,117756.0
14,9,1032,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,26466.0
41,4,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,124705.0
17,5,0,0,0,1.0,1.0,0.03,0.06,0.0,1.0,1.0,1,70118.0
52,5,0,0,0,1.0,1.0,0.11,0.05,0.0,1.0,1.0,1,74973.0
41,1,0,0,0,0.06,0.0,0.0,1.0,0.0,0.08,0.0,1,86627.0
23,9,341,748,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,118852.0
19,5,0,0,0,1.0,1.0,0.2,0.2,0.0,1.0,1.0,1,99230.0
30,5,0,0,0,1.0,1.0,0.08,0.06,0.0,1.0,1.0,1,19200.0
14,9,1032,0,0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,1,95132.0
13,9,8,0,0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1,63896.0
11,9,44,113,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,54388.0
23,9,204,5226,1,0.0,0.0,1.0,0.0,0.01,0.01,0.0,0,26112.0
27,5,0,0,0,1.0,1.0,0.16,0.05,0.0,1.0,1.0,1,74846.0
45,1,0,0,0,0.0,0.0,0.02,0.07,0.0,0.0,0.0,1,85462.0
23,9,0,18407,0,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0,27393.0
19,9,1199,0,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,109751.0
23,9,266,2535,1,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,3511.0
23,5,0,0,0,1.0,0.67,1.0,0.0,0.04,1.0,0.01,0,75712.0
45,5,0,0,0,1.0,1.0,0.01,0.07,0.0,1.0,1.0,1,52938.0
23,9,328,301,1,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0,82913.0
23,9,206,1925,1,0.08,0.06,1.0,0.0,0.0,0.01,0.01,0,70830.0
61,9,183,0,0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0,54220.0
41,4,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,100156.0
11,9,44,73,0,0.0,0.0,1.0,0.01,0.0,0.0,0.0,0,95753.0
18,9,1482,4152,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,39257.0
45,5,0,0,0,1.0,1.0,0.07,0.06,0.0,1.0,1.0,1,114526.0
19,9,1470,0,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,51432.0
43,9,35,130,1,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0,17150.0
23,9,291,1478,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,101286.0
50,2,0,0,0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,1,90920.0
41,9,146,105,0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0,48431.0
23,9,205,1694,1,0.0,0.0,1.0,0.0,0.02,0.06,0.02,0,118812.0
5,1,0,0,0,0.0,0.0,0.1,0.06,0.0,0.0,0.0,1,43980.0
45,5,0,0,0,1.0,1.0,0.03,0.07,0.0,1.0,1.0,1,39242.0
56,9,90,927,1,0.0,0.0,1.0,0.0,0.0,0.01,0.05,0,96029.0
61,9,552,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,45925.0
23,5,0,0,0,1.0,1.0,0.1,0.05,0.0,1.0,1.0,1,32555.0
14,9,30,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2050.0
59,9,0,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,52187.0
11,9,46,46,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,101819.0
45,5,0,0,0,1.0,1.0,0.16,0.07,0.0,1.0,1.0,1,115129.0
11,9,42,42,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,124693.0
40,9,48,48,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,8844.0
45,5,0,0,0,1.0,1.0,0.09,0.27,0.0,1.0,1.0,1,55417.0
23,9,309,6718,1,0.0,0.0,1.0,0.0,0.01,0.0,0.01,0,37673.0
24,5,0,0,0,1.0,1.0,0.02,0.06,0.0,1.0,1.0,1,7780.0
41,1,0,0,0,0.22,0.0,0.0,1.0,0.0,0.18,0.0,1,109524.0
11,9,30,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,108259.0
23,9,198,27266,1,0.0,0.0,1.0,0.0,0.03,0.01,0.0,0,45392.0
11,9,30,34,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,111111.0
19,5,0,0,0,0.98,1.0,0.22,0.08,0.0,1.0,1.0,1,68334.0
45,1,0,0,0,0.0,0.0,0.05,0.07,0.0,0.0,0.0,1,26096.0
20,5,0,0,0,1.0,1.0,0.11,0.05,0.0,1.0,1.0,1,69726.0
56,5,0,0,0,1.0,1.0,0.06,0.05,0.0,1.0,1.0,1,52235.0
23,9,327,2448,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,35620.0
23,9,190,1227,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,69947.0
50,9,3217,333,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,90363.0
61,9,182,0,0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0,100717.0
23,9,274,10251,1,0.33,0.33,1.0,0.0,0.0,0.0,0.0,0,110157.0
23,9,144,584,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,64809.0
23,9,350,373,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,112117.0
41,1,0,0,0,0.03,0.0,0.0,1.0,0.0,0.05,0.0,1,11516.0
65,5,0,0,0,1.0,1.0,0.07,0.06,0.0,1.0,1.0,1,52609.0
19,9,0,5020,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,118838.0
13,9,8,0,0,0.0,0.0,1.0,0.0,0.51,0.0,0.0,1,68151.0
23,9,195,63785,1,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0,82215.0
4,5,0,0,0,1.0,1.0,0.04,0.05,0.0,1.0,1.0,1,25429.0
14,9,520,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,61788.0
23,1,0,0,0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,1,88828.0
13,9,18,0,0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,1,53311.0
33,1,0,0,0,0.0,0.0,0.03,0.07,0.0,0.0,0.0,1,53888.0
45,9,28,0,0,0.0,0.0,1.0,0.0,0.0,0.09,0.0,1,4779.0
50,9,4358,329,1,0.0,0.0,1.0,0.0,0.01,0.01,0.01,0,74154.0
45,5,0,0,0,1.0,1.0,0.07,0.06,0.0,1.0,1.0,1,3155.0
17,5,0,0,0,1.0,1.0,0.24,0.08,0.0,1.0,1.0,1,103362.0
23,9,350,613,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,52962.0
11,9,91,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,8353.0
45,1,0,0,0,0.0,0.0,0.05,0.07,0.0,0.0,0.0,1,32446.0
23,9,326,41144,1,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,54820.0
23,9,284,1086,1,0.25,0.25,1.0,0.0,0.04,0.25,0.01,0,56684.0
50,9,979,365,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,48651.0
50,5,0,0,0,1.0,1.0,1.0,0.0,0.01,0.97,0.26,1,43633.0
23,9,227,6564,1,0.0,0.0,1.0,0.0,0.03,0.02,0.02,0,62969.0
50,9,1439,333,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,107695.0
50,9,1187,363,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,63583.0
23,9,298,1896,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,63284.0
11,9,24,30,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,98897.0
45,5,0,0,0,1.0,1.0,0.19,0.12,0.0,1.0,1.0,1,102159.0
6,5,0,0,0,1.0,1.0,0.04,0.06,0.0,1.0,1.0,1,112566.0
23,9,0,3679,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,35140.0
23,9,287,27627,1,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,103934.0
23,9,206,4057,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,20094.0
23,9,328,2739,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,55116.0
23,9,54540,8314,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,94943.0
23,9,308,1591,1,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,78544.0
11,9,43,124,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,32913.0
48,5,0,0,0,1.0,1.0,0.06,0.07,0.0,1.0,1.0,1,125640.0
50,9,1375,332,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,13076.0
