service,flag,src_bytes,dst_bytes,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,classe,posicaoOriginal
22,9,323,999,1,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0,61931.0
19,9,607,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,47573.0
22,9,218,1801,1,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,98030.0
22,9,353,453,1,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0,105183.0
9,5,0,0,0,1.0,1.0,0.01,0.06,0.0,1.0,1.0,0,100996.0
58,3,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,52420.0
46,5,0,0,0,0.99,1.0,0.04,0.06,0.0,1.0,1.0,0,44683.0
61,5,0,0,0,1.0,1.0,0.07,0.06,0.0,1.0,1.0,0,85580.0
46,5,0,0,0,1.0,1.0,0.18,0.05,0.0,1.0,1.0,0,37241.0
41,9,516,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,102528.0
22,9,334,309,1,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,28917.0
22,9,233,3222,1,0.0,0.0,1.0,0.0,0.0,0.03,0.03,0,52116.0
41,9,146,105,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,37760.0
13,9,8,0,0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0,63872.0
22,5,0,0,0,1.0,1.0,0.05,0.06,0.0,1.0,1.0,0,38570.0
22,9,264,1237,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,108067.0
22,9,160,5684,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,31078.0
5,5,0,0,0,1.0,1.0,0.16,0.05,0.0,1.0,1.0,0,104161.0
14,9,1032,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,12783.0
11,9,34,34,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,32260.0
46,5,0,0,0,1.0,1.0,0.06,0.07,0.0,1.0,1.0,0,73506.0
