service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
44,5,0,0,0,0,233,1.0,1.0,0.06,0.05,0.0,191,15,0.08,0.06,0.0,0.99,1.0,0.0,1,48286.0
32,5,0,0,0,0,288,1.0,1.0,0.02,0.06,0.0,255,12,0.05,0.07,0.0,1.0,1.0,0.0,1,67204.0
11,9,101,44,0,0,3,0.0,0.0,1.0,0.0,0.0,114,83,0.73,0.04,0.0,0.0,0.0,0.0,0,74802.0
44,5,0,0,0,0,111,1.0,1.0,0.07,0.06,0.0,255,15,0.06,0.07,0.0,1.0,1.0,0.0,1,2465.0
19,9,175337,0,0,0,2,0.0,0.0,1.0,0.0,0.0,13,92,0.46,0.31,0.02,0.0,0.0,0.0,0,32131.0
17,5,0,0,0,0,35,1.0,1.0,0.37,0.09,0.0,255,69,0.27,0.02,0.0,1.0,1.0,0.0,1,62656.0
21,5,0,0,0,0,141,1.0,1.0,0.09,0.06,0.0,255,7,0.03,0.06,0.0,1.0,1.0,0.0,1,92581.0
22,9,283,1476,0,1,2,0.0,0.0,1.0,0.0,0.0,69,255,1.0,0.0,0.05,0.0,0.0,0.0,0,36969.0
28,5,0,0,0,0,146,1.0,1.0,0.1,0.05,0.0,255,8,0.03,0.06,0.0,1.0,1.0,0.0,1,19947.0
44,5,0,0,0,0,119,1.0,1.0,0.05,0.06,0.0,255,11,0.04,0.08,0.0,1.0,1.0,0.0,1,23760.0
13,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,62,1.0,0.0,0.52,0.0,0.0,0.0,1,6481.0
44,5,0,0,0,0,189,1.0,1.0,0.11,0.06,0.0,255,7,0.03,0.06,0.0,1.0,1.0,0.0,1,10626.0
59,5,0,0,0,0,125,1.0,1.0,0.02,0.06,0.0,255,4,0.02,0.06,0.0,1.0,1.0,0.0,1,79546.0
40,9,146,105,0,0,4,0.0,0.0,0.5,0.5,0.0,255,2,0.01,0.68,0.0,0.0,0.0,0.0,0,113066.0
40,9,147,0,0,0,5,0.0,0.0,0.2,0.6,0.0,255,1,0.0,0.15,0.0,0.0,0.0,0.0,0,69842.0
44,1,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,36,1,0.03,1.0,0.0,0.0,0.0,1.0,1,41403.0
11,9,46,46,0,0,106,0.0,0.0,1.0,0.0,0.01,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,88857.0
53,1,0,0,0,0,146,0.0,0.0,0.11,0.05,0.0,255,11,0.04,0.06,0.0,0.0,0.0,1.0,1,112931.0
22,9,303,1783,0,1,10,0.0,0.0,1.0,0.0,0.0,10,83,1.0,0.0,0.1,0.0,0.0,0.02,0,20249.0
22,9,217,768,0,1,37,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,71598.0
22,9,269,9287,0,1,3,0.0,0.0,1.0,0.0,0.0,7,255,1.0,0.0,0.03,0.0,0.01,0.0,0,105345.0
61,5,0,0,0,0,223,1.0,1.0,0.11,0.05,0.0,255,25,0.1,0.05,0.0,1.0,1.0,0.0,1,21686.0
14,9,1032,0,0,0,511,0.0,0.0,1.0,0.0,0.0,255,159,0.62,0.02,0.0,0.0,0.0,0.0,1,113623.0
22,9,214,3505,0,1,8,0.0,0.0,1.0,0.0,0.14,41,255,1.0,0.0,0.01,0.0,0.0,0.0,0,9584.0
44,1,0,0,0,0,285,0.03,0.0,0.0,1.0,0.0,255,1,0.0,0.97,0.0,0.04,0.0,1.0,1,114790.0
19,5,0,0,0,0,50,1.0,1.0,0.24,0.08,0.0,255,67,0.26,0.02,0.0,1.0,1.0,0.0,1,125787.0
22,9,208,3410,0,1,17,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,109201.0
22,1,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,12,51,1.0,0.0,0.24,0.0,0.0,0.98,0,19879.0
22,9,215,655,0,1,33,0.0,0.0,1.0,0.0,0.05,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,90064.0
55,9,931,12540,0,1,1,0.0,0.0,1.0,0.0,0.0,92,14,0.15,0.05,0.0,0.0,0.0,0.0,0,32944.0
49,9,1219,329,0,1,1,0.0,0.0,1.0,0.0,1.0,217,102,0.35,0.03,0.02,0.0,0.01,0.0,0,55924.0
11,9,45,132,0,0,306,0.0,0.0,1.0,0.0,0.0,255,251,0.98,0.01,0.0,0.0,0.0,0.0,0,82150.0
22,9,249,8825,0,1,1,0.0,0.0,1.0,0.0,0.36,157,255,1.0,0.0,0.01,0.0,0.0,0.0,0,29602.0
22,9,255,650,0,1,19,0.0,0.0,1.0,0.0,0.1,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,10639.0
44,5,0,0,0,0,97,1.0,1.0,0.12,0.06,0.0,255,12,0.05,0.06,0.0,1.0,1.0,0.0,1,109719.0
42,9,35,130,0,1,2,0.0,0.0,0.5,1.0,0.0,125,2,0.02,0.04,0.0,0.0,0.0,0.0,0,18361.0
44,5,0,0,0,0,56,1.0,1.0,0.2,0.09,0.0,255,15,0.06,0.08,0.0,1.0,1.0,0.0,1,86134.0
28,5,0,0,0,0,135,1.0,1.0,0.04,0.06,0.0,255,15,0.06,0.07,0.0,1.0,1.0,0.0,1,84050.0
22,9,214,2028,0,1,7,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,85673.0
19,9,748,0,0,1,1,0.0,0.0,1.0,0.0,0.0,255,77,0.3,0.02,0.0,0.0,0.0,0.0,0,31079.0
22,9,252,3202,0,1,5,0.0,0.0,1.0,0.0,0.0,40,255,1.0,0.0,0.04,0.0,0.0,0.0,0,76434.0
22,9,310,1408,0,1,14,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,93431.0
11,9,46,131,0,0,79,0.0,0.0,1.0,0.0,0.01,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0,54253.0
22,9,256,1585,0,1,11,0.0,0.0,1.0,0.0,0.0,39,255,1.0,0.0,0.06,0.0,0.0,0.0,0,112434.0
61,5,0,0,0,0,203,1.0,1.0,0.0,0.06,0.0,255,1,0.0,0.06,0.0,1.0,1.0,0.0,1,42734.0
44,5,0,0,0,0,175,1.0,1.0,0.1,0.05,0.0,255,18,0.07,0.05,0.0,1.0,1.0,0.0,1,125558.0
11,9,44,128,0,0,133,0.0,0.0,1.0,0.0,0.01,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,49578.0
22,9,236,310,0,1,3,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,115629.0
44,5,0,0,0,0,185,0.05,1.0,0.01,0.99,0.0,255,1,0.0,0.73,0.0,0.04,1.0,0.0,1,46056.0
44,4,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.89,0.0,0.0,0.0,1.0,1,88271.0
55,9,248,8775,0,1,1,0.0,0.0,1.0,0.0,0.0,153,13,0.08,0.03,0.0,0.0,0.0,0.08,0,78102.0
3,4,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.45,0.0,0.0,0.0,1.0,1,108188.0
44,5,0,0,0,0,251,1.0,1.0,0.06,0.06,0.0,255,16,0.06,0.05,0.0,1.0,1.0,0.0,1,42594.0
53,5,0,0,0,0,236,1.0,1.0,0.06,0.07,0.0,255,15,0.06,0.08,0.0,1.0,1.0,0.0,1,96616.0
19,9,67816,0,0,1,1,0.0,0.0,1.0,0.0,0.0,255,10,0.04,0.47,0.0,0.0,0.0,0.0,0,85346.0
44,5,0,0,0,0,247,1.0,1.0,0.02,0.06,0.0,255,3,0.01,0.08,0.0,1.0,1.0,0.0,1,124071.0
22,1,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,23,29,1.0,0.0,0.14,0.0,0.0,1.0,0,14223.0
44,5,0,0,0,0,179,1.0,1.0,0.01,0.07,0.0,218,2,0.01,0.08,0.0,0.94,1.0,0.0,1,52327.0
11,9,44,44,0,0,199,0.0,0.0,0.99,0.01,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0,123893.0
19,5,0,0,0,0,3,1.0,1.0,0.67,0.67,0.0,255,59,0.23,0.04,0.0,1.0,1.0,0.0,1,69218.0
44,4,1,0,0,0,2,0.0,0.0,1.0,0.0,0.0,255,2,0.01,0.38,0.0,0.0,0.0,1.0,1,69631.0
22,5,0,0,0,0,267,1.0,1.0,0.02,0.06,0.0,255,2,0.01,0.07,0.0,1.0,1.0,0.0,1,85721.0
44,5,0,0,0,0,117,1.0,1.0,0.15,0.07,0.0,255,20,0.08,0.07,0.0,1.0,1.0,0.0,1,73500.0
49,9,2220,396,0,1,1,0.0,0.0,1.0,0.0,1.0,99,179,0.84,0.06,0.01,0.02,0.01,0.0,0,108032.0
44,5,0,0,0,0,268,1.0,1.0,0.06,0.04,0.0,255,15,0.06,0.05,0.0,1.0,1.0,0.0,1,35050.0
13,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,65,1.0,0.0,0.51,0.0,0.0,0.0,1,125912.0
11,9,45,72,0,0,264,0.0,0.0,1.0,0.01,0.01,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0,62032.0
40,9,146,105,0,0,4,0.0,0.0,0.5,0.5,0.0,255,2,0.01,0.82,0.0,0.0,0.0,0.0,0,51606.0
19,9,11,0,0,1,1,0.0,0.0,1.0,0.0,0.0,4,91,1.0,0.0,0.02,0.0,0.0,0.0,0,25892.0
40,9,516,4,0,0,192,0.0,0.0,1.0,0.0,0.0,192,192,1.0,0.0,0.0,0.0,0.0,0.0,0,65139.0
22,9,297,2794,0,1,17,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,11126.0
15,5,0,0,0,0,140,1.0,1.0,0.1,0.06,0.0,255,14,0.05,0.06,0.0,1.0,1.0,0.0,1,16640.0
44,5,0,0,0,0,135,1.0,1.0,0.11,0.06,0.0,255,5,0.02,0.06,0.0,1.0,1.0,0.0,1,87045.0
22,1,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,38,223,1.0,0.0,0.14,0.0,0.0,0.97,0,83594.0
11,9,44,74,0,0,190,0.0,0.0,1.0,0.0,0.0,255,206,0.81,0.01,0.0,0.0,0.0,0.0,0,74060.0
22,9,178,833,0,1,5,0.0,0.0,1.0,0.0,0.0,47,255,1.0,0.0,0.02,0.0,0.0,0.0,0,39489.0
22,9,205,528,0,1,2,0.0,0.0,1.0,0.0,0.67,37,255,1.0,0.0,0.03,0.0,0.0,0.01,0,72378.0
13,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,2,61,1.0,0.0,0.26,0.0,0.0,0.0,1,74620.0
21,1,0,0,0,0,161,0.0,0.0,0.11,0.07,0.0,255,17,0.07,0.07,0.0,0.0,0.0,1.0,1,38318.0
19,5,0,0,0,0,74,1.0,1.0,0.26,0.05,0.0,255,69,0.27,0.02,0.0,1.0,1.0,0.0,1,40007.0
13,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,145,1.0,0.0,0.5,0.0,0.0,0.0,1,78428.0
22,5,0,0,0,0,2,0.5,0.5,1.0,0.0,0.5,184,255,1.0,0.0,0.02,0.01,0.0,0.0,0,75298.0
34,5,0,0,0,0,288,1.0,1.0,0.08,0.05,0.0,255,24,0.09,0.05,0.0,1.0,1.0,0.0,1,87005.0
60,5,0,0,0,0,282,1.0,1.0,0.06,0.06,0.0,255,1,0.0,0.08,0.0,1.0,1.0,0.0,1,112952.0
44,1,0,0,0,0,108,0.0,0.0,0.14,0.06,0.0,255,15,0.06,0.08,0.0,0.0,0.0,1.0,1,93267.0
40,4,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.63,0.0,0.0,0.0,1.0,1,14403.0
17,5,0,0,0,0,19,1.0,1.0,0.26,0.21,0.0,255,64,0.25,0.02,0.0,1.0,1.0,0.0,1,4774.0
14,9,1032,0,0,0,284,0.0,0.0,1.0,0.0,0.0,255,186,0.73,0.02,0.0,0.0,0.0,0.0,1,96386.0
56,2,0,0,0,0,224,0.0,0.0,0.01,0.07,0.0,255,2,0.01,0.08,0.0,0.0,0.0,1.0,1,15525.0
22,9,211,527,0,1,17,0.0,0.0,1.0,0.0,0.11,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,94454.0
22,9,260,419,0,1,1,0.0,0.0,1.0,0.0,0.33,4,4,1.0,0.0,0.0,0.0,0.0,0.0,0,6792.0
22,9,260,50154,0,1,1,0.0,0.0,1.0,0.0,1.0,235,255,1.0,0.0,0.01,0.0,0.0,0.02,0,72266.0
19,1,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,1,40,1.0,0.0,0.08,0.0,0.0,0.05,0,16208.0
17,5,0,0,0,0,275,1.0,1.0,0.01,0.06,0.0,255,4,0.02,0.07,0.0,1.0,1.0,0.0,1,47862.0
53,5,0,0,0,0,266,1.0,1.0,0.06,0.05,0.0,255,16,0.06,0.05,0.0,1.0,1.0,0.0,1,72258.0
11,9,45,130,0,0,43,0.0,0.0,1.0,0.0,0.02,233,171,0.73,0.02,0.0,0.0,0.0,0.0,0,971.0
49,9,662,338,0,1,1,0.0,0.0,1.0,0.0,0.0,53,111,0.45,0.09,0.02,0.0,0.0,0.0,0,119938.0
44,5,0,0,0,0,91,1.0,1.0,0.03,0.08,0.0,255,3,0.01,0.08,0.0,1.0,1.0,0.0,1,54112.0
19,9,74,0,0,1,1,0.0,0.0,1.0,0.0,0.0,39,63,0.77,0.05,0.05,0.0,0.02,0.0,0,61993.0
22,9,332,457,0,1,1,0.0,0.0,1.0,0.0,0.0,4,255,1.0,0.0,0.01,0.0,0.0,0.0,0,85562.0
22,9,205,27280,0,1,2,0.0,0.0,1.0,0.0,0.67,2,255,1.0,0.0,0.02,0.0,0.0,0.0,0,111317.0
44,5,0,0,0,0,136,1.0,1.0,0.07,0.07,0.0,255,11,0.04,0.06,0.0,1.0,1.0,0.0,1,13647.0
44,1,0,0,0,0,104,0.0,0.0,0.12,0.06,0.0,255,13,0.05,0.07,0.0,0.0,0.0,1.0,1,77096.0
11,9,45,45,0,0,16,0.0,0.0,1.0,0.0,0.0,255,253,0.99,0.01,0.0,0.0,0.0,0.0,0,19020.0
22,9,212,259,0,1,32,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,67578.0
32,1,0,0,0,0,242,0.0,0.0,0.04,0.07,0.0,255,10,0.04,0.08,0.0,0.0,0.0,1.0,1,54325.0
22,9,289,406,0,1,8,0.0,0.0,1.0,0.0,0.25,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,111224.0
55,9,138,3029,0,1,1,0.0,0.0,1.0,0.0,0.0,1,2,1.0,0.0,1.0,0.0,0.0,0.0,0,97464.0
22,9,346,1062,0,1,2,0.0,0.0,1.0,0.0,0.67,11,255,1.0,0.0,0.06,0.0,0.0,0.0,0,34700.0
22,9,245,1713,0,1,9,0.0,0.0,1.0,0.0,0.0,235,255,1.0,0.0,0.01,0.0,0.0,0.0,0,47559.0
14,9,1032,0,0,0,511,0.0,0.0,1.0,0.0,0.0,255,200,0.78,0.02,0.0,0.0,0.0,0.0,1,84319.0
22,9,237,7125,0,1,1,0.0,0.0,1.0,0.0,1.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,102659.0
18,9,1174,2447,0,1,1,0.0,0.0,1.0,0.0,0.0,255,125,0.49,0.02,0.0,0.0,0.0,0.0,1,100456.0
22,9,226,851,0,1,4,0.0,0.0,1.0,0.0,0.0,146,255,1.0,0.0,0.04,0.01,0.01,0.0,0,69674.0
