service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
42,1,0,0,0,0,362,0.06,0.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.08,0.0,1.0,1,61884.0
14,9,30,0,0,0,5,0.0,0.0,0.2,0.6,0.0,255,4,0.02,0.01,0.0,0.0,0.0,0.0,0,105707.0
24,9,376,10054,0,1,19,0.0,0.0,1.0,0.0,0.0,221,255,1.0,0.0,0.03,0.0,0.0,0.0,0,52250.0
7,5,0,0,0,0,239,1.0,1.0,0.09,0.05,0.0,255,21,0.08,0.06,0.0,1.0,1.0,0.0,1,75882.0
52,9,1689,324,0,1,1,0.0,0.0,1.0,0.0,0.0,39,16,0.41,0.08,0.0,0.0,0.0,0.0,0,8146.0
45,5,0,0,0,0,260,1.0,1.0,0.03,0.07,0.0,255,8,0.03,0.08,0.0,1.0,1.0,0.0,1,117925.0
24,9,209,1295,0,1,2,0.0,0.0,1.0,0.0,0.0,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0,115470.0
52,9,1066,400,0,1,1,0.0,0.0,1.0,0.0,0.0,33,226,0.55,0.06,0.01,0.45,0.0,0.0,0,25370.0
24,9,276,9457,0,1,15,0.0,0.0,1.0,0.0,0.14,105,255,1.0,0.0,0.02,0.0,0.0,0.0,0,80066.0
42,1,0,0,0,0,509,0.24,0.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.16,0.0,1.0,1,15080.0
20,9,748,0,0,0,1,0.0,0.0,1.0,0.0,0.0,7,64,0.14,0.43,0.03,0.0,0.0,0.0,0,118929.0
12,9,46,112,0,0,1,0.0,0.0,1.0,0.0,0.0,87,223,1.0,0.0,0.01,0.0,0.0,0.0,0,42281.0
14,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,2,255,1.0,0.0,0.25,0.0,0.0,0.0,1,88442.0
24,9,182,42438,0,1,1,0.0,0.0,1.0,0.0,0.05,255,250,0.98,0.01,0.0,0.0,0.0,0.0,0,91888.0
24,9,246,2315,0,1,12,0.0,0.0,1.0,0.0,0.08,13,255,1.0,0.0,0.07,0.0,0.0,0.0,0,30881.0
24,9,289,2816,0,1,21,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,37281.0
24,1,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,6,13,1.0,0.0,0.38,0.0,0.0,1.0,0,52074.0
20,5,0,0,0,0,22,1.0,1.0,0.27,0.18,0.0,255,22,0.09,0.06,0.0,1.0,1.0,0.0,1,5631.0
