service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
48,9,6,0,0,1,106,0.07,0.0,0.01,1.0,0.0,255,1,0.0,0.68,0.0,0.03,0.0,0.0,1,76903.0
45,5,0,0,0,0,118,0.99,1.0,0.13,0.07,0.0,255,15,0.06,0.06,0.0,1.0,1.0,0.0,1,22765.0
22,5,0,0,0,0,20,1.0,1.0,0.5,0.1,0.0,255,66,0.26,0.02,0.0,1.0,1.0,0.0,1,29788.0
61,5,0,0,0,0,276,1.0,1.0,0.01,0.05,0.0,255,4,0.02,0.05,0.0,1.0,1.0,0.0,1,18917.0
51,5,0,0,0,0,95,1.0,1.0,0.02,0.05,0.0,255,2,0.01,0.06,0.0,1.0,1.0,0.0,1,44649.0
22,9,395,9079,0,1,2,0.0,0.0,1.0,0.0,0.19,3,255,1.0,0.0,0.01,0.0,0.0,0.0,0,79964.0
45,1,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,20,2,0.05,1.0,1.0,0.0,0.0,1.0,1,19284.0
22,9,236,9996,0,1,2,0.0,0.0,1.0,0.0,0.67,18,84,1.0,0.0,0.06,0.0,0.0,0.0,0,26299.0
49,9,1261,329,0,1,1,0.0,0.0,1.0,0.0,0.0,51,73,0.45,0.08,0.03,0.0,0.0,0.0,0,43702.0
49,9,911,338,0,1,1,0.0,0.0,1.0,0.0,0.0,61,107,0.54,0.08,0.03,0.0,0.0,0.0,0,65575.0
22,9,285,1334,0,1,33,0.0,0.0,1.0,0.0,0.06,169,255,1.0,0.0,0.03,0.0,0.0,0.0,0,104794.0
22,9,199,463,0,1,2,0.0,0.0,1.0,0.0,0.67,36,255,1.0,0.0,0.03,0.0,0.0,0.0,0,98922.0
22,9,243,749,0,1,21,0.0,0.0,1.0,0.0,0.09,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,93467.0
33,5,0,0,0,0,298,1.0,1.0,0.01,0.06,0.0,255,2,0.01,0.08,0.0,1.0,1.0,0.0,1,34094.0
31,5,0,0,0,0,270,1.0,1.0,0.0,0.05,0.0,255,1,0.0,0.05,0.0,1.0,1.0,0.0,1,6197.0
45,5,0,0,0,0,298,1.0,1.0,0.05,0.06,0.0,255,33,0.13,0.07,0.0,1.0,1.0,0.0,1,81131.0
6,1,0,0,0,0,243,0.0,0.0,0.01,0.07,0.0,255,2,0.01,0.08,0.0,0.0,0.0,1.0,1,92157.0
61,5,0,0,0,0,202,1.0,1.0,0.09,0.06,0.0,255,18,0.07,0.06,0.0,1.0,1.0,0.0,1,61453.0
45,5,0,0,0,0,130,1.0,1.0,0.15,0.06,0.0,255,6,0.02,0.06,0.0,1.0,1.0,0.0,1,75917.0
58,9,78,0,0,0,14,0.0,0.0,0.21,0.14,0.0,255,6,0.02,0.01,0.0,0.0,0.0,0.0,0,74319.0
40,9,145,105,0,0,2,0.0,0.0,1.0,0.0,0.0,184,2,0.01,0.55,0.0,0.0,0.0,0.0,0,2742.0
3,5,0,0,0,0,230,1.0,1.0,0.07,0.05,0.0,255,15,0.06,0.05,0.0,1.0,1.0,0.0,1,39201.0
12,5,0,0,0,0,217,1.0,1.0,0.01,0.06,0.0,255,2,0.01,0.07,0.0,1.0,1.0,0.0,1,42800.0
40,9,145,105,0,0,1,0.0,0.0,1.0,0.0,0.0,255,3,0.01,0.44,0.0,0.0,0.0,0.0,0,93845.0
19,9,3468,0,0,1,20,0.0,0.0,1.0,0.0,0.1,255,101,0.4,0.02,0.0,0.0,0.0,0.0,0,76680.0
19,9,5891,0,0,0,17,0.0,0.0,1.0,0.0,0.0,255,105,0.41,0.03,0.0,0.0,0.0,0.0,0,89803.0
7,5,0,0,0,0,150,1.0,1.0,0.07,0.05,0.0,255,1,0.0,0.07,0.0,1.0,1.0,0.0,1,106907.0
40,4,1,0,0,0,2,0.0,0.0,1.0,0.0,0.0,255,2,0.01,0.73,0.0,0.0,0.0,1.0,1,123244.0
22,9,292,247,0,1,18,0.0,0.0,1.0,0.0,0.11,53,255,1.0,0.0,0.03,0.0,0.0,0.0,0,110308.0
22,9,367,565,0,1,3,0.0,0.0,1.0,0.0,0.0,55,255,1.0,0.0,0.02,0.0,0.0,0.0,0,103447.0
28,5,0,0,0,0,294,1.0,1.0,0.09,0.05,0.0,255,25,0.1,0.05,0.0,1.0,1.0,0.0,1,40830.0
52,5,0,0,0,0,245,1.0,1.0,0.07,0.07,0.0,255,16,0.06,0.07,0.0,1.0,1.0,0.0,1,53570.0
45,2,0,0,0,0,125,0.0,0.0,0.1,0.07,0.0,255,12,0.05,0.07,0.0,0.0,0.0,1.0,1,26398.0
59,5,0,0,0,0,121,1.0,1.0,0.09,0.06,0.0,255,11,0.04,0.05,0.0,1.0,1.0,0.0,1,5259.0
22,9,234,254,0,1,8,0.0,0.0,1.0,0.0,0.0,8,255,1.0,0.0,0.02,0.0,0.0,0.0,0,97941.0
11,9,32,0,0,0,1,0.0,0.0,1.0,0.0,0.0,166,19,0.11,0.04,0.0,0.0,0.0,0.0,0,55871.0
