service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
19.0,9.0,748.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,36.0,37.0,0.17,0.11,0.05,0.0,0.0,0.0,0.0,51533.0
11.0,9.0,43.0,128.0,0.0,0.0,58.0,0.0,0.0,1.0,0.0,0.01,255.0,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,60993.0
50.0,9.0,1095.0,327.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,99.0,90.0,0.51,0.05,0.02,0.0,0.0,0.0,0.0,46865.0
22.0,9.0,224.0,383.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,112.0,255.0,1.0,0.0,0.01,0.0,0.01,0.0,0.0,9293.0
22.0,9.0,230.0,261.0,0.0,1.0,15.0,0.0,0.0,1.0,0.0,0.13,236.0,255.0,1.0,0.0,0.02,0.0,0.0,0.0,0.0,78860.0
14.0,9.0,64.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,120.0,2.0,0.02,0.03,0.0,0.16,0.0,0.0,0.0,51544.0
50.0,9.0,3080.0,329.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,23.0,163.0,0.22,0.09,0.01,0.0,0.0,0.0,0.0,23297.0
11.0,9.0,73.0,46.0,0.0,0.0,119.0,0.0,0.0,1.0,0.0,0.0,255.0,166.0,0.65,0.01,0.0,0.0,0.0,0.0,0.0,115068.0
22.0,9.0,216.0,1000.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.25,230.0,255.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,60880.0
11.0,9.0,42.0,42.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.2,255.0,230.0,0.9,0.01,0.0,0.0,0.0,0.0,0.0,36153.0
11.0,9.0,42.0,65.0,0.0,0.0,140.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,60217.0
18.0,9.0,333.0,1072.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,103.0,23.0,0.22,0.04,0.0,0.04,0.09,0.0,0.0,108023.0
50.0,9.0,1875.0,331.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,105.0,135.0,0.82,0.04,0.01,0.0,0.0,0.0,0.0,102423.0
41.0,9.0,146.0,105.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,255.0,2.0,0.01,0.53,0.0,0.0,0.0,0.0,0.0,88113.0
50.0,9.0,2611.0,326.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,121.0,98.0,0.64,0.04,0.02,0.0,0.0,0.0,0.0,40903.0
22.0,9.0,319.0,321.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15355.0
45.0,9.0,215.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,137.0,113.0,0.82,0.01,0.0,0.0,0.0,0.0,1.0,78258.0
22.0,9.0,282.0,263.0,0.0,1.0,33.0,0.0,0.0,1.0,0.0,0.11,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60601.0
11.0,9.0,46.0,133.0,0.0,0.0,77.0,0.0,0.0,1.0,0.0,0.01,255.0,232.0,0.91,0.01,0.0,0.0,0.0,0.0,0.0,82970.0
22.0,9.0,325.0,268.0,0.0,1.0,24.0,0.0,0.0,1.0,0.0,0.0,255.0,253.0,0.99,0.01,0.0,0.0,0.0,0.0,0.0,3208.0
22.0,9.0,331.0,1047.0,0.0,1.0,21.0,0.0,0.0,1.0,0.0,0.0,170.0,255.0,1.0,0.0,0.02,0.0,0.0,0.0,0.0,19071.0
22.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,37.0,255.0,1.0,0.0,0.13,0.0,0.0,0.82,0.0,90431.0
11.0,9.0,45.0,79.0,0.0,0.0,261.0,0.0,0.0,1.0,0.01,0.01,255.0,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,61324.0
22.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,249.0,1.0,0.0,0.1,0.0,0.0,0.96,0.0,109.0
11.0,9.0,44.0,75.0,0.0,0.0,254.0,0.0,0.0,1.0,0.01,0.01,255.0,242.0,0.95,0.01,0.0,0.0,0.0,0.0,0.0,104156.0
45.0,9.0,105.0,146.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,168.0,144.0,0.86,0.01,0.0,0.0,0.0,0.0,0.0,105631.0
22.0,9.0,215.0,597.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,154.0,255.0,1.0,0.0,0.02,0.0,0.0,0.0,0.0,44554.0
22.0,9.0,288.0,292.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,122845.0
11.0,9.0,45.0,71.0,0.0,0.0,183.0,0.0,0.0,1.0,0.0,0.01,255.0,230.0,0.9,0.01,0.0,0.0,0.0,0.0,0.0,96522.0
22.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,255.0,1.0,0.0,0.08,0.0,0.0,0.99,0.0,63092.0
19.0,9.0,2890.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,138.0,10.0,0.07,0.04,0.0,0.0,0.0,0.0,0.0,43257.0
19.0,9.0,175337.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.67,255.0,151.0,0.59,0.02,0.0,0.0,0.0,0.0,0.0,117765.0
19.0,9.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,55.0,52.0,0.62,0.04,0.04,0.0,0.0,0.0,0.0,59896.0
22.0,9.0,326.0,397.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.5,88.0,255.0,1.0,0.0,0.04,0.0,0.0,0.0,0.0,81334.0
22.0,9.0,284.0,1261.0,0.0,1.0,43.0,0.0,0.0,1.0,0.0,0.0,183.0,255.0,1.0,0.0,0.02,0.0,0.0,0.0,0.0,117262.0
19.0,9.0,151.0,0.0,0.0,1.0,3.0,0.0,0.0,0.33,1.0,0.0,255.0,61.0,0.24,0.03,0.0,0.0,0.0,0.0,0.0,47265.0
22.0,9.0,304.0,783.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.57,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25407.0
11.0,9.0,45.0,75.0,0.0,0.0,216.0,0.0,0.0,1.0,0.0,0.0,255.0,233.0,0.91,0.01,0.0,0.0,0.0,0.0,0.0,26361.0
11.0,9.0,45.0,124.0,0.0,0.0,67.0,0.0,0.0,1.0,0.0,0.01,243.0,123.0,0.51,0.02,0.0,0.0,0.0,0.0,0.0,102244.0
