service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
7,5,0,0,0,0,215,1.0,1.0,0.08,0.06,0.0,255,18,0.07,0.07,0.0,1.0,1.0,0.0,1,44272.0
22,1,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,16,47,1.0,0.0,0.21,0.0,0.0,1.0,0,21597.0
22,1,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,45,253,1.0,0.0,0.19,0.0,0.0,1.0,0,98392.0
2,1,0,0,0,0,253,0.0,0.0,0.03,0.06,0.0,255,7,0.03,0.07,0.0,0.0,0.0,1.0,1,105129.0
22,9,289,2804,0,1,3,0.0,0.0,1.0,0.0,0.0,9,155,1.0,0.0,0.04,0.0,0.0,0.0,0,39624.0
44,5,0,0,0,0,122,1.0,1.0,0.09,0.06,0.0,96,11,0.11,0.11,0.0,1.0,1.0,0.0,1,56244.0
48,9,2323,332,0,1,1,0.0,0.0,1.0,0.0,1.0,142,112,0.54,0.04,0.02,0.0,0.0,0.0,0,56557.0
11,9,44,44,0,0,209,0.0,0.0,1.0,0.0,0.0,255,250,0.98,0.01,0.0,0.0,0.0,0.0,0,89857.0
22,9,317,738,0,1,18,0.0,0.0,1.0,0.0,0.12,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,97905.0
44,1,0,0,0,0,270,0.08,0.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.08,0.0,1.0,1,55242.0
22,5,0,0,0,0,40,1.0,1.0,0.35,0.1,0.0,122,34,0.28,0.03,0.0,0.98,1.0,0.0,1,8502.0
22,9,258,1955,0,1,2,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,44623.0
54,5,0,0,0,0,28,1.0,1.0,0.21,0.14,0.0,255,46,0.18,0.04,0.0,1.0,1.0,0.0,1,40330.0
52,1,0,0,0,0,250,0.0,0.0,0.02,0.07,0.0,255,4,0.02,0.08,0.0,0.0,0.0,1.0,1,35536.0
13,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,2,12,1.0,0.0,0.5,0.0,0.0,0.0,1,122035.0
22,9,351,1269,0,1,28,0.0,0.0,1.0,0.0,0.16,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,63000.0
22,2,164,0,0,1,1,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.01,0,111080.0
11,9,44,73,0,0,160,0.0,0.0,1.0,0.0,0.02,255,233,0.91,0.01,0.0,0.0,0.0,0.0,0,71661.0
19,9,567,0,0,1,2,0.0,0.0,0.5,1.0,0.0,64,73,0.38,0.06,0.03,0.0,0.0,0.0,0,25903.0
13,9,30,0,0,0,4,0.0,0.0,0.25,0.5,0.0,255,36,0.14,0.01,0.0,0.0,0.0,0.0,0,5510.0
19,9,12,0,0,1,2,0.0,0.0,1.0,0.0,0.0,6,26,1.0,0.0,0.08,0.0,0.0,0.0,1,6032.0
44,5,0,0,0,0,82,1.0,1.0,0.22,0.06,0.0,255,3,0.01,0.06,0.0,1.0,1.0,0.0,1,18509.0
22,9,54540,8314,0,1,3,0.0,0.0,1.0,0.0,0.0,90,90,1.0,0.0,0.0,0.0,0.0,0.01,1,13688.0
12,5,0,0,0,0,232,1.0,1.0,0.04,0.05,0.0,255,10,0.04,0.06,0.0,1.0,1.0,0.0,1,103732.0
57,9,183,0,0,0,2,0.0,0.0,0.5,1.0,0.0,255,22,0.09,0.01,0.0,0.0,0.0,0.0,0,120921.0
40,1,0,0,0,0,509,0.16,0.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.05,0.0,1.0,1,4315.0
11,9,45,131,0,0,196,0.0,0.0,0.99,0.01,0.01,198,159,0.8,0.02,0.0,0.0,0.0,0.0,0,85676.0
2,5,0,0,0,0,224,1.0,1.0,0.05,0.05,0.0,255,12,0.05,0.06,0.0,1.0,1.0,0.0,1,81447.0
48,9,775,331,0,1,1,0.0,0.0,1.0,0.0,0.0,120,105,0.88,0.03,0.0,0.0,0.0,0.0,0,657.0
18,9,1483,4152,0,1,4,0.0,0.0,0.25,0.5,0.0,193,37,0.19,0.04,0.0,0.01,0.0,0.0,0,108601.0
22,9,317,2099,0,1,13,0.0,0.0,1.0,0.0,0.14,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,70201.0
22,9,313,32782,0,1,6,0.0,0.0,1.0,0.0,0.0,162,162,1.0,0.0,0.0,0.01,0.01,0.0,0,86981.0
25,1,0,0,0,0,264,0.0,0.0,0.08,0.07,0.0,255,20,0.08,0.09,0.0,0.0,0.0,1.0,1,108044.0
22,9,235,868,0,1,28,0.0,0.0,1.0,0.0,0.0,62,237,1.0,0.0,0.07,0.0,0.0,0.0,0,88210.0
19,9,1030,0,0,1,4,0.0,0.0,1.0,0.0,0.0,26,38,0.38,0.19,0.05,0.0,0.0,0.0,0,1879.0
44,5,0,0,0,0,147,1.0,1.0,0.05,0.05,0.0,255,5,0.02,0.08,0.0,1.0,1.0,0.0,1,91157.0
