service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
48.0,9.0,2323.0,332.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,142.0,112.0,0.54,0.04,0.02,0.0,0.0,0.0,0.0,56557.0
22.0,2.0,164.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,111080.0
19.0,9.0,567.0,0.0,0.0,1.0,2.0,0.0,0.0,0.5,1.0,0.0,64.0,73.0,0.38,0.06,0.03,0.0,0.0,0.0,0.0,25903.0
13.0,9.0,30.0,0.0,0.0,0.0,4.0,0.0,0.0,0.25,0.5,0.0,255.0,36.0,0.14,0.01,0.0,0.0,0.0,0.0,0.0,5510.0
19.0,9.0,12.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,26.0,1.0,0.0,0.08,0.0,0.0,0.0,0.0,6032.0
22.0,9.0,54540.0,8314.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,90.0,90.0,1.0,0.0,0.0,0.0,0.0,0.01,1.0,13688.0
57.0,9.0,183.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,1.0,0.0,255.0,22.0,0.09,0.01,0.0,0.0,0.0,0.0,0.0,120921.0
19.0,9.0,1030.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,26.0,38.0,0.38,0.19,0.05,0.0,0.0,0.0,0.0,1879.0
19.0,9.0,501760.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,120.0,47.0,0.26,0.03,0.04,0.0,0.0,0.0,0.0,14722.0
19.0,9.0,641.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,40.0,138.0,0.77,0.08,0.01,0.0,0.0,0.0,0.0,91473.0
22.0,9.0,54540.0,8314.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,227.0,227.0,1.0,0.0,0.0,0.0,0.0,0.01,1.0,35791.0
11.0,9.0,43.0,135.0,0.0,0.0,42.0,0.0,0.0,1.0,0.0,0.0,187.0,132.0,0.71,0.02,0.0,0.0,0.0,0.0,0.0,40642.0
11.0,9.0,45.0,129.0,0.0,0.0,64.0,0.0,0.0,1.0,0.0,0.01,255.0,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,40218.0
22.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,1.0,4.0,225.0,1.0,0.0,0.1,0.0,0.0,1.0,0.0,76567.0
14.0,9.0,520.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,66232.0
13.0,9.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,91.0,1.0,0.0,0.38,0.0,0.0,0.0,0.0,107870.0
