service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
7.0,5.0,0.0,0.0,0.0,0.0,215.0,1.0,1.0,0.08,0.06,0.0,255.0,18.0,0.07,0.07,0.0,1.0,1.0,0.0,1.0,44272.0
22.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,47.0,1.0,0.0,0.21,0.0,0.0,1.0,0.0,21597.0
22.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,45.0,253.0,1.0,0.0,0.19,0.0,0.0,1.0,0.0,98392.0
2.0,1.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.03,0.06,0.0,255.0,7.0,0.03,0.07,0.0,0.0,0.0,1.0,1.0,105129.0
22.0,9.0,289.0,2804.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,9.0,155.0,1.0,0.0,0.04,0.0,0.0,0.0,0.0,39624.0
44.0,5.0,0.0,0.0,0.0,0.0,122.0,1.0,1.0,0.09,0.06,0.0,96.0,11.0,0.11,0.11,0.0,1.0,1.0,0.0,1.0,56244.0
11.0,9.0,44.0,44.0,0.0,0.0,209.0,0.0,0.0,1.0,0.0,0.0,255.0,250.0,0.98,0.01,0.0,0.0,0.0,0.0,0.0,89857.0
22.0,9.0,317.0,738.0,0.0,1.0,18.0,0.0,0.0,1.0,0.0,0.12,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,97905.0
44.0,1.0,0.0,0.0,0.0,0.0,270.0,0.08,0.0,0.0,1.0,0.0,255.0,1.0,0.0,1.0,0.0,0.08,0.0,1.0,1.0,55242.0
22.0,5.0,0.0,0.0,0.0,0.0,40.0,1.0,1.0,0.35,0.1,0.0,122.0,34.0,0.28,0.03,0.0,0.98,1.0,0.0,1.0,8502.0
22.0,9.0,258.0,1955.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44623.0
54.0,5.0,0.0,0.0,0.0,0.0,28.0,1.0,1.0,0.21,0.14,0.0,255.0,46.0,0.18,0.04,0.0,1.0,1.0,0.0,1.0,40330.0
52.0,1.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.02,0.07,0.0,255.0,4.0,0.02,0.08,0.0,0.0,0.0,1.0,1.0,35536.0
13.0,9.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,12.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,122035.0
22.0,9.0,351.0,1269.0,0.0,1.0,28.0,0.0,0.0,1.0,0.0,0.16,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63000.0
11.0,9.0,44.0,73.0,0.0,0.0,160.0,0.0,0.0,1.0,0.0,0.02,255.0,233.0,0.91,0.01,0.0,0.0,0.0,0.0,0.0,71661.0
44.0,5.0,0.0,0.0,0.0,0.0,82.0,1.0,1.0,0.22,0.06,0.0,255.0,3.0,0.01,0.06,0.0,1.0,1.0,0.0,1.0,18509.0
12.0,5.0,0.0,0.0,0.0,0.0,232.0,1.0,1.0,0.04,0.05,0.0,255.0,10.0,0.04,0.06,0.0,1.0,1.0,0.0,1.0,103732.0
40.0,1.0,0.0,0.0,0.0,0.0,509.0,0.16,0.0,0.0,1.0,0.0,255.0,1.0,0.0,1.0,0.0,0.05,0.0,1.0,1.0,4315.0
11.0,9.0,45.0,131.0,0.0,0.0,196.0,0.0,0.0,0.99,0.01,0.01,198.0,159.0,0.8,0.02,0.0,0.0,0.0,0.0,0.0,85676.0
2.0,5.0,0.0,0.0,0.0,0.0,224.0,1.0,1.0,0.05,0.05,0.0,255.0,12.0,0.05,0.06,0.0,1.0,1.0,0.0,1.0,81447.0
48.0,9.0,775.0,331.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,120.0,105.0,0.88,0.03,0.0,0.0,0.0,0.0,0.0,657.0
18.0,9.0,1483.0,4152.0,0.0,1.0,4.0,0.0,0.0,0.25,0.5,0.0,193.0,37.0,0.19,0.04,0.0,0.01,0.0,0.0,0.0,108601.0
22.0,9.0,317.0,2099.0,0.0,1.0,13.0,0.0,0.0,1.0,0.0,0.14,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70201.0
22.0,9.0,313.0,32782.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,162.0,162.0,1.0,0.0,0.0,0.01,0.01,0.0,0.0,86981.0
25.0,1.0,0.0,0.0,0.0,0.0,264.0,0.0,0.0,0.08,0.07,0.0,255.0,20.0,0.08,0.09,0.0,0.0,0.0,1.0,1.0,108044.0
22.0,9.0,235.0,868.0,0.0,1.0,28.0,0.0,0.0,1.0,0.0,0.0,62.0,237.0,1.0,0.0,0.07,0.0,0.0,0.0,0.0,88210.0
44.0,5.0,0.0,0.0,0.0,0.0,147.0,1.0,1.0,0.05,0.05,0.0,255.0,5.0,0.02,0.08,0.0,1.0,1.0,0.0,1.0,91157.0
22.0,9.0,336.0,6764.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,2.0,255.0,1.0,0.0,0.04,0.0,0.0,0.0,0.0,79014.0
22.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,33.0,255.0,1.0,0.0,0.09,0.0,0.0,0.67,0.0,98434.0
44.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,1.0,0.0,255.0,1.0,0.0,0.33,0.0,0.26,0.0,1.0,1.0,38138.0
22.0,6.0,243.0,21900.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,128.0,255.0,1.0,0.0,0.05,0.01,0.0,0.59,0.0,9362.0
44.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,1.0,0.0,255.0,1.0,0.0,0.55,0.0,0.0,0.0,1.0,1.0,26015.0
22.0,9.0,211.0,2594.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,0.18,37.0,255.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,10454.0
22.0,9.0,225.0,1039.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.5,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47192.0
22.0,9.0,249.0,2265.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.09,255.0,255.0,1.0,0.0,0.0,0.01,0.01,0.0,0.0,71294.0
4.0,1.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.03,0.08,0.0,255.0,4.0,0.02,0.09,0.0,0.0,0.0,1.0,1.0,101255.0
44.0,5.0,0.0,0.0,0.0,0.0,107.0,1.0,1.0,0.17,0.05,0.0,255.0,18.0,0.07,0.04,0.0,1.0,1.0,0.0,1.0,107854.0
44.0,5.0,0.0,0.0,0.0,0.0,110.0,1.0,1.0,0.17,0.06,0.0,163.0,19.0,0.12,0.07,0.0,1.0,1.0,0.0,1.0,68497.0
8.0,5.0,0.0,0.0,0.0,0.0,247.0,1.0,1.0,0.02,0.06,0.0,255.0,15.0,0.06,0.06,0.0,1.0,1.0,0.0,1.0,8383.0
