service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
19,9,748,0,0,0,1,0.0,0.0,1.0,0.0,0.0,36,37,0.17,0.11,0.05,0.0,0.0,0.0,0,51533.0
11,9,43,128,0,0,58,0.0,0.0,1.0,0.0,0.01,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0,60993.0
25,5,0,0,0,0,282,1.0,1.0,0.04,0.06,0.0,255,1,0.0,0.07,0.0,1.0,1.0,0.0,1,44682.0
50,9,1095,327,0,1,1,0.0,0.0,1.0,0.0,0.0,99,90,0.51,0.05,0.02,0.0,0.0,0.0,0,46865.0
2,5,0,0,0,0,232,1.0,1.0,0.02,0.06,0.0,255,4,0.02,0.07,0.0,1.0,1.0,0.0,1,18770.0
22,9,224,383,0,1,7,0.0,0.0,1.0,0.0,0.0,112,255,1.0,0.0,0.01,0.0,0.01,0.0,0,9293.0
24,5,0,0,0,0,9,1.0,1.0,0.89,0.22,0.0,255,18,0.07,0.08,0.0,1.0,1.0,0.0,1,110552.0
45,4,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.36,0.0,0.0,0.0,1.0,1,10320.0
22,9,296,3120,0,1,15,0.0,0.0,1.0,0.0,0.0,15,255,1.0,0.0,0.04,0.0,0.0,0.0,0,53887.0
22,9,328,2536,0,1,5,0.0,0.0,1.0,0.0,0.33,93,255,1.0,0.0,0.05,0.0,0.0,0.0,0,45819.0
50,9,1056,282,0,1,1,0.0,0.0,1.0,0.0,0.0,36,15,0.42,0.08,0.0,0.0,0.0,0.0,0,102739.0
22,9,230,261,0,1,15,0.0,0.0,1.0,0.0,0.13,236,255,1.0,0.0,0.02,0.0,0.0,0.0,0,78860.0
45,5,0,0,0,0,107,1.0,1.0,0.15,0.06,0.0,183,16,0.09,0.1,0.0,1.0,1.0,0.0,1,88161.0
