service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
11.0,9.0,45.0,76.0,0.0,0.0,158.0,0.0,0.0,1.0,0.0,0.0,255.0,191.0,0.75,0.01,0.0,0.0,0.0,0.0,0.0,25908.0
22.0,9.0,330.0,1387.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,119.0,255.0,1.0,0.0,0.02,0.0,0.0,0.0,0.0,75532.0
22.0,9.0,336.0,12265.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,255.0,1.0,0.0,0.04,0.0,0.01,0.0,0.0,21083.0
48.0,9.0,1164.0,376.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,108.0,206.0,0.73,0.03,0.01,0.0,0.0,0.0,0.0,95399.0
48.0,9.0,2911.0,335.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,153.0,174.0,0.75,0.02,0.01,0.0,0.0,0.0,0.0,119804.0
22.0,9.0,232.0,904.0,0.0,1.0,28.0,0.0,0.0,1.0,0.0,0.09,150.0,255.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,101870.0
22.0,9.0,312.0,43129.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,78.0,255.0,1.0,0.0,0.04,0.0,0.0,0.0,0.0,76215.0
22.0,9.0,259.0,1304.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,0.0,78.0,198.0,1.0,0.0,0.06,0.0,0.01,0.0,0.0,80308.0
19.0,9.0,276.0,0.0,0.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,187.0,95.0,0.38,0.05,0.02,0.03,0.0,0.0,0.0,20926.0
22.0,9.0,204.0,1469.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.4,21.0,255.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,46315.0
22.0,9.0,357.0,1081.0,0.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,19.0,255.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,20811.0
11.0,9.0,43.0,131.0,0.0,0.0,65.0,0.0,0.0,1.0,0.0,0.01,255.0,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,39754.0
22.0,9.0,197.0,1410.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,227.0,255.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,36595.0
22.0,9.0,346.0,504.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.27,34.0,255.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,14877.0
22.0,9.0,0.0,415.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59282.0
11.0,9.0,45.0,45.0,0.0,0.0,166.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,122414.0
22.0,9.0,211.0,9945.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.14,26.0,255.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,83971.0
22.0,9.0,214.0,3859.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,33.0,255.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,16872.0
22.0,9.0,199.0,337.0,0.0,1.0,27.0,0.0,0.0,1.0,0.0,0.06,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19205.0
22.0,9.0,347.0,307.0,0.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,58.0,255.0,1.0,0.0,0.06,0.0,0.01,0.0,0.0,42712.0
11.0,9.0,44.0,136.0,0.0,0.0,231.0,0.0,0.0,1.0,0.01,0.01,233.0,194.0,0.83,0.01,0.0,0.0,0.0,0.0,0.0,81181.0
48.0,9.0,1281.0,443.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,152.0,142.0,0.5,0.03,0.01,0.0,0.0,0.0,0.0,5423.0
11.0,9.0,44.0,132.0,0.0,0.0,79.0,0.0,0.0,1.0,0.0,0.01,255.0,250.0,0.98,0.01,0.0,0.0,0.0,0.0,0.0,36963.0
48.0,9.0,605.0,328.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,205.0,245.0,0.96,0.01,0.01,0.0,0.0,0.0,0.0,123396.0
18.0,9.0,248.0,780.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,230.0,39.0,0.17,0.02,0.0,0.0,0.0,0.0,0.0,98242.0
22.0,9.0,330.0,12277.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,0.1,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35539.0
22.0,9.0,232.0,14993.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.29,74.0,255.0,1.0,0.0,0.01,0.0,0.0,0.07,0.0,80894.0
11.0,9.0,44.0,82.0,0.0,0.0,156.0,0.0,0.0,1.0,0.0,0.0,255.0,226.0,0.89,0.01,0.0,0.0,0.0,0.0,0.0,56355.0
40.0,9.0,146.0,105.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,255.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,124215.0
19.0,9.0,7321.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,57.0,77.0,0.51,0.05,0.03,0.0,0.0,0.0,0.0,7254.0
22.0,9.0,224.0,2109.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.17,241.0,241.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23860.0
22.0,9.0,244.0,2899.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,124.0,255.0,1.0,0.0,0.02,0.0,0.0,0.0,0.0,9401.0
11.0,9.0,45.0,131.0,0.0,0.0,173.0,0.0,0.0,0.99,0.01,0.01,175.0,136.0,0.78,0.02,0.0,0.0,0.0,0.0,0.0,119985.0
48.0,9.0,923.0,486.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,150.0,0.83,0.33,0.02,0.17,0.0,0.0,0.0,40878.0
22.0,9.0,418.0,10848.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92292.0
22.0,9.0,319.0,2390.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,255.0,1.0,0.0,0.07,0.0,0.0,0.0,0.0,86809.0
22.0,9.0,303.0,2991.0,0.0,1.0,22.0,0.0,0.0,1.0,0.0,0.0,22.0,255.0,1.0,0.0,0.07,0.0,0.0,0.0,0.0,22660.0
