service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
44.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,255.0,1.0,0.0,0.64,0.0,0.01,0.0,1.0,1.0,77523.0
44.0,1.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.14,0.06,0.0,20.0,11.0,0.55,0.1,0.0,0.0,0.0,1.0,1.0,99927.0
13.0,9.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,100.0,1.0,0.0,0.25,0.0,0.0,0.0,1.0,69428.0
4.0,5.0,0.0,0.0,0.0,0.0,288.0,1.0,1.0,0.09,0.05,0.0,255.0,25.0,0.1,0.05,0.0,1.0,1.0,0.0,1.0,122839.0
47.0,5.0,0.0,0.0,0.0,0.0,130.0,1.0,1.0,0.14,0.06,0.0,255.0,18.0,0.07,0.05,0.0,1.0,1.0,0.0,1.0,6118.0
44.0,5.0,0.0,0.0,0.0,0.0,247.0,1.0,1.0,0.04,0.06,0.0,255.0,12.0,0.05,0.09,0.0,1.0,1.0,0.0,1.0,61520.0
44.0,5.0,0.0,0.0,0.0,0.0,223.0,1.0,1.0,0.06,0.04,0.0,83.0,13.0,0.16,0.1,0.0,0.98,1.0,0.0,1.0,46179.0
33.0,5.0,0.0,0.0,0.0,0.0,249.0,1.0,1.0,0.01,0.06,0.0,255.0,3.0,0.01,0.07,0.0,1.0,1.0,0.0,1.0,57165.0
44.0,3.0,0.0,0.0,0.0,0.0,228.0,0.63,0.5,0.01,0.42,0.0,255.0,2.0,0.01,0.38,0.0,0.56,0.5,0.5,1.0,104083.0
17.0,5.0,0.0,0.0,0.0,0.0,68.0,1.0,1.0,0.26,0.06,0.0,255.0,65.0,0.25,0.02,0.0,1.0,1.0,0.0,1.0,36484.0
44.0,9.0,28.0,0.0,3.0,0.0,29.0,0.0,0.0,1.0,0.0,0.0,255.0,29.0,0.11,0.01,0.0,0.0,0.0,0.0,1.0,37131.0
7.0,5.0,0.0,0.0,0.0,0.0,209.0,1.0,1.0,0.09,0.07,0.0,255.0,19.0,0.07,0.07,0.0,1.0,1.0,0.0,1.0,51077.0
6.0,5.0,0.0,0.0,0.0,0.0,202.0,1.0,1.0,0.03,0.07,0.0,255.0,7.0,0.03,0.08,0.0,1.0,1.0,0.0,1.0,39564.0
42.0,5.0,0.0,0.0,0.0,0.0,254.0,1.0,1.0,0.07,0.07,0.0,255.0,18.0,0.07,0.07,0.0,1.0,1.0,0.0,1.0,124611.0
21.0,5.0,0.0,0.0,0.0,0.0,298.0,1.0,1.0,0.01,0.06,0.0,255.0,4.0,0.02,0.07,0.0,1.0,1.0,0.0,1.0,122411.0
44.0,5.0,0.0,0.0,0.0,0.0,239.0,1.0,1.0,0.06,0.06,0.0,255.0,6.0,0.02,0.06,0.0,1.0,1.0,0.0,1.0,51912.0
