service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
39,5,0,0,0,0,293,1.0,1.0,0.07,0.05,0.0,255,21,0.08,0.05,0.0,1.0,1.0,0.0,1,71931.0
40,9,48,48,0,0,1,0.0,0.0,1.0,0.0,0.0,22,20,0.91,0.09,0.0,0.0,0.0,0.0,0,79061.0
49,9,1928,331,0,1,1,0.0,0.0,1.0,0.0,0.0,255,17,0.07,0.45,0.0,0.0,0.0,0.0,0,94406.0
22,9,197,289,0,1,2,0.0,0.0,1.0,0.0,0.0,2,255,1.0,0.0,0.03,0.0,0.0,0.0,0,33093.0
3,5,0,0,0,0,274,1.0,1.0,0.06,0.05,0.0,255,16,0.06,0.05,0.0,1.0,1.0,0.0,1,89199.0
19,9,14,0,0,1,2,0.0,0.0,1.0,0.0,0.0,43,87,0.05,0.09,0.02,0.0,0.0,0.0,0,93999.0
18,2,0,0,0,0,253,0.0,0.0,0.03,0.07,0.0,255,8,0.03,0.08,0.0,0.0,0.0,1.0,1,104974.0
31,5,0,0,0,0,123,1.0,1.0,0.01,0.07,0.0,255,1,0.0,0.07,0.0,1.0,1.0,0.0,1,11062.0
11,9,46,77,0,0,224,0.0,0.0,1.0,0.0,0.01,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0,18670.0
32,5,0,0,0,0,198,1.0,1.0,0.08,0.08,0.0,255,16,0.06,0.09,0.0,1.0,1.0,0.0,1,124986.0
22,9,233,1374,0,1,7,0.14,0.14,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,109355.0
22,9,205,649,0,1,9,0.0,0.0,1.0,0.0,0.14,255,255,1.0,0.0,0.0,0.01,0.01,0.02,0,22661.0
22,9,201,511,0,1,10,0.0,0.0,1.0,0.0,0.19,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,17965.0
45,5,0,0,0,0,137,1.0,1.0,0.01,0.06,0.0,255,15,0.06,0.07,0.0,1.0,1.0,0.0,1,27596.0
19,9,491,0,0,1,2,0.0,0.0,1.0,0.0,0.0,6,65,0.33,0.33,0.03,0.0,0.0,0.0,0,125943.0
11,9,44,125,0,0,76,0.0,0.0,1.0,0.0,0.01,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0,67686.0
32,5,0,0,0,0,243,1.0,1.0,0.02,0.06,0.0,255,6,0.02,0.07,0.0,1.0,1.0,0.0,1,113487.0
13,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,143,1.0,0.0,0.5,0.0,0.0,0.0,1,115224.0
22,9,325,1481,0,1,8,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,46407.0
16,5,0,0,0,0,99,1.0,1.0,0.09,0.06,0.0,255,19,0.07,0.07,0.0,1.0,1.0,0.0,1,113327.0
22,9,248,1667,0,1,8,0.0,0.0,1.0,0.0,0.22,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,46502.0
22,9,271,294,0,1,2,0.5,0.33,1.0,0.0,0.67,20,255,1.0,0.0,0.08,0.05,0.0,0.0,0,17229.0
45,5,0,0,0,0,112,1.0,1.0,0.12,0.05,0.0,168,13,0.08,0.06,0.0,1.0,1.0,0.0,1,14082.0
13,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,141,1.0,0.0,0.5,0.0,0.0,0.0,1,42489.0
45,1,0,0,0,0,216,0.0,0.0,0.06,0.06,0.0,255,12,0.05,0.08,0.0,0.0,0.0,1.0,1,116182.0
49,9,864,330,0,1,1,0.0,0.0,1.0,0.0,0.0,19,16,0.84,0.11,0.0,0.0,0.0,0.0,0,28185.0
4,5,0,0,0,0,115,1.0,1.0,0.06,0.06,0.0,255,7,0.03,0.05,0.0,1.0,1.0,0.0,1,557.0
11,9,45,97,0,0,270,0.0,0.0,1.0,0.0,0.01,255,222,0.87,0.01,0.0,0.0,0.0,0.0,0,45451.0
19,9,491,0,0,1,2,0.0,0.0,1.0,0.0,0.0,13,84,0.15,0.15,0.02,0.0,0.0,0.0,0,3170.0
9,5,0,0,0,0,271,1.0,1.0,0.01,0.06,0.0,255,4,0.02,0.07,0.0,1.0,1.0,0.0,1,49353.0
57,2,0,0,0,0,260,0.0,0.0,0.08,0.07,0.0,255,20,0.08,0.07,0.0,0.0,0.0,1.0,1,30715.0
22,9,267,977,0,1,25,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,64712.0
22,9,214,5320,0,1,32,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,21535.0
15,1,0,0,0,0,107,0.0,0.0,0.19,0.06,0.0,255,20,0.08,0.06,0.0,0.0,0.0,1.0,1,85642.0
8,5,0,0,0,0,277,1.0,1.0,0.06,0.06,0.0,255,17,0.07,0.07,0.0,1.0,1.0,0.0,1,74635.0
22,9,205,1408,0,1,9,0.0,0.0,1.0,0.0,0.0,69,255,1.0,0.0,0.01,0.0,0.0,0.0,0,102850.0
62,5,0,0,0,0,282,1.0,1.0,0.05,0.05,0.0,255,14,0.05,0.05,0.0,1.0,1.0,0.0,1,69621.0
22,9,214,6251,0,1,8,0.0,0.0,1.0,0.0,0.0,83,255,1.0,0.0,0.01,0.01,0.0,0.09,0,107778.0
45,9,1,0,0,0,9,0.0,0.0,0.11,0.33,0.0,255,1,0.0,0.31,0.0,0.0,0.0,0.0,1,35846.0
41,9,145,105,0,0,1,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.84,0.0,0.0,0.0,0.0,0,40288.0
25,5,0,0,0,0,36,1.0,1.0,0.19,0.17,0.0,255,7,0.03,0.09,0.0,1.0,1.0,0.0,1,83505.0
45,5,0,0,0,0,141,1.0,1.0,0.06,0.06,0.0,255,17,0.07,0.07,0.0,1.0,1.0,0.0,1,111179.0
16,5,0,0,0,0,141,1.0,1.0,0.13,0.06,0.0,255,12,0.05,0.07,0.0,1.0,1.0,0.0,1,25735.0
22,9,307,2507,0,1,6,0.0,0.0,0.83,0.33,0.33,255,246,0.96,0.01,0.0,0.0,0.0,0.0,0,38660.0
22,9,289,10913,0,1,16,0.0,0.0,1.0,0.0,0.0,16,255,1.0,0.0,0.01,0.0,0.0,0.0,0,13181.0
13,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,129,1.0,0.0,0.26,0.0,0.0,0.0,1,38554.0
15,5,0,0,0,0,134,1.0,1.0,0.01,0.06,0.0,255,1,0.0,0.07,0.0,1.0,1.0,0.0,1,56936.0
13,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,35,1.0,0.0,0.51,0.0,0.0,0.0,1,51080.0
11,9,42,42,0,0,6,0.0,0.0,1.0,0.0,0.22,70,67,0.96,0.04,0.0,0.0,0.0,0.0,0,66703.0
55,9,555,11235,0,1,1,0.0,0.0,1.0,0.0,0.0,98,8,0.07,0.73,0.25,0.01,0.12,0.25,0,69938.0
22,9,224,10861,0,1,13,0.0,0.0,1.0,0.0,0.0,51,255,1.0,0.0,0.01,0.0,0.0,0.0,0,92708.0
41,9,145,105,0,0,1,0.0,0.0,1.0,0.0,0.0,255,2,0.01,0.63,0.0,0.0,0.0,0.0,0,106663.0
25,5,0,0,0,0,271,1.0,1.0,0.05,0.06,0.0,255,14,0.05,0.06,0.0,1.0,1.0,0.0,1,1537.0
22,9,332,279,0,1,2,0.0,0.0,1.0,0.0,0.0,255,251,0.98,0.01,0.0,0.0,0.0,0.0,0,42914.0
19,9,7940,0,0,0,10,0.0,0.0,1.0,0.0,0.0,46,58,0.48,0.09,0.03,0.0,0.0,0.0,0,101428.0
22,9,291,375,0,1,4,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,1730.0
45,5,0,0,0,0,111,1.0,1.0,0.14,0.05,0.0,255,3,0.01,0.06,0.0,1.0,1.0,0.0,1,75621.0
18,9,270,909,0,1,1,0.0,0.0,1.0,0.0,0.0,90,39,0.43,0.07,0.0,0.0,0.0,0.0,0,102521.0
41,9,146,105,0,0,1,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.66,0.0,0.0,0.0,0.0,0,115806.0
19,9,6932,0,0,1,2,0.0,0.0,1.0,0.0,0.67,255,73,0.29,0.02,0.0,0.0,0.0,0.0,0,97329.0
17,5,0,0,0,0,258,1.0,1.0,0.03,0.06,0.0,255,7,0.03,0.06,0.0,1.0,1.0,0.0,1,11488.0
22,9,219,283,0,1,21,0.0,0.0,1.0,0.0,0.0,21,255,1.0,0.0,0.03,0.0,0.0,0.0,0,17097.0
55,9,372,258229,0,1,1,0.0,0.0,1.0,0.0,0.0,1,2,1.0,0.0,1.0,0.0,0.0,0.0,0,84875.0
45,5,0,0,0,0,192,1.0,1.0,0.02,0.06,0.0,255,6,0.02,0.07,0.0,1.0,1.0,0.0,1,2282.0
14,9,1032,0,0,0,509,0.0,0.0,1.0,0.0,0.0,255,151,0.59,0.17,0.0,0.0,0.0,0.0,1,112361.0
22,1,0,0,0,0,2,0.0,0.0,1.0,0.0,0.0,186,255,1.0,0.0,0.07,0.0,0.0,0.53,0,25578.0
22,9,209,683,0,1,17,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,97199.0
13,9,8,0,0,0,46,0.0,0.0,0.02,0.04,1.0,4,28,1.0,0.0,0.25,0.0,0.0,0.0,1,10661.0
19,9,0,7153,0,0,3,0.0,0.0,0.33,1.0,0.15,255,89,0.35,0.03,0.0,0.01,0.02,0.0,0,56859.0
45,1,0,0,0,0,2,0.0,0.0,0.5,1.0,0.0,255,1,0.0,0.41,0.0,0.0,0.0,1.0,1,93450.0
45,1,0,0,0,0,195,0.0,0.0,0.1,0.06,0.0,255,20,0.08,0.08,0.0,0.0,0.0,1.0,1,109111.0
22,9,241,2429,0,1,4,0.0,0.0,1.0,0.0,0.0,44,255,1.0,0.0,0.04,0.0,0.0,0.0,0,82961.0
52,5,0,0,0,0,143,1.0,1.0,0.1,0.06,0.0,255,8,0.03,0.06,0.0,1.0,1.0,0.0,1,49772.0
22,5,0,0,0,0,50,1.0,1.0,0.3,0.08,0.0,212,55,0.26,0.02,0.0,0.99,1.0,0.0,1,111191.0
22,5,0,0,0,0,15,0.93,1.0,0.93,0.13,0.0,255,15,0.06,0.06,0.0,1.0,1.0,0.0,1,8648.0
45,1,0,0,0,0,87,0.0,0.0,0.13,0.08,0.0,255,11,0.04,0.07,0.0,0.0,0.0,1.0,1,73951.0
19,9,190,0,0,0,2,0.0,0.0,1.0,0.0,0.0,27,6,0.22,0.07,0.0,0.0,0.0,0.0,0,112858.0
4,1,0,0,0,0,279,0.0,0.0,0.04,0.06,0.0,255,12,0.05,0.07,0.0,0.0,0.0,1.0,1,121817.0
22,9,202,692,0,1,13,0.08,0.03,1.0,0.0,0.1,60,255,1.0,0.0,0.05,0.02,0.01,0.0,0,30129.0
22,1,0,0,0,0,1,0.0,0.0,1.0,0.0,1.0,86,255,1.0,0.0,0.13,0.0,0.01,0.99,0,83645.0
2,5,0,0,0,0,245,1.0,1.0,0.09,0.05,0.0,255,21,0.08,0.06,0.0,1.0,1.0,0.0,1,27286.0
45,9,105,146,0,0,6,0.0,0.0,0.17,0.33,0.0,255,241,0.95,0.01,0.0,0.0,0.0,0.0,0,71974.0
45,5,0,0,0,0,168,1.0,1.0,0.14,0.05,0.0,255,24,0.09,0.05,0.0,1.0,1.0,0.0,1,78060.0
11,9,45,78,0,0,212,0.0,0.0,1.0,0.01,0.01,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0,77969.0
22,9,294,12909,0,1,13,0.0,0.0,1.0,0.0,0.13,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,30543.0
13,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,105,1.0,0.0,0.5,0.0,0.0,0.0,1,56819.0
11,9,44,44,0,0,5,0.0,0.0,1.0,0.0,0.25,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,125464.0
49,9,1684,282,0,1,1,0.0,0.0,1.0,0.0,0.0,15,164,0.67,0.27,0.01,0.0,0.02,0.0,0,51185.0
55,2,0,15,0,0,1,0.0,0.0,1.0,0.0,0.0,227,2,0.0,0.03,1.0,0.0,0.0,0.5,0,1571.0
38,1,0,0,0,0,116,0.0,0.0,0.09,0.07,0.0,255,10,0.04,0.07,0.0,0.0,0.0,1.0,1,2662.0
45,1,0,0,0,0,81,0.0,0.0,0.1,0.07,0.0,255,8,0.03,0.07,0.0,0.0,0.0,1.0,1,76073.0
41,9,1,0,0,0,2,0.0,0.0,1.0,0.0,0.0,255,2,0.01,0.2,0.0,0.0,0.0,0.0,1,53872.0
18,9,293,903,0,1,1,0.0,0.0,1.0,0.0,0.0,59,23,0.39,0.07,0.0,0.0,0.0,0.0,0,55551.0
22,9,205,12615,0,1,8,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,105377.0
45,10,0,0,0,0,1,1.0,1.0,1.0,0.0,0.0,129,1,0.01,0.92,0.0,0.94,1.0,0.0,1,4764.0
11,9,45,132,0,0,2,0.0,0.0,1.0,0.0,0.12,77,27,0.35,0.03,0.0,0.0,0.0,0.0,0,95273.0
45,5,0,0,0,0,262,1.0,1.0,0.02,0.06,0.0,255,6,0.02,0.08,0.0,1.0,1.0,0.0,1,72926.0
14,9,520,0,0,0,102,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,1,104065.0
45,9,105,145,0,0,4,0.0,0.0,0.25,0.5,0.0,255,241,0.95,0.01,0.0,0.0,0.0,0.0,0,125457.0
49,9,1324,330,0,1,1,0.0,0.0,1.0,0.0,1.0,70,137,0.36,0.1,0.01,0.0,0.0,0.0,0,54169.0
63,1,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,24,2,0.04,1.0,1.0,0.0,0.0,1.0,1,110073.0
22,9,144,50154,0,1,1,0.0,0.0,1.0,0.0,0.67,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,67175.0
22,9,340,2118,0,1,7,0.0,0.0,1.0,0.0,0.0,40,255,1.0,0.0,0.03,0.0,0.0,0.0,0,110469.0
45,5,0,0,0,0,224,1.0,1.0,0.0,0.07,0.0,255,1,0.0,0.06,0.0,1.0,1.0,0.0,1,121927.0
22,5,0,0,0,0,214,1.0,1.0,0.01,0.07,0.0,255,3,0.01,0.07,0.0,1.0,1.0,0.0,1,43750.0
22,9,229,303,0,1,14,0.0,0.0,1.0,0.0,0.0,40,255,1.0,0.0,0.05,0.0,0.0,0.0,0,85221.0
49,9,1122,323,0,1,1,0.0,0.0,1.0,0.0,1.0,255,94,0.37,0.03,0.0,0.0,0.0,0.0,0,35935.0
22,9,352,6207,0,1,7,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,83663.0
49,9,1233,335,0,1,1,0.0,0.0,1.0,0.0,0.0,108,125,0.78,0.03,0.02,0.0,0.0,0.0,0,65597.0
45,5,0,0,0,0,286,1.0,1.0,0.02,0.06,0.0,255,7,0.03,0.06,0.0,1.0,1.0,0.0,1,37965.0
22,9,284,281,0,1,2,0.0,0.0,1.0,0.0,0.5,38,255,1.0,0.0,0.01,0.0,0.0,0.0,0,89083.0
63,5,0,0,0,0,286,1.0,1.0,0.01,0.05,0.0,255,2,0.01,0.05,0.0,1.0,1.0,0.0,1,119621.0
49,9,1732,333,0,1,1,0.0,0.0,1.0,0.0,1.0,255,134,0.53,0.02,0.0,0.0,0.0,0.0,0,76026.0
22,9,248,474,0,1,9,0.0,0.0,1.0,0.0,0.0,216,255,1.0,0.0,0.02,0.0,0.0,0.0,0,70331.0
45,5,0,0,0,0,144,1.0,1.0,0.03,0.06,0.0,255,5,0.02,0.05,0.0,1.0,1.0,0.0,1,52533.0
22,9,218,2073,0,1,13,0.0,0.0,1.0,0.0,0.0,45,255,1.0,0.0,0.05,0.0,0.0,0.0,0,113715.0
52,5,0,0,0,0,163,1.0,1.0,0.02,0.07,0.0,255,4,0.02,0.08,0.0,1.0,1.0,0.0,1,31076.0
22,1,0,0,0,0,1,0.0,0.0,1.0,0.0,1.0,44,219,1.0,0.0,0.18,0.0,0.0,0.94,0,38874.0
45,5,0,0,0,0,25,1.0,1.0,0.04,0.16,0.0,255,14,0.05,0.07,0.0,1.0,1.0,0.0,1,66616.0
22,9,308,1821,0,1,2,0.0,0.0,1.0,0.0,0.0,164,255,1.0,0.0,0.02,0.0,0.0,0.0,0,83784.0
19,9,192,0,0,1,2,0.0,0.0,1.0,0.0,0.0,5,66,0.8,0.4,0.03,0.0,0.0,0.0,0,46722.0
19,9,7321,0,0,1,1,0.0,0.0,1.0,0.0,0.0,42,58,0.07,0.12,0.05,0.0,0.0,0.0,0,4729.0
11,9,42,75,0,0,244,0.0,0.0,1.0,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0,80197.0
45,5,0,0,0,0,39,1.0,1.0,0.03,0.13,0.0,255,10,0.04,0.07,0.0,1.0,1.0,0.0,1,94001.0
45,5,0,0,0,0,125,1.0,1.0,0.15,0.06,0.0,255,7,0.03,0.07,0.0,1.0,1.0,0.0,1,106424.0
22,9,325,453,0,1,17,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,96852.0
22,9,301,456,0,1,6,0.0,0.0,1.0,0.0,0.0,13,255,1.0,0.0,0.06,0.0,0.0,0.0,0,100492.0
22,9,208,468,0,1,3,0.33,0.25,1.0,0.0,0.5,45,255,1.0,0.0,0.02,0.02,0.02,0.0,0,9233.0
45,5,0,0,0,0,299,1.0,1.0,0.05,0.05,0.0,255,1,0.0,0.08,0.0,1.0,1.0,0.0,1,63372.0
45,1,0,0,0,0,159,0.0,0.0,0.01,0.08,0.0,255,2,0.01,0.07,0.0,0.0,0.0,1.0,1,7642.0
45,5,0,0,0,0,101,1.0,1.0,0.02,0.06,0.0,255,5,0.02,0.07,0.0,1.0,1.0,0.0,1,50070.0
22,9,219,6374,0,1,3,0.0,0.0,1.0,0.0,0.0,22,255,1.0,0.0,0.02,0.05,0.0,0.0,0,121321.0
22,9,215,2599,0,1,1,0.0,0.0,1.0,0.0,0.75,34,255,1.0,0.0,0.02,0.0,0.01,0.0,0,58460.0
34,5,0,0,0,0,281,1.0,1.0,0.07,0.05,0.0,255,3,0.01,0.07,0.0,1.0,1.0,0.0,1,83914.0
45,5,0,0,0,0,116,1.0,1.0,0.05,0.05,0.0,255,6,0.02,0.05,0.0,1.0,1.0,0.0,1,111757.0
45,5,0,0,0,0,87,1.0,1.0,0.16,0.07,0.0,255,5,0.02,0.07,0.0,1.0,1.0,0.0,1,89160.0
41,9,147,105,0,0,5,0.0,0.0,0.2,0.6,0.0,255,1,0.0,0.47,0.0,0.0,0.0,0.0,0,81458.0
22,9,285,247,0,1,3,0.0,0.0,1.0,0.0,0.25,26,255,1.0,0.0,0.01,0.0,0.0,0.0,0,57914.0
13,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,2,255,1.0,0.0,0.5,0.0,0.0,0.0,1,55730.0
17,9,7,147,0,0,1,0.0,0.0,1.0,0.0,0.0,255,43,0.17,0.02,0.0,0.61,0.88,0.0,0,26203.0
17,5,0,0,0,0,39,1.0,1.0,0.51,0.05,0.0,255,75,0.29,0.02,0.0,1.0,1.0,0.0,1,9730.0
11,9,44,133,0,0,89,0.0,0.0,1.0,0.0,0.01,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,21390.0
12,5,0,0,0,0,237,1.0,1.0,0.01,0.06,0.0,255,2,0.01,0.07,0.0,1.0,1.0,0.0,1,49166.0
49,9,2017,487,0,1,1,0.0,0.0,1.0,0.0,0.0,255,77,0.3,0.05,0.0,0.44,0.0,0.0,0,43742.0
45,5,0,0,0,0,180,1.0,1.0,0.02,0.05,0.0,255,4,0.02,0.05,0.0,1.0,1.0,0.0,1,68344.0
22,9,279,602,0,1,26,0.0,0.0,1.0,0.0,0.07,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,12637.0
45,1,0,0,0,0,122,0.0,0.0,0.02,0.08,0.0,255,3,0.01,0.07,0.0,0.0,0.0,1.0,1,18504.0
22,9,277,11830,0,1,2,0.0,0.0,1.0,0.0,0.36,4,255,1.0,0.0,0.01,0.0,0.0,0.0,0,1685.0
11,9,45,78,0,0,3,0.0,0.0,1.0,0.0,0.0,247,226,0.91,0.01,0.0,0.0,0.0,0.0,0,96809.0
45,5,0,0,0,0,133,1.0,1.0,0.04,0.06,0.0,255,16,0.06,0.07,0.0,1.0,1.0,0.0,1,27133.0
13,9,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,20,1.0,0.0,0.55,0.0,0.0,0.0,1,39929.0
4,5,0,0,0,0,255,1.0,1.0,0.04,0.05,0.0,255,9,0.04,0.05,0.0,1.0,1.0,0.0,1,35064.0
22,9,347,2313,0,1,18,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,93480.0
