duration,protocol_type,service,flag,src_bytes,dst_bytes,wrong_fragment,hot,logged_in,num_compromised,su_attempted,num_root,num_access_files,count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
0,1,20,6,456980,0,0,0,1,0,0,0,0,2,0.5,0.5,0.0,0.0,1.0,0.0,0.0,62,50,0.1,0.05,0.1,0.04,0.02,0.06,0.0,0,12518.0
0,1,63,1,0,0,0,0,0,0,0,0,0,245,0.0,0.0,1.0,1.0,0.02,0.07,0.0,255,5,0.02,0.09,0.0,0.0,0.0,0.0,1.0,1,73165.0
7,1,23,9,177,1531,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,225,0.88,0.02,0.0,0.0,0.0,0.0,0.0,0,40289.0
1,1,46,3,0,0,0,0,0,0,0,0,0,224,0.63,0.5,0.37,0.5,0.01,0.42,0.0,255,2,0.01,0.37,0.88,0.0,0.56,0.5,0.5,1,55548.0
0,2,12,9,45,127,0,0,0,0,0,0,0,315,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0,74813.0
0,0,15,9,1032,0,0,0,0,0,0,0,0,36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,73195.0
0,1,43,1,0,0,0,0,0,0,0,0,0,2,0.0,0.0,1.0,1.0,0.5,1.0,0.0,255,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,84888.0
0,1,42,1,0,0,0,0,0,0,0,0,0,451,0.08,0.0,0.9,1.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.0,0.08,0.0,1.0,1,119726.0
0,1,16,5,0,0,0,0,0,0,0,0,0,123,1.0,1.0,0.0,0.0,0.03,0.06,0.0,255,17,0.07,0.07,0.0,0.0,1.0,1.0,0.0,1,27307.0
0,2,12,9,43,130,0,0,0,0,0,0,0,68,0.0,0.0,0.0,0.0,1.0,0.0,0.01,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0,6835.0
0,1,56,5,0,0,0,0,0,0,0,0,0,77,1.0,1.0,0.0,0.0,0.26,0.05,0.0,255,60,0.24,0.03,0.01,0.0,1.0,1.0,0.0,1,67382.0
0,1,23,9,317,3659,0,0,1,0,0,0,0,17,0.0,0.0,0.0,0.0,1.0,0.0,0.09,56,255,1.0,0.0,0.02,0.06,0.0,0.0,0.0,0,62284.0
0,2,46,9,1,0,0,0,0,0,0,0,0,23,0.0,0.0,0.0,0.0,0.26,0.17,0.0,255,20,0.08,0.16,0.48,0.0,0.0,0.0,0.0,1,65731.0
0,1,23,9,203,454,0,0,1,0,0,0,0,13,0.0,0.0,0.0,0.04,1.0,0.0,0.08,13,255,1.0,0.0,0.08,0.05,0.0,0.0,0.01,0,13969.0
0,1,46,5,0,0,0,0,0,0,0,0,0,261,1.0,1.0,0.0,0.0,0.0,0.06,0.0,255,1,0.0,0.07,0.0,0.0,1.0,1.0,0.0,1,39874.0
0,1,46,5,0,0,0,0,0,0,0,0,0,254,1.0,1.0,0.0,0.0,0.07,0.05,0.0,255,17,0.07,0.06,0.0,0.0,1.0,1.0,0.0,1,319.0
0,1,54,5,0,0,0,0,0,0,0,0,0,108,1.0,1.0,0.0,0.0,0.11,0.06,0.0,255,12,0.05,0.05,0.0,0.0,1.0,1.0,0.0,1,73018.0
0,1,4,5,0,0,0,0,0,0,0,0,0,267,1.0,1.0,0.0,0.0,0.07,0.06,0.0,255,19,0.07,0.07,0.0,0.0,1.0,1.0,0.0,1,62357.0
0,1,17,5,0,0,0,0,0,0,0,0,0,115,1.0,1.0,0.0,0.0,0.17,0.06,0.0,255,19,0.07,0.08,0.0,0.0,1.0,1.0,0.0,1,122788.0
0,1,23,9,210,14424,0,0,1,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.67,24,255,1.0,0.0,0.04,0.04,0.0,0.01,0.0,0,100344.0
0,1,23,9,224,13572,0,0,1,0,0,0,0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,255,1.0,0.0,0.05,0.03,0.0,0.01,0.0,0,41154.0
0,2,42,9,1,0,0,0,0,0,0,0,0,14,0.0,0.0,0.0,0.0,0.07,0.64,0.0,255,1,0.0,0.3,0.83,0.0,0.0,0.0,0.0,1,73923.0
0,1,23,9,182,7086,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26,255,1.0,0.0,0.04,0.04,0.04,0.0,0.04,0,114212.0
0,1,46,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,37,2,0.03,1.0,0.03,1.0,0.0,0.0,1.0,1,23300.0
