duration,protocol_type,service,flag,src_bytes,dst_bytes,wrong_fragment,hot,logged_in,num_compromised,su_attempted,num_root,num_access_files,count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
0,1,23,5,0,0,0,0,0,0,0,0,0,112,1.0,1.0,0.0,0.0,0.16,0.05,0.0,255,17,0.07,0.07,0.0,0.0,1.0,1.0,0.0,1,8725.0
0,2,11,9,46,46,0,0,0,0,0,0,0,193,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36986.0
0,1,22,9,335,6357,0,0,1,0,0,0,0,9,0.0,0.0,0.0,0.0,1.0,0.0,0.25,21,255,1.0,0.0,0.05,0.01,0.0,0.0,0.0,0,56889.0
8380,2,40,9,146,105,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.25,0.75,0.0,255,1,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0,64833.0
0,2,11,9,44,44,0,0,0,0,0,0,0,154,0.0,0.0,0.0,0.0,1.0,0.0,0.02,255,254,1.0,0.01,0.01,0.0,0.0,0.0,0.0,0,56365.0
0,1,45,2,0,0,0,0,0,0,0,0,0,256,0.0,0.0,1.0,1.0,0.01,0.07,0.0,255,3,0.01,0.07,0.0,0.0,0.0,0.0,1.0,1,18292.0
0,2,11,9,24,24,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,255,249,0.98,0.01,0.0,0.0,0.0,0.0,0.0,0,8477.0
0,0,60,9,182,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.5,1.0,0.0,255,37,0.15,0.01,0.16,0.0,0.0,0.0,0.0,0,81600.0
0,1,22,9,229,258,0,0,1,0,0,0,0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,87631.0
0,0,13,9,30,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.5,1.0,1.0,109,108,0.02,0.03,0.16,0.5,0.0,0.0,0.0,0,99786.0
0,0,13,9,18,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,113,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,9113.0
0,2,40,9,145,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.33,0.67,0.0,255,1,0.0,0.31,0.67,0.0,0.0,0.0,0.0,0,62754.0
0,1,45,5,0,0,0,0,0,0,0,0,0,247,1.0,1.0,0.0,0.0,0.01,0.06,0.0,255,13,0.05,0.08,0.0,0.0,1.0,1.0,0.0,1,40654.0
0,1,45,1,0,0,0,0,0,0,0,0,0,381,0.06,0.0,0.92,1.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.0,0.09,0.0,1.0,1,111046.0
0,1,30,5,0,0,0,0,0,0,0,0,0,137,1.0,1.0,0.0,0.0,0.01,0.07,0.0,255,2,0.01,0.07,0.0,0.0,1.0,1.0,0.0,1,97629.0
0,1,5,5,0,0,0,0,0,0,0,0,0,119,1.0,1.0,0.0,0.0,0.13,0.06,0.0,255,15,0.06,0.05,0.0,0.0,1.0,1.0,0.0,1,9635.0
0,1,33,5,0,0,0,0,0,0,0,0,0,249,1.0,1.0,0.0,0.0,0.01,0.06,0.0,255,3,0.01,0.05,0.0,0.0,1.0,1.0,0.0,1,12727.0
0,1,22,9,310,1159,0,0,1,0,0,0,0,18,0.0,0.0,0.0,0.0,1.0,0.0,0.1,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,103199.0
0,1,22,9,186,2958,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,179,255,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0,6202.0
0,1,22,9,177,17981,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,91431.0
0,2,45,9,1,0,0,0,0,0,0,0,0,34,0.0,0.0,0.0,0.0,0.12,0.09,0.0,255,25,0.1,0.6,0.45,0.0,0.05,0.0,0.0,1,74394.0
0,2,11,9,44,72,0,0,0,0,0,0,0,275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0,33763.0
0,1,19,9,334,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,22,1.0,0.0,1.0,0.14,0.0,0.0,0.0,1,717.0
0,1,22,9,218,10231,0,0,1,0,0,0,0,24,0.0,0.0,0.0,0.0,1.0,0.0,0.11,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,29680.0
0,1,64,5,0,0,0,0,0,0,0,0,0,285,1.0,1.0,0.0,0.0,0.07,0.06,0.0,255,20,0.08,0.08,0.0,0.0,1.0,1.0,0.0,1,103516.0
0,1,45,5,0,0,0,0,0,0,0,0,0,207,1.0,1.0,0.0,0.0,0.02,0.06,0.0,255,6,0.02,0.09,0.0,0.0,1.0,1.0,0.0,1,112416.0
0,1,19,9,567,0,0,0,1,0,0,6,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,73,25,0.21,0.07,0.21,0.08,0.0,0.0,0.0,0,27805.0
0,1,50,9,1274,331,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,80,146,0.45,0.09,0.01,0.01,0.0,0.0,0.0,0,112050.0
0,1,20,5,0,0,0,0,0,0,0,0,0,168,1.0,1.0,0.0,0.0,0.01,0.07,0.0,255,2,0.01,0.06,0.0,0.0,1.0,1.0,0.0,1,1471.0
0,1,20,1,0,0,0,0,0,0,0,0,0,112,0.0,0.0,1.0,1.0,0.17,0.05,0.0,255,19,0.07,0.08,0.0,0.0,0.0,0.0,1.0,1,33465.0
0,1,22,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,10,24,1.0,0.0,0.1,0.29,0.0,0.0,1.0,0,40837.0
0,1,45,5,0,0,0,0,0,0,0,0,0,69,1.0,1.0,0.0,0.0,0.14,0.07,0.0,219,10,0.05,0.06,0.0,0.0,1.0,1.0,0.0,1,74275.0
0,1,18,5,0,0,0,0,0,0,0,0,0,258,1.0,1.0,0.0,0.0,0.02,0.07,0.0,255,6,0.02,0.07,0.0,0.0,1.0,1.0,0.0,1,106073.0
0,1,40,1,0,0,0,0,0,0,0,0,0,510,0.2,0.0,0.8,1.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.0,0.16,0.0,1.0,1,1800.0
0,1,45,5,0,0,0,0,0,0,0,0,0,240,0.58,1.0,0.0,0.0,0.04,0.04,0.0,255,11,0.04,0.05,0.0,0.0,1.0,1.0,0.0,1,97495.0
0,1,19,9,7233,0,0,0,1,0,0,0,0,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,54,103,0.37,0.09,0.37,0.02,0.0,0.0,0.0,0,17705.0
1,1,50,9,961,327,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,154,194,0.78,0.03,0.01,0.01,0.0,0.0,0.0,0,87990.0
0,1,45,5,0,0,0,0,0,0,0,0,0,145,1.0,1.0,0.0,0.0,0.06,0.06,0.0,255,8,0.03,0.08,0.0,0.0,1.0,1.0,0.0,1,40042.0
0,1,22,9,220,868,0,0,1,0,0,0,0,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90482.0
0,1,22,9,287,2168,0,0,1,0,0,0,0,16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0,70289.0
0,1,22,9,281,15486,0,0,1,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,87,255,1.0,0.0,0.01,0.05,0.0,0.0,0.0,0,98584.0
0,1,22,9,327,976,0,0,1,0,0,0,0,7,0.0,0.0,0.0,0.0,1.0,0.0,0.08,17,255,1.0,0.0,0.06,0.03,0.0,0.0,0.0,0,60116.0
0,1,22,9,314,274,0,0,1,0,0,0,0,30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47231.0
0,1,18,5,0,0,0,0,0,0,0,0,0,243,1.0,1.0,0.0,0.0,0.04,0.06,0.0,255,9,0.04,0.06,0.0,0.0,1.0,1.0,0.0,1,98257.0
0,1,22,9,232,2778,0,0,1,0,0,0,0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21,255,1.0,0.0,0.05,0.02,0.0,0.0,0.0,0,111275.0
0,1,45,5,0,0,0,0,0,0,0,0,0,192,1.0,1.0,0.0,0.0,0.01,0.06,0.0,255,15,0.06,0.07,0.0,0.0,1.0,1.0,0.0,1,100619.0
0,1,16,2,0,0,0,0,0,0,0,0,0,102,0.0,0.0,1.0,1.0,0.09,0.07,0.0,255,9,0.04,0.06,0.0,0.0,0.0,0.0,1.0,1,108785.0
0,1,22,9,333,5726,0,0,1,0,0,0,0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,99,255,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0,7079.0
