protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1.0,19.0,9.0,10044.0,0.0,0.0,0.0,23825.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,37626.0
1.0,23.0,9.0,54540.0,8314.0,0.0,1.0,59585.0
1.0,19.0,9.0,5319.0,0.0,0.0,0.0,16233.0
1.0,19.0,9.0,71.0,0.0,0.0,0.0,109869.0
1.0,19.0,9.0,5929.0,0.0,0.0,0.0,66741.0
1.0,23.0,9.0,54540.0,8314.0,0.0,1.0,36860.0
0.0,58.0,9.0,78.0,0.0,0.0,0.0,14957.0
1.0,23.0,9.0,54540.0,8314.0,0.0,1.0,55941.0
0.0,14.0,9.0,520.0,0.0,0.0,1.0,42312.0
1.0,23.0,9.0,54540.0,8314.0,0.0,1.0,75481.0
2.0,41.0,9.0,516.0,4.0,0.0,0.0,72481.0
1.0,24.0,5.0,0.0,0.0,0.0,1.0,63058.0
2.0,41.0,9.0,516.0,4.0,0.0,0.0,11307.0
1.0,49.0,9.0,11226.0,1551.0,0.0,0.0,72121.0
1.0,19.0,9.0,1830.0,0.0,0.0,0.0,59942.0
2.0,41.0,9.0,147.0,0.0,0.0,0.0,90048.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,63931.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,67989.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,97607.0
1.0,19.0,9.0,12.0,0.0,0.0,0.0,71160.0
1.0,19.0,9.0,5336.0,0.0,0.0,0.0,125396.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,89567.0
1.0,49.0,9.0,2656.0,330.0,0.0,0.0,56147.0
1.0,56.0,9.0,0.0,4.0,0.0,0.0,58080.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,27381.0
2.0,45.0,9.0,105.0,0.0,0.0,0.0,49395.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,315.0
1.0,49.0,9.0,2754.0,332.0,0.0,0.0,80837.0
0.0,14.0,9.0,1480.0,0.0,0.0,1.0,39859.0
1.0,19.0,9.0,334.0,0.0,0.0,1.0,18379.0
1.0,19.0,9.0,12.0,0.0,0.0,0.0,53579.0
1.0,41.0,9.0,10073.0,0.0,0.0,0.0,61645.0
1.0,24.0,5.0,0.0,0.0,0.0,1.0,2433.0
0.0,58.0,9.0,78.0,0.0,0.0,0.0,82574.0
1.0,51.0,2.0,6.0,15.0,0.0,1.0,73093.0
0.0,14.0,9.0,520.0,0.0,0.0,1.0,118047.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,51136.0
1.0,19.0,9.0,1699.0,0.0,0.0,0.0,97871.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,84539.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,78931.0
1.0,19.0,9.0,5558.0,0.0,0.0,0.0,35989.0
1.0,19.0,9.0,8737.0,0.0,0.0,0.0,77628.0
1.0,19.0,9.0,501760.0,0.0,0.0,0.0,34011.0
1.0,19.0,9.0,501760.0,0.0,0.0,0.0,46299.0
1.0,19.0,9.0,1874.0,0.0,0.0,0.0,78163.0
1.0,19.0,9.0,4539.0,0.0,0.0,0.0,20179.0
1.0,55.0,2.0,0.0,15.0,0.0,1.0,111534.0
1.0,19.0,9.0,749.0,0.0,0.0,0.0,15036.0
2.0,11.0,9.0,102.0,0.0,0.0,0.0,18865.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,87288.0
1.0,23.0,9.0,54540.0,8314.0,0.0,1.0,102971.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,100794.0
1.0,19.0,9.0,641.0,0.0,0.0,0.0,74827.0
1.0,19.0,9.0,12.0,0.0,0.0,0.0,77266.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,69997.0
1.0,19.0,9.0,2194619.0,0.0,0.0,0.0,103108.0
1.0,17.0,5.0,0.0,0.0,1.0,1.0,101543.0
1.0,19.0,9.0,373.0,0.0,0.0,0.0,24682.0
1.0,23.0,1.0,0.0,0.0,0.0,1.0,113916.0
0.0,13.0,9.0,30.0,0.0,0.0,0.0,88446.0
1.0,19.0,9.0,641.0,0.0,0.0,0.0,68615.0
0.0,14.0,9.0,1480.0,0.0,0.0,1.0,122376.0
1.0,24.0,1.0,0.0,0.0,0.0,1.0,87542.0
1.0,19.0,9.0,192.0,0.0,0.0,0.0,89924.0
1.0,19.0,9.0,501760.0,0.0,0.0,0.0,59344.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,124971.0
0.0,14.0,9.0,520.0,0.0,0.0,1.0,52354.0
1.0,19.0,9.0,334.0,0.0,0.0,1.0,118570.0
2.0,45.0,9.0,207.0,0.0,0.0,1.0,121787.0
0.0,14.0,9.0,30.0,0.0,0.0,0.0,11418.0
0.0,58.0,9.0,183.0,0.0,0.0,0.0,91136.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,47473.0
1.0,24.0,5.0,0.0,0.0,0.0,1.0,52581.0
1.0,19.0,9.0,5133876.0,0.0,0.0,1.0,105397.0
1.0,19.0,9.0,768.0,0.0,0.0,0.0,50226.0
1.0,23.0,2.0,0.0,0.0,0.0,0.0,50697.0
0.0,14.0,9.0,30.0,0.0,0.0,0.0,52593.0
0.0,13.0,9.0,30.0,0.0,0.0,0.0,22394.0
1.0,19.0,9.0,2194619.0,0.0,0.0,0.0,1244.0
1.0,24.0,5.0,0.0,0.0,0.0,1.0,23877.0
1.0,19.0,9.0,259.0,0.0,0.0,0.0,29879.0
1.0,41.0,9.0,88382.0,0.0,0.0,0.0,61212.0
1.0,19.0,9.0,748.0,0.0,0.0,0.0,36641.0
1.0,49.0,9.0,12910.0,1372.0,0.0,0.0,6677.0
2.0,11.0,9.0,33.0,0.0,0.0,0.0,24866.0
1.0,19.0,9.0,4892.0,0.0,0.0,0.0,38998.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,123605.0
1.0,19.0,9.0,7045.0,0.0,0.0,1.0,57359.0
0.0,14.0,9.0,1480.0,0.0,0.0,1.0,30503.0
1.0,24.0,5.0,0.0,0.0,0.0,1.0,78631.0
1.0,49.0,9.0,16438.0,324.0,0.0,0.0,69364.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,20627.0
0.0,13.0,9.0,30.0,0.0,0.0,0.0,109950.0
0.0,14.0,9.0,520.0,0.0,0.0,1.0,910.0
2.0,45.0,9.0,215.0,0.0,0.0,1.0,72323.0
1.0,19.0,9.0,175337.0,0.0,0.0,0.0,20787.0
1.0,19.0,9.0,7077.0,0.0,0.0,0.0,116291.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,55152.0
2.0,41.0,9.0,146.0,0.0,0.0,0.0,123029.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,35324.0
1.0,49.0,9.0,4532.0,374.0,0.0,0.0,55189.0
0.0,14.0,9.0,520.0,0.0,0.0,1.0,13141.0
2.0,41.0,9.0,147.0,0.0,0.0,0.0,113396.0
1.0,49.0,9.0,11070.0,922.0,0.0,0.0,3591.0
2.0,41.0,9.0,5.0,0.0,0.0,1.0,60408.0
1.0,56.0,9.0,0.0,4.0,0.0,0.0,11492.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,92021.0
1.0,19.0,9.0,10044.0,0.0,0.0,0.0,76672.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,92127.0
2.0,41.0,9.0,113.0,0.0,0.0,0.0,45059.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,36691.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,16346.0
1.0,19.0,9.0,749.0,0.0,0.0,0.0,13542.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,51520.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,116922.0
0.0,58.0,9.0,78.0,0.0,0.0,0.0,21909.0
1.0,41.0,9.0,3468.0,0.0,0.0,0.0,10612.0
