protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1.0,46.0,5.0,0.0,0.0,0.0,1.0,93272.0
1.0,23.0,9.0,253.0,327.0,0.0,0.0,54551.0
1.0,46.0,5.0,0.0,0.0,0.0,1.0,36559.0
0.0,15.0,9.0,1032.0,0.0,0.0,0.0,61545.0
1.0,18.0,5.0,0.0,0.0,0.0,1.0,53529.0
1.0,46.0,1.0,0.0,0.0,0.0,1.0,39315.0
1.0,23.0,9.0,284.0,810.0,0.0,0.0,34983.0
1.0,4.0,5.0,0.0,0.0,0.0,1.0,99801.0
1.0,46.0,5.0,0.0,0.0,0.0,1.0,20027.0
0.0,14.0,9.0,8.0,0.0,0.0,1.0,115347.0
2.0,12.0,9.0,45.0,139.0,0.0,0.0,9801.0
1.0,46.0,5.0,0.0,0.0,0.0,1.0,83516.0
1.0,51.0,9.0,933.0,344.0,0.0,0.0,9590.0
0.0,14.0,9.0,30.0,0.0,0.0,0.0,56822.0
1.0,51.0,9.0,1696.0,364.0,0.0,0.0,119400.0
1.0,41.0,1.0,0.0,0.0,0.0,1.0,101136.0
1.0,46.0,5.0,0.0,0.0,0.0,1.0,79598.0
1.0,23.0,9.0,208.0,759.0,0.0,0.0,91245.0
1.0,46.0,5.0,0.0,0.0,0.0,1.0,54380.0
1.0,51.0,9.0,769.0,330.0,0.0,0.0,74285.0
1.0,46.0,1.0,0.0,0.0,0.0,1.0,25361.0
1.0,16.0,5.0,0.0,0.0,0.0,1.0,123443.0
1.0,18.0,5.0,0.0,0.0,0.0,1.0,104475.0
1.0,51.0,9.0,631.0,326.0,0.0,0.0,94696.0
2.0,12.0,9.0,42.0,73.0,0.0,0.0,25369.0
1.0,20.0,9.0,768.0,0.0,0.0,0.0,93219.0
1.0,46.0,5.0,0.0,0.0,0.0,1.0,114186.0
2.0,12.0,9.0,46.0,78.0,0.0,0.0,29220.0
1.0,25.0,5.0,0.0,0.0,0.0,1.0,60865.0
1.0,51.0,9.0,1125.0,386.0,0.0,0.0,8849.0
1.0,51.0,9.0,1502.0,333.0,0.0,0.0,100385.0
1.0,23.0,9.0,309.0,676.0,0.0,0.0,38203.0
2.0,46.0,9.0,207.0,0.0,0.0,0.0,64852.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,25238.0
1.0,23.0,9.0,305.0,715.0,0.0,0.0,63254.0
2.0,12.0,9.0,46.0,75.0,0.0,0.0,80914.0
1.0,16.0,5.0,0.0,0.0,0.0,1.0,71324.0
1.0,20.0,9.0,12165.0,0.0,0.0,0.0,78812.0
1.0,55.0,5.0,0.0,0.0,0.0,1.0,6101.0
2.0,12.0,9.0,43.0,43.0,0.0,0.0,94102.0
1.0,16.0,5.0,0.0,0.0,0.0,1.0,14762.0
2.0,12.0,9.0,44.0,73.0,0.0,0.0,78687.0
1.0,19.0,9.0,1200.0,3380.0,0.0,0.0,37278.0
1.0,41.0,9.0,965.0,0.0,0.0,0.0,67342.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,34655.0
1.0,46.0,1.0,0.0,0.0,0.0,1.0,115281.0
1.0,46.0,5.0,0.0,0.0,0.0,1.0,60940.0
1.0,46.0,5.0,0.0,0.0,0.0,1.0,85052.0
0.0,14.0,9.0,8.0,0.0,0.0,1.0,86576.0
1.0,23.0,9.0,222.0,392.0,0.0,0.0,50052.0
1.0,2.0,5.0,0.0,0.0,0.0,1.0,23116.0
1.0,46.0,5.0,0.0,0.0,0.0,1.0,26322.0
2.0,12.0,9.0,44.0,134.0,0.0,0.0,33514.0
