protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1.0,23.0,1.0,0.0,0.0,0.0,0.0,82326.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,29215.0
1.0,23.0,1.0,0.0,0.0,0.0,1.0,115114.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,94292.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,56018.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,92000.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,16353.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,90693.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,52530.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,2232.0
1.0,17.0,9.0,8.0,0.0,0.0,0.0,88983.0
1.0,57.0,2.0,0.0,15.0,0.0,1.0,18463.0
1.0,22.0,1.0,0.0,0.0,0.0,1.0,98463.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,96722.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,2237.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,72040.0
1.0,3.0,1.0,0.0,0.0,0.0,1.0,28047.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,111346.0
1.0,25.0,5.0,0.0,0.0,0.0,1.0,42952.0
0.0,13.0,9.0,18.0,0.0,0.0,1.0,65640.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,382.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,30641.0
0.0,13.0,9.0,18.0,0.0,0.0,1.0,86622.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,120887.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,48191.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,68639.0
1.0,23.0,5.0,0.0,0.0,0.0,0.0,94749.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,25401.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,51274.0
0.0,13.0,9.0,18.0,0.0,0.0,1.0,33260.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,11536.0
1.0,23.0,5.0,0.0,0.0,0.0,0.0,48933.0
0.0,14.0,9.0,20.0,0.0,0.0,1.0,27766.0
1.0,4.0,1.0,0.0,0.0,0.0,1.0,76888.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,23887.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,118536.0
0.0,13.0,9.0,18.0,0.0,0.0,1.0,32158.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,29760.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,117354.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,76286.0
1.0,2.0,1.0,0.0,0.0,0.0,1.0,53589.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,6768.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,79830.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,17786.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,71176.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,53971.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,91482.0
1.0,23.0,5.0,0.0,0.0,0.0,0.0,59776.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,42443.0
0.0,13.0,9.0,18.0,0.0,0.0,1.0,60833.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,347.0
1.0,22.0,5.0,0.0,0.0,0.0,1.0,28021.0
0.0,13.0,9.0,18.0,0.0,0.0,1.0,72457.0
1.0,5.0,1.0,0.0,0.0,0.0,1.0,54670.0
1.0,3.0,1.0,0.0,0.0,0.0,1.0,66643.0
1.0,3.0,1.0,0.0,0.0,0.0,1.0,121879.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,122937.0
1.0,51.0,9.0,0.0,84.0,0.0,1.0,110919.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,102320.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,67268.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,77810.0
0.0,13.0,9.0,18.0,0.0,0.0,1.0,86239.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,61529.0
1.0,23.0,1.0,0.0,0.0,0.0,1.0,65048.0
1.0,2.0,1.0,0.0,0.0,0.0,1.0,19965.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,123432.0
1.0,25.0,5.0,0.0,0.0,0.0,1.0,49016.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,25070.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,78126.0
1.0,5.0,1.0,0.0,0.0,0.0,1.0,114987.0
0.0,13.0,9.0,18.0,0.0,0.0,1.0,114864.0
1.0,22.0,1.0,0.0,0.0,0.0,1.0,42988.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,65470.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,46477.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,93526.0
1.0,4.0,1.0,0.0,0.0,0.0,1.0,84634.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,57057.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,89545.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,121806.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,88374.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,114535.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,61774.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,89523.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,30064.0
1.0,22.0,5.0,0.0,0.0,0.0,1.0,33803.0
1.0,3.0,1.0,0.0,0.0,0.0,1.0,52807.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,95906.0
1.0,3.0,1.0,0.0,0.0,0.0,1.0,68973.0
1.0,59.0,9.0,0.0,4.0,0.0,0.0,17138.0
1.0,25.0,5.0,0.0,0.0,0.0,1.0,125788.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,74669.0
1.0,22.0,1.0,0.0,0.0,0.0,1.0,103390.0
1.0,2.0,1.0,0.0,0.0,0.0,1.0,54262.0
1.0,17.0,9.0,10.0,0.0,0.0,0.0,95930.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,29380.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,45314.0
1.0,3.0,1.0,0.0,0.0,0.0,1.0,99895.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,89794.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,32555.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,75178.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,9613.0
1.0,23.0,1.0,0.0,0.0,0.0,1.0,27406.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,62416.0
1.0,23.0,1.0,0.0,0.0,0.0,1.0,35332.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,46587.0
1.0,17.0,9.0,8.0,0.0,0.0,0.0,55363.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,24906.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,65748.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,123509.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,98392.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,124175.0
1.0,23.0,5.0,0.0,0.0,0.0,0.0,8372.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,16470.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,3847.0
1.0,2.0,1.0,0.0,0.0,0.0,1.0,12215.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,71574.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,120061.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,39724.0
1.0,23.0,5.0,0.0,0.0,0.0,0.0,16232.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,56974.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,110346.0
1.0,3.0,1.0,0.0,0.0,0.0,1.0,48146.0
0.0,13.0,9.0,18.0,0.0,0.0,1.0,9113.0
1.0,3.0,1.0,0.0,0.0,0.0,1.0,77933.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,30209.0
0.0,13.0,9.0,18.0,0.0,0.0,1.0,103500.0
1.0,25.0,5.0,0.0,0.0,0.0,1.0,11966.0
1.0,22.0,1.0,0.0,0.0,0.0,1.0,35133.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,90702.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,69792.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,105525.0
1.0,24.0,1.0,0.0,0.0,0.0,1.0,45071.0
1.0,22.0,5.0,0.0,0.0,0.0,1.0,81962.0
1.0,17.0,9.0,9.0,0.0,0.0,0.0,98171.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,32051.0
1.0,2.0,1.0,0.0,0.0,0.0,1.0,82354.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,76878.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,94664.0
0.0,13.0,9.0,18.0,0.0,0.0,1.0,52286.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,74201.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,69259.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,83422.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,48759.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,74623.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,74028.0
0.0,13.0,9.0,20.0,0.0,0.0,1.0,11972.0
1.0,2.0,1.0,0.0,0.0,0.0,1.0,118464.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,107978.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,113344.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,97252.0
1.0,23.0,1.0,0.0,0.0,0.0,1.0,71143.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,33204.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,96480.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,51968.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,23715.0
1.0,22.0,1.0,0.0,0.0,0.0,1.0,33002.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,122973.0
1.0,5.0,1.0,0.0,0.0,0.0,1.0,88510.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,98438.0
1.0,23.0,5.0,0.0,0.0,0.0,0.0,100159.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,109883.0
1.0,4.0,1.0,0.0,0.0,0.0,1.0,96859.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,17166.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,95372.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,111994.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,19882.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,11070.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,106478.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,78804.0
1.0,18.0,9.0,6.0,109.0,0.0,1.0,95994.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,74534.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,32038.0
1.0,22.0,1.0,0.0,0.0,0.0,1.0,106106.0
1.0,25.0,5.0,0.0,0.0,0.0,1.0,104205.0
1.0,23.0,5.0,0.0,0.0,0.0,0.0,20800.0
1.0,22.0,1.0,0.0,0.0,0.0,1.0,59131.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,83328.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,90562.0
0.0,13.0,9.0,18.0,0.0,0.0,1.0,603.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,90973.0
