protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
0.0,15.0,9.0,1032.0,0.0,0.0,1.0,61545.0
0.0,14.0,9.0,30.0,0.0,0.0,0.0,56822.0
1.0,20.0,9.0,768.0,0.0,0.0,0.0,93219.0
2.0,46.0,9.0,207.0,0.0,0.0,1.0,64852.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,94025.0
1.0,20.0,9.0,12165.0,0.0,0.0,0.0,78812.0
1.0,41.0,9.0,965.0,0.0,0.0,0.0,67342.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,105719.0
0.0,15.0,9.0,520.0,0.0,0.0,1.0,89300.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,34084.0
0.0,14.0,9.0,30.0,0.0,0.0,0.0,72526.0
2.0,41.0,9.0,147.0,0.0,0.0,0.0,49971.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,106550.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,37114.0
0.0,14.0,9.0,64.0,0.0,0.0,0.0,37203.0
1.0,20.0,9.0,4316.0,0.0,0.0,0.0,26815.0
1.0,20.0,9.0,245.0,0.0,0.0,0.0,123072.0
0.0,61.0,9.0,181.0,0.0,0.0,0.0,93294.0
2.0,41.0,9.0,516.0,4.0,0.0,0.0,22024.0
1.0,20.0,9.0,12241.0,0.0,0.0,0.0,71368.0
1.0,20.0,9.0,26.0,0.0,0.0,0.0,90475.0
0.0,15.0,9.0,1032.0,0.0,0.0,1.0,31542.0
0.0,15.0,9.0,1032.0,0.0,0.0,1.0,79203.0
0.0,15.0,9.0,520.0,0.0,0.0,1.0,30079.0
1.0,20.0,9.0,10073.0,0.0,0.0,0.0,36023.0
0.0,15.0,9.0,1032.0,0.0,0.0,1.0,118174.0
1.0,20.0,9.0,383.0,0.0,0.0,0.0,102658.0
2.0,41.0,9.0,516.0,4.0,0.0,0.0,80524.0
1.0,20.0,9.0,641.0,0.0,0.0,0.0,21274.0
1.0,20.0,9.0,59.0,0.0,0.0,0.0,23697.0
1.0,41.0,9.0,10044.0,0.0,0.0,0.0,84274.0
2.0,41.0,9.0,145.0,0.0,0.0,0.0,100627.0
1.0,20.0,9.0,26.0,0.0,0.0,0.0,10895.0
1.0,20.0,9.0,832.0,0.0,0.0,1.0,34220.0
0.0,14.0,9.0,30.0,0.0,0.0,0.0,7797.0
1.0,20.0,9.0,12.0,0.0,0.0,0.0,19527.0
1.0,20.0,9.0,245.0,0.0,0.0,0.0,15167.0
1.0,20.0,9.0,567.0,0.0,0.0,0.0,62842.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,41497.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,88329.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,45224.0
1.0,20.0,9.0,334.0,0.0,0.0,1.0,35217.0
1.0,20.0,9.0,11.0,0.0,0.0,0.0,79596.0
0.0,14.0,9.0,30.0,0.0,0.0,0.0,121452.0
1.0,24.0,1.0,0.0,0.0,0.0,1.0,52082.0
1.0,20.0,9.0,7940.0,0.0,0.0,0.0,102117.0
0.0,15.0,9.0,1032.0,0.0,0.0,1.0,102263.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,52697.0
1.0,20.0,9.0,373.0,0.0,0.0,0.0,60105.0
0.0,15.0,9.0,520.0,0.0,0.0,1.0,102622.0
1.0,20.0,9.0,637.0,0.0,0.0,0.0,125419.0
1.0,23.0,1.0,0.0,0.0,0.0,1.0,69405.0
1.0,20.0,9.0,334.0,0.0,0.0,1.0,109513.0
1.0,41.0,9.0,10044.0,0.0,0.0,0.0,82576.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,68315.0
0.0,61.0,9.0,78.0,0.0,0.0,0.0,22392.0
1.0,20.0,9.0,40494.0,0.0,0.0,0.0,76537.0
0.0,15.0,9.0,1032.0,0.0,0.0,1.0,66450.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,36764.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,97490.0
0.0,15.0,9.0,1480.0,0.0,0.0,1.0,37893.0
1.0,20.0,9.0,2194619.0,0.0,0.0,0.0,13235.0
1.0,20.0,9.0,334.0,0.0,0.0,1.0,19105.0
1.0,20.0,9.0,383.0,0.0,0.0,0.0,48287.0
1.0,20.0,9.0,6601.0,0.0,0.0,0.0,13143.0
1.0,23.0,4.0,51180.0,2920.0,0.0,1.0,103107.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,10301.0
1.0,20.0,9.0,740.0,0.0,0.0,0.0,102391.0
1.0,20.0,9.0,8737.0,0.0,0.0,0.0,71622.0
2.0,46.0,9.0,207.0,0.0,0.0,1.0,40323.0
1.0,20.0,9.0,852.0,0.0,0.0,0.0,26448.0
0.0,61.0,9.0,183.0,0.0,0.0,0.0,54220.0
0.0,15.0,9.0,1032.0,0.0,0.0,1.0,13739.0
1.0,51.0,9.0,6568.0,386.0,0.0,0.0,111066.0
1.0,20.0,9.0,334.0,0.0,0.0,1.0,31130.0
1.0,41.0,9.0,1363.0,0.0,0.0,0.0,99446.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,68283.0
1.0,20.0,9.0,334.0,0.0,0.0,1.0,31504.0
0.0,61.0,9.0,78.0,0.0,0.0,0.0,88507.0
0.0,15.0,9.0,1032.0,0.0,0.0,1.0,64091.0
0.0,15.0,9.0,1032.0,0.0,0.0,1.0,52185.0
1.0,23.0,1.0,0.0,0.0,0.0,1.0,96205.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,27450.0
1.0,20.0,9.0,1807.0,0.0,0.0,0.0,10969.0
1.0,20.0,9.0,4539.0,0.0,0.0,0.0,2665.0
1.0,20.0,9.0,246.0,0.0,0.0,1.0,93725.0
1.0,20.0,9.0,1030.0,0.0,0.0,0.0,82602.0
0.0,15.0,9.0,1032.0,0.0,0.0,1.0,95760.0
0.0,14.0,9.0,30.0,0.0,0.0,0.0,123773.0
0.0,15.0,9.0,1032.0,0.0,0.0,1.0,71031.0
0.0,14.0,9.0,30.0,0.0,0.0,0.0,49342.0
0.0,14.0,9.0,64.0,0.0,0.0,0.0,38389.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,78981.0
1.0,20.0,9.0,965.0,0.0,0.0,0.0,72402.0
0.0,61.0,9.0,182.0,0.0,0.0,0.0,90462.0
1.0,20.0,9.0,748.0,0.0,0.0,0.0,7733.0
1.0,20.0,9.0,12.0,0.0,0.0,0.0,65224.0
0.0,15.0,9.0,520.0,0.0,0.0,1.0,95227.0
1.0,20.0,9.0,3888.0,0.0,0.0,0.0,106242.0
1.0,20.0,9.0,501760.0,0.0,0.0,0.0,95569.0
1.0,20.0,9.0,373.0,0.0,0.0,0.0,41610.0
1.0,20.0,9.0,748.0,0.0,0.0,0.0,103018.0
1.0,20.0,9.0,212.0,0.0,0.0,0.0,49298.0
1.0,20.0,9.0,1556.0,0.0,0.0,0.0,15157.0
1.0,20.0,9.0,12.0,0.0,0.0,0.0,73764.0
1.0,20.0,9.0,194.0,0.0,0.0,0.0,7910.0
1.0,20.0,9.0,1153.0,0.0,0.0,0.0,81802.0
0.0,15.0,9.0,1032.0,0.0,0.0,1.0,48588.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,89538.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,89468.0
1.0,20.0,9.0,5133876.0,0.0,0.0,1.0,94287.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,114573.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,27057.0
1.0,41.0,9.0,10261.0,0.0,0.0,0.0,6285.0
0.0,15.0,9.0,1032.0,0.0,0.0,1.0,61494.0
1.0,51.0,9.0,21240.0,336.0,0.0,0.0,5067.0
2.0,41.0,9.0,113.0,0.0,0.0,0.0,119196.0
0.0,14.0,9.0,30.0,0.0,0.0,0.0,67614.0
1.0,20.0,9.0,19.0,0.0,0.0,0.0,37557.0
1.0,20.0,9.0,1556.0,0.0,0.0,0.0,72760.0
1.0,20.0,9.0,832.0,0.0,0.0,1.0,118876.0
0.0,15.0,9.0,1032.0,0.0,0.0,1.0,44526.0
1.0,51.0,7.0,1378.0,0.0,0.0,0.0,53155.0
0.0,61.0,9.0,183.0,0.0,0.0,0.0,105258.0
1.0,20.0,9.0,252.0,0.0,0.0,0.0,85433.0
0.0,15.0,9.0,520.0,0.0,0.0,1.0,122836.0
0.0,15.0,9.0,1032.0,0.0,0.0,1.0,114302.0
1.0,20.0,9.0,334.0,0.0,0.0,1.0,78479.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,119144.0
1.0,20.0,9.0,12286.0,0.0,0.0,0.0,55246.0
0.0,15.0,9.0,1480.0,0.0,0.0,1.0,88574.0
