protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1.0,19.0,9.0,259.0,0.0,0.0,0.0,39851.0
2.0,40.0,9.0,516.0,4.0,0.0,0.0,111835.0
1.0,19.0,9.0,7045.0,0.0,0.0,1.0,22802.0
1.0,19.0,9.0,2194619.0,0.0,0.0,0.0,2477.0
1.0,19.0,9.0,491.0,0.0,0.0,0.0,115681.0
1.0,19.0,9.0,10389.0,0.0,0.0,0.0,60283.0
1.0,19.0,9.0,501760.0,0.0,0.0,0.0,28822.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,71208.0
1.0,19.0,9.0,748.0,0.0,0.0,0.0,92225.0
2.0,40.0,9.0,516.0,4.0,0.0,0.0,116751.0
1.0,19.0,9.0,37.0,0.0,0.0,0.0,91376.0
1.0,19.0,9.0,567.0,0.0,0.0,0.0,12745.0
1.0,19.0,9.0,5131424.0,0.0,0.0,1.0,54660.0
2.0,40.0,9.0,147.0,0.0,0.0,0.0,24938.0
0.0,14.0,9.0,520.0,0.0,0.0,1.0,105406.0
2.0,44.0,9.0,207.0,0.0,0.0,1.0,107046.0
2.0,44.0,9.0,215.0,0.0,0.0,0.0,36302.0
1.0,19.0,9.0,334.0,0.0,0.0,1.0,53039.0
2.0,40.0,9.0,516.0,4.0,0.0,0.0,25609.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,84980.0
1.0,19.0,9.0,175337.0,0.0,0.0,0.0,76416.0
1.0,19.0,9.0,334.0,0.0,0.0,1.0,85202.0
1.0,19.0,9.0,151.0,0.0,0.0,0.0,10805.0
1.0,19.0,9.0,35.0,0.0,0.0,0.0,36640.0
1.0,19.0,9.0,276.0,0.0,0.0,0.0,402.0
1.0,19.0,9.0,641.0,0.0,0.0,0.0,3133.0
2.0,40.0,9.0,146.0,0.0,0.0,0.0,86255.0
1.0,19.0,9.0,16.0,0.0,0.0,0.0,44092.0
1.0,19.0,9.0,1030.0,0.0,0.0,0.0,73091.0
2.0,40.0,9.0,147.0,0.0,0.0,0.0,60027.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,117066.0
1.0,19.0,9.0,1214.0,0.0,0.0,0.0,76934.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,51089.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,39987.0
1.0,19.0,9.0,641.0,0.0,0.0,0.0,9397.0
1.0,19.0,9.0,5558.0,0.0,0.0,0.0,59951.0
0.0,14.0,9.0,520.0,0.0,0.0,1.0,65025.0
1.0,19.0,9.0,607.0,0.0,0.0,0.0,73645.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,99836.0
1.0,19.0,9.0,1830.0,0.0,0.0,0.0,55370.0
1.0,19.0,9.0,4542.0,0.0,0.0,0.0,99109.0
1.0,19.0,9.0,7012.0,0.0,0.0,0.0,58017.0
1.0,19.0,9.0,641.0,0.0,0.0,0.0,121522.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,20016.0
