protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1.0,44.0,5.0,0.0,0.0,0.0,1.0,111692.0
1.0,22.0,9.0,259.0,2198.0,0.0,0.0,123699.0
1.0,22.0,9.0,54540.0,8314.0,0.0,0.0,59484.0
0.0,13.0,9.0,8.0,0.0,0.0,1.0,115747.0
1.0,44.0,5.0,0.0,0.0,0.0,1.0,38426.0
1.0,49.0,9.0,2701.0,397.0,0.0,0.0,42640.0
1.0,22.0,9.0,325.0,2913.0,0.0,0.0,106118.0
1.0,38.0,5.0,0.0,0.0,0.0,1.0,65872.0
2.0,11.0,9.0,45.0,81.0,0.0,0.0,120269.0
1.0,22.0,9.0,328.0,927.0,0.0,0.0,54221.0
1.0,32.0,5.0,0.0,0.0,0.0,1.0,52142.0
1.0,22.0,1.0,0.0,0.0,0.0,1.0,5671.0
1.0,22.0,9.0,280.0,3966.0,0.0,0.0,108216.0
1.0,17.0,5.0,0.0,0.0,0.0,1.0,14629.0
1.0,50.0,1.0,0.0,0.0,0.0,1.0,63151.0
1.0,22.0,9.0,337.0,777.0,0.0,0.0,121325.0
1.0,22.0,9.0,208.0,3166.0,0.0,0.0,53266.0
2.0,40.0,9.0,145.0,105.0,0.0,0.0,24049.0
1.0,22.0,9.0,213.0,1538.0,0.0,0.0,57396.0
1.0,34.0,5.0,0.0,0.0,0.0,1.0,12019.0
1.0,17.0,9.0,6.0,360.0,0.0,0.0,114489.0
1.0,22.0,9.0,262.0,11785.0,0.0,0.0,23604.0
1.0,22.0,9.0,308.0,186.0,0.0,0.0,18442.0
2.0,11.0,9.0,45.0,76.0,0.0,0.0,25908.0
1.0,22.0,9.0,194.0,7880.0,0.0,0.0,55069.0
1.0,22.0,9.0,257.0,1978.0,0.0,0.0,67958.0
1.0,49.0,9.0,1098.0,327.0,0.0,0.0,113102.0
1.0,29.0,1.0,0.0,0.0,0.0,1.0,95568.0
1.0,44.0,5.0,0.0,0.0,0.0,1.0,77090.0
1.0,41.0,5.0,0.0,0.0,0.0,1.0,9386.0
1.0,44.0,5.0,0.0,0.0,0.0,1.0,95578.0
1.0,29.0,5.0,0.0,0.0,0.0,1.0,68105.0
2.0,11.0,9.0,76.0,45.0,0.0,0.0,63302.0
1.0,22.0,9.0,195.0,731.0,0.0,0.0,94839.0
0.0,14.0,9.0,30.0,0.0,0.0,0.0,90730.0
1.0,12.0,5.0,0.0,0.0,0.0,1.0,63650.0
1.0,3.0,5.0,0.0,0.0,0.0,1.0,124810.0
2.0,44.0,9.0,1.0,0.0,0.0,1.0,4352.0
2.0,11.0,9.0,46.0,135.0,0.0,0.0,60778.0
1.0,40.0,2.0,0.0,0.0,0.0,1.0,95660.0
2.0,11.0,9.0,46.0,78.0,0.0,0.0,50150.0
1.0,44.0,5.0,0.0,0.0,0.0,1.0,29917.0
0.0,13.0,9.0,8.0,0.0,0.0,1.0,101608.0
1.0,44.0,5.0,0.0,0.0,0.0,1.0,86425.0
1.0,55.0,9.0,451.0,14663.0,0.0,0.0,76103.0
1.0,19.0,5.0,0.0,0.0,0.0,1.0,99018.0
1.0,22.0,9.0,302.0,1203.0,0.0,0.0,59269.0
1.0,22.0,9.0,322.0,335.0,0.0,0.0,84810.0
1.0,44.0,1.0,0.0,0.0,0.0,1.0,71322.0
1.0,22.0,9.0,352.0,1423.0,0.0,0.0,47378.0
2.0,11.0,9.0,43.0,119.0,0.0,0.0,67972.0
1.0,19.0,5.0,0.0,0.0,0.0,1.0,10229.0
2.0,11.0,9.0,45.0,75.0,0.0,0.0,2095.0
0.0,13.0,9.0,8.0,0.0,0.0,1.0,52526.0
1.0,15.0,1.0,0.0,0.0,0.0,1.0,94740.0
1.0,17.0,5.0,0.0,0.0,0.0,1.0,37336.0
0.0,13.0,9.0,8.0,0.0,0.0,1.0,58917.0
2.0,11.0,9.0,44.0,128.0,0.0,0.0,65707.0
1.0,19.0,5.0,0.0,0.0,0.0,1.0,41840.0
1.0,22.0,9.0,223.0,369.0,0.0,0.0,46572.0
0.0,13.0,9.0,8.0,0.0,0.0,1.0,80875.0
1.0,32.0,5.0,0.0,0.0,0.0,1.0,14887.0
1.0,44.0,5.0,0.0,0.0,0.0,1.0,11922.0
1.0,55.0,9.0,590.0,335851.0,0.0,0.0,122453.0
1.0,0.0,4.0,941.0,6160.0,0.0,0.0,28356.0
1.0,44.0,5.0,0.0,0.0,0.0,1.0,21084.0
1.0,22.0,9.0,277.0,3468.0,0.0,0.0,66440.0
1.0,19.0,9.0,12.0,0.0,0.0,0.0,103817.0
1.0,20.0,5.0,0.0,0.0,0.0,1.0,119537.0
1.0,18.0,9.0,1201.0,3380.0,0.0,0.0,43481.0
1.0,22.0,9.0,179.0,14515.0,0.0,0.0,104219.0
1.0,22.0,9.0,272.0,269.0,0.0,0.0,102888.0
1.0,0.0,9.0,77.0,17.0,0.0,0.0,96735.0
1.0,22.0,9.0,343.0,282.0,0.0,0.0,46325.0
1.0,44.0,5.0,0.0,0.0,0.0,1.0,79143.0
0.0,13.0,9.0,8.0,0.0,0.0,1.0,78177.0
1.0,22.0,9.0,310.0,3222.0,0.0,0.0,41702.0
1.0,60.0,5.0,0.0,0.0,0.0,1.0,60901.0
2.0,40.0,9.0,147.0,105.0,0.0,0.0,93676.0
1.0,44.0,5.0,0.0,0.0,0.0,1.0,74484.0
1.0,22.0,9.0,229.0,2413.0,0.0,0.0,68478.0
1.0,26.0,5.0,0.0,0.0,0.0,1.0,17978.0
1.0,44.0,5.0,0.0,0.0,0.0,1.0,86844.0
1.0,22.0,1.0,0.0,0.0,0.0,1.0,43560.0
1.0,22.0,9.0,201.0,712.0,0.0,0.0,85007.0
1.0,44.0,5.0,0.0,0.0,0.0,1.0,119037.0
2.0,11.0,9.0,41.0,41.0,0.0,0.0,50075.0
2.0,40.0,9.0,147.0,105.0,0.0,0.0,7483.0
1.0,61.0,1.0,0.0,0.0,0.0,1.0,55411.0
1.0,22.0,9.0,51.0,8127.0,0.0,0.0,117608.0
0.0,13.0,9.0,8.0,0.0,0.0,1.0,117410.0
1.0,22.0,9.0,324.0,1875.0,0.0,0.0,9562.0
1.0,22.0,9.0,229.0,15915.0,0.0,0.0,14728.0
1.0,22.0,1.0,0.0,0.0,0.0,1.0,66051.0
1.0,49.0,9.0,1517.0,332.0,0.0,0.0,15378.0
1.0,22.0,9.0,295.0,2124.0,0.0,0.0,110994.0
1.0,44.0,5.0,0.0,0.0,0.0,1.0,64728.0
1.0,22.0,9.0,200.0,5336.0,0.0,0.0,97112.0
1.0,49.0,9.0,1060.0,330.0,0.0,0.0,34729.0
1.0,22.0,9.0,272.0,6752.0,0.0,0.0,56525.0
1.0,22.0,9.0,276.0,8253.0,0.0,0.0,98938.0
1.0,22.0,9.0,205.0,622.0,0.0,0.0,115329.0
1.0,22.0,9.0,348.0,2280.0,0.0,0.0,82483.0
2.0,40.0,9.0,147.0,105.0,0.0,0.0,20505.0
