protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1,19,5,0,0,0,1,71435.0
1,22,9,236,548,0,0,77267.0
2,41,9,516,4,0,0,88565.0
2,11,9,111,44,0,0,58472.0
1,22,9,334,281,0,0,110559.0
2,11,9,44,68,0,0,108290.0
1,21,5,0,0,0,1,76263.0
1,56,5,0,0,0,1,109216.0
1,46,5,0,0,0,1,15691.0
0,13,9,8,0,0,1,42905.0
0,59,9,125,0,0,0,72631.0
1,54,5,0,0,0,1,78172.0
1,22,9,308,491,0,0,19029.0
0,13,9,30,0,0,0,19806.0
2,11,9,45,68,0,0,34838.0
1,46,5,0,0,0,1,60976.0
2,11,9,45,45,0,0,78680.0
1,46,5,0,0,0,1,49839.0
1,46,5,0,0,0,1,62127.0
0,13,9,8,0,0,1,20592.0
1,46,5,0,0,0,1,77376.0
1,32,5,0,0,0,1,107647.0
1,46,5,0,0,0,1,65167.0
1,50,9,1556,340,0,0,91706.0
1,41,1,0,0,0,1,60937.0
1,22,9,213,984,0,0,61459.0
1,46,5,0,0,0,1,125948.0
1,46,5,0,0,0,1,48848.0
1,19,9,749,0,0,0,28538.0
0,13,9,8,0,0,1,34832.0
1,22,9,232,3424,0,0,71846.0
1,22,9,315,1428,0,0,16350.0
0,13,9,30,0,0,0,121224.0
1,22,9,54540,8314,0,1,94850.0
1,15,1,0,0,0,1,61683.0
1,46,4,1,0,0,1,84467.0
1,22,9,223,4939,0,0,69572.0
1,18,9,1455,4152,0,0,63674.0
1,58,2,0,0,0,1,112906.0
1,19,9,151,0,0,0,50717.0
1,46,1,0,0,0,1,60340.0
2,46,9,105,146,0,0,70835.0
1,19,5,0,0,0,1,76435.0
1,19,5,0,0,0,1,27690.0
1,22,5,0,0,0,1,8176.0
2,11,9,42,135,0,0,90568.0
1,22,9,322,405,0,0,83794.0
1,22,9,251,1695,0,0,61810.0
1,46,4,0,0,0,1,39161.0
1,22,1,0,0,0,1,95423.0
1,46,5,0,0,0,1,98675.0
1,22,9,291,1448,0,0,30995.0
1,46,5,0,0,0,1,81394.0
1,50,9,10554,922,0,0,3094.0
1,19,9,15377,0,0,0,19524.0
1,60,5,0,0,0,1,32499.0
1,46,5,0,0,0,1,12239.0
1,50,9,781,337,0,0,33010.0
1,7,5,0,0,0,1,41479.0
1,50,9,750,480,0,0,71818.0
1,22,9,289,2400,0,0,58591.0
1,22,9,336,180,0,0,30388.0
1,19,9,12165,0,0,0,7227.0
1,22,9,275,1418,0,0,88622.0
1,41,1,0,0,0,1,115689.0
1,22,9,277,5200,0,0,51212.0
1,60,2,0,0,0,1,99514.0
1,61,1,0,0,0,1,47358.0
1,56,5,0,0,0,1,113829.0
1,22,9,157,38299,0,0,14051.0
1,22,9,201,24495,0,0,89807.0
1,37,1,0,0,0,1,6471.0
2,41,9,146,105,0,0,27975.0
1,46,5,0,0,0,1,96239.0
1,19,9,1690,0,0,0,7565.0
2,11,9,46,157,0,0,37133.0
2,11,9,44,130,0,0,49787.0
1,22,9,226,9283,0,0,28257.0
1,22,9,269,18051,0,0,43532.0
1,17,2,0,0,0,1,121589.0
2,11,9,44,82,0,0,61209.0
1,46,5,0,0,0,1,95164.0
1,22,1,0,0,0,1,33039.0
1,4,5,0,0,0,1,20410.0
2,46,9,1,0,0,1,54186.0
1,50,9,1553,330,0,0,38906.0
1,5,5,0,0,0,1,78791.0
1,50,9,1290,331,0,0,34406.0
1,50,9,1576,329,0,0,81660.0
1,50,9,701,332,0,0,67778.0
1,22,9,234,1842,0,0,106966.0
1,19,9,383,0,0,0,58426.0
1,46,5,0,0,0,1,89830.0
1,22,9,329,7566,0,0,59476.0
1,22,9,312,422,0,0,590.0
0,13,9,8,0,0,1,57967.0
1,46,1,0,0,0,1,107008.0
1,22,9,217,5013,0,0,85097.0
1,50,9,833,324,0,0,64398.0
1,22,9,307,480,0,0,83749.0
0,59,9,78,0,0,0,124471.0
1,22,9,236,397,0,0,109868.0
1,22,9,301,3950,0,0,74219.0
2,41,9,147,0,0,0,64333.0
0,14,9,1032,0,0,1,65343.0
2,41,9,516,4,0,0,46421.0
2,46,9,1,0,0,1,68802.0
1,44,9,52,5044,0,0,46251.0
1,22,9,243,8061,0,0,100068.0
2,46,9,1,0,0,1,53817.0
1,50,9,1648,328,0,0,25356.0
1,22,9,293,1651,0,0,43602.0
1,46,5,0,0,0,1,98546.0
1,22,1,0,0,0,1,4467.0
1,54,5,0,0,0,1,5744.0
1,22,9,54540,8314,0,1,13606.0
2,11,9,43,125,0,0,42395.0
1,19,9,12241,0,0,0,63847.0
1,22,9,235,370,0,0,27523.0
1,50,9,655,328,0,0,51556.0
1,46,4,0,0,0,1,69079.0
1,46,5,0,0,0,1,34468.0
2,11,9,44,74,0,0,1799.0
1,22,9,141,27078,0,0,39187.0
1,46,5,0,0,0,1,34629.0
0,14,9,520,0,0,1,89657.0
1,22,9,214,283,0,0,151.0
1,46,5,0,0,0,1,16471.0
1,7,5,0,0,0,1,101234.0
1,46,5,0,0,0,1,49628.0
1,56,5,0,0,0,1,24617.0
1,22,9,264,1254,0,0,23442.0
1,46,5,0,0,0,1,101977.0
0,13,9,8,0,0,1,105695.0
1,22,9,272,392,0,0,10351.0
1,22,5,0,0,0,1,39425.0
1,22,9,317,4310,0,0,86585.0
1,22,9,276,1976,0,0,88048.0
1,46,5,0,0,0,1,1286.0
1,22,9,314,392,0,0,47968.0
1,46,5,0,0,0,1,108581.0
1,22,9,292,1024,0,0,35610.0
2,41,9,145,0,0,0,122896.0
1,22,9,407,4355,0,0,47585.0
1,22,1,0,0,0,1,64925.0
1,22,9,54540,8314,0,1,63360.0
2,11,9,46,137,0,0,88008.0
1,22,9,368,327,0,0,81500.0
1,22,9,200,764,0,0,406.0
1,17,5,0,0,0,1,112497.0
1,19,9,35195,0,0,0,56261.0
1,22,9,209,3388,0,0,110742.0
1,46,1,0,0,0,1,8949.0
1,22,9,219,8103,0,0,68810.0
1,50,9,759,331,0,0,74697.0
1,50,9,1488,332,0,0,88475.0
1,25,5,0,0,0,1,121709.0
2,11,9,33,93,0,0,12523.0
1,22,9,226,943,0,0,71684.0
1,46,1,0,0,0,1,18944.0
1,46,1,0,0,0,1,5641.0
2,11,9,45,79,0,0,32648.0
1,50,9,1374,403,0,0,47918.0
1,26,5,0,0,0,1,111207.0
1,22,9,260,270,0,0,103427.0
1,19,9,192,0,0,0,46832.0
1,18,5,0,0,0,1,56361.0
1,41,1,0,0,0,1,69616.0
1,22,9,214,495,0,0,44866.0
1,7,5,0,0,0,1,114081.0
1,22,1,0,0,0,1,113741.0
1,22,9,209,2071,0,0,14584.0
0,14,9,1032,0,0,1,55862.0
1,22,9,54540,8314,0,1,51143.0
1,22,9,281,757,0,0,106149.0
1,50,9,10848,942,0,0,92618.0
1,44,9,35,130,0,0,34639.0
1,50,5,0,0,0,1,18707.0
0,14,9,1032,0,0,1,4543.0
2,11,9,44,75,0,0,24507.0
1,50,9,11935,1384,0,0,15305.0
1,18,5,0,0,0,1,83734.0
0,14,9,1032,0,0,1,34576.0
1,22,5,0,0,0,1,1853.0
1,6,5,0,0,0,1,102555.0
1,22,9,228,12471,0,0,48320.0
1,50,9,1333,370,0,0,83750.0
0,13,9,8,0,0,1,44085.0
1,46,1,0,0,0,1,51337.0
1,46,1,0,0,0,1,17733.0
1,22,9,330,1749,0,0,109447.0
1,19,5,0,0,0,1,47345.0
2,41,9,1,0,0,1,39175.0
1,46,5,0,0,0,1,68316.0
1,37,5,0,0,0,1,98707.0
2,11,9,34,34,0,0,95322.0
1,46,5,0,0,0,1,85404.0
1,12,1,0,0,0,1,53736.0
1,19,9,12286,0,0,0,73727.0
1,22,9,224,1712,0,0,38676.0
1,4,1,0,0,0,1,28362.0
1,22,9,285,3636,0,0,117320.0
1,22,9,208,12909,0,0,46983.0
1,22,9,293,25608,0,0,71131.0
0,14,9,1480,0,0,1,14979.0
1,22,5,0,0,0,1,63582.0
2,46,9,105,146,0,0,46568.0
1,22,9,168,38544,0,0,114725.0
1,50,9,1354,324,0,0,72296.0
1,46,5,0,0,0,1,117745.0
1,46,5,0,0,0,1,3833.0
1,22,9,287,511,0,0,69423.0
1,22,9,326,1891,0,0,19021.0
1,22,9,189,10416,0,0,19541.0
1,10,1,0,0,0,1,73029.0
1,22,9,54540,8314,0,1,110625.0
0,13,9,8,0,0,1,66068.0
1,19,9,1109,0,0,0,124423.0
1,46,5,0,0,0,1,95186.0
2,11,9,42,42,0,0,18329.0
1,50,9,878,327,0,0,83919.0
1,6,5,0,0,0,1,47574.0
1,22,1,0,0,0,1,106664.0
1,22,9,54540,8314,0,1,118768.0
1,22,9,235,1341,0,0,82403.0
1,22,9,198,1415,0,0,35312.0
1,18,5,0,0,0,1,67250.0
1,46,5,0,0,0,1,34089.0
1,20,5,0,0,0,1,80023.0
1,60,5,0,0,0,1,122646.0
1,50,9,984,337,0,0,19887.0
1,9,5,0,0,0,1,114743.0
1,38,5,0,0,0,1,59375.0
1,22,9,158,4633,0,0,30061.0
0,59,9,182,0,0,0,9867.0
1,22,9,263,362,0,0,70557.0
1,50,9,1733,407,0,0,30494.0
1,22,9,339,1925,0,0,98362.0
1,22,9,285,3393,0,0,8836.0
1,19,9,59,0,0,0,48348.0
1,22,9,262,392,0,0,105967.0
1,46,5,0,0,0,1,101468.0
2,11,9,71,43,0,0,64623.0
1,22,9,233,398,0,0,78295.0
2,11,9,46,74,0,0,7729.0
1,56,5,0,0,0,1,17100.0
1,22,9,196,20790,0,0,42669.0
1,22,9,353,303,0,0,104358.0
1,17,9,8,511,0,0,18550.0
0,13,9,8,0,0,1,120626.0
1,22,9,220,1135,0,0,107828.0
2,11,9,76,32,0,0,124032.0
2,11,9,45,45,0,0,34082.0
0,13,9,8,0,0,1,53256.0
1,22,9,337,14506,0,0,71511.0
1,17,5,0,0,0,1,62673.0
1,41,9,16787,0,0,0,93042.0
1,56,2,0,15,0,1,105124.0
1,18,9,1431,4152,0,0,122816.0
2,41,9,146,105,0,0,105658.0
0,14,9,520,0,0,1,86421.0
2,11,9,44,130,0,0,113370.0
2,46,9,1,0,0,1,15244.0
1,22,9,256,2052,0,0,8842.0
1,19,9,5891,0,0,0,16832.0
1,26,5,0,0,0,1,112175.0
1,22,9,207,288,0,0,96300.0
1,46,4,0,0,0,1,85754.0
1,53,5,0,0,0,1,36885.0
1,22,9,188,5002,0,0,115854.0
2,11,9,43,70,0,0,107701.0
1,46,5,0,0,0,1,14513.0
1,46,4,1,0,0,1,63167.0
1,22,9,221,494,0,0,99059.0
2,11,9,43,43,0,0,70370.0
2,41,9,147,0,0,0,76441.0
1,22,9,284,1261,0,0,117262.0
