protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1.0,20.0,9.0,832.0,0.0,0.0,1.0,21452.0
0.0,15.0,9.0,1480.0,0.0,0.0,1.0,104977.0
1.0,23.0,9.0,215.0,19835.0,0.0,0.0,101574.0
1.0,23.0,9.0,339.0,8292.0,0.0,0.0,47970.0
1.0,23.0,9.0,226.0,986.0,0.0,0.0,48840.0
1.0,23.0,9.0,221.0,1212.0,0.0,0.0,52944.0
1.0,20.0,9.0,63.0,0.0,0.0,0.0,10322.0
1.0,20.0,9.0,175337.0,0.0,0.0,0.0,16691.0
1.0,20.0,9.0,10073.0,0.0,0.0,0.0,54989.0
0.0,60.0,9.0,181.0,0.0,0.0,0.0,72.0
1.0,23.0,9.0,249.0,1706.0,0.0,0.0,80881.0
1.0,23.0,9.0,319.0,2572.0,0.0,0.0,51608.0
1.0,23.0,9.0,213.0,1408.0,0.0,0.0,39207.0
1.0,23.0,9.0,188.0,4051.0,0.0,0.0,78001.0
1.0,23.0,9.0,218.0,4741.0,0.0,0.0,10753.0
1.0,18.0,9.0,9.0,141.0,0.0,0.0,29981.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,26550.0
1.0,23.0,9.0,301.0,1870.0,0.0,0.0,84338.0
1.0,20.0,9.0,95.0,0.0,0.0,0.0,24847.0
1.0,23.0,9.0,203.0,12922.0,0.0,0.0,98633.0
1.0,23.0,9.0,305.0,2698.0,0.0,0.0,50586.0
1.0,23.0,9.0,265.0,1791.0,0.0,0.0,110643.0
1.0,23.0,9.0,232.0,1374.0,0.0,0.0,125676.0
1.0,23.0,9.0,325.0,2575.0,0.0,0.0,99802.0
1.0,23.0,9.0,208.0,919.0,0.0,0.0,85476.0
1.0,23.0,9.0,235.0,7886.0,0.0,0.0,104016.0
0.0,60.0,9.0,183.0,0.0,0.0,0.0,98837.0
1.0,23.0,9.0,204.0,3541.0,0.0,0.0,123531.0
1.0,23.0,9.0,303.0,1555.0,0.0,0.0,87016.0
1.0,20.0,9.0,192.0,0.0,0.0,0.0,28967.0
1.0,23.0,9.0,148.0,17425.0,0.0,0.0,109085.0
1.0,20.0,9.0,383.0,0.0,0.0,0.0,75568.0
1.0,23.0,9.0,246.0,1701.0,0.0,0.0,108604.0
1.0,20.0,9.0,334.0,0.0,0.0,1.0,50085.0
0.0,14.0,9.0,30.0,0.0,0.0,0.0,17312.0
1.0,23.0,9.0,139.0,29859.0,0.0,0.0,92705.0
1.0,23.0,9.0,204.0,3502.0,0.0,0.0,34764.0
1.0,23.0,9.0,331.0,1862.0,0.0,0.0,35891.0
1.0,23.0,9.0,289.0,3428.0,0.0,0.0,78396.0
1.0,18.0,9.0,5.0,136.0,0.0,0.0,79856.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,58125.0
1.0,23.0,9.0,208.0,1660.0,0.0,0.0,39039.0
2.0,41.0,9.0,147.0,0.0,0.0,0.0,55991.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,109946.0
1.0,23.0,9.0,195.0,1521.0,0.0,0.0,68057.0
1.0,20.0,9.0,192.0,0.0,0.0,0.0,123850.0
1.0,23.0,9.0,276.0,1851.0,0.0,0.0,103584.0
1.0,23.0,9.0,258.0,2776.0,0.0,0.0,117682.0
1.0,23.0,9.0,324.0,44211.0,0.0,0.0,41504.0
1.0,23.0,2.0,0.0,0.0,0.0,0.0,94300.0
1.0,20.0,9.0,8173.0,0.0,0.0,0.0,84368.0
1.0,23.0,9.0,239.0,1471.0,0.0,0.0,15457.0
1.0,23.0,9.0,201.0,2435.0,0.0,0.0,1345.0
1.0,23.0,9.0,222.0,1680.0,0.0,0.0,20078.0
1.0,23.0,9.0,205.0,1400.0,0.0,0.0,2881.0
1.0,20.0,9.0,12324.0,0.0,0.0,0.0,97651.0
1.0,23.0,9.0,209.0,5260.0,0.0,0.0,14926.0
1.0,20.0,9.0,192.0,0.0,0.0,0.0,42775.0
1.0,23.0,9.0,262.0,2198.0,0.0,0.0,114246.0
1.0,20.0,9.0,8325.0,0.0,0.0,0.0,93971.0
0.0,15.0,9.0,520.0,0.0,0.0,1.0,70212.0
1.0,23.0,9.0,302.0,2550.0,0.0,0.0,5994.0
1.0,23.0,9.0,292.0,1275.0,0.0,0.0,109624.0
0.0,14.0,9.0,30.0,0.0,0.0,0.0,84342.0
1.0,20.0,9.0,4753.0,0.0,0.0,0.0,85216.0
1.0,23.0,9.0,296.0,2335.0,0.0,0.0,38546.0
0.0,59.0,9.0,36.0,0.0,0.0,0.0,75705.0
1.0,55.0,9.0,189.0,25322.0,0.0,0.0,56968.0
1.0,20.0,9.0,1199.0,0.0,0.0,0.0,36015.0
1.0,20.0,9.0,5319.0,0.0,0.0,0.0,24988.0
1.0,23.0,9.0,323.0,4675.0,0.0,0.0,10366.0
1.0,23.0,9.0,235.0,2698.0,0.0,0.0,69949.0
1.0,23.0,9.0,236.0,19983.0,0.0,0.0,70605.0
1.0,41.0,9.0,9178.0,0.0,0.0,0.0,40529.0
1.0,23.0,9.0,293.0,1389.0,0.0,0.0,114868.0
1.0,23.0,9.0,237.0,2325.0,0.0,0.0,110640.0
1.0,4.0,9.0,10.0,39.0,0.0,0.0,61167.0
1.0,23.0,9.0,197.0,9442.0,0.0,0.0,95080.0
1.0,23.0,9.0,301.0,12471.0,0.0,0.0,4611.0
1.0,23.0,9.0,311.0,3222.0,0.0,0.0,43984.0
1.0,23.0,9.0,316.0,2345.0,0.0,0.0,10710.0
1.0,23.0,9.0,322.0,7314.0,0.0,0.0,125034.0
1.0,20.0,9.0,18.0,0.0,0.0,0.0,113613.0
1.0,23.0,9.0,240.0,1484.0,0.0,0.0,30020.0
1.0,23.0,9.0,224.0,3616.0,0.0,0.0,5401.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,3741.0
1.0,23.0,9.0,234.0,1600.0,0.0,0.0,115390.0
1.0,23.0,9.0,163.0,19983.0,0.0,0.0,21012.0
1.0,23.0,9.0,303.0,8720.0,0.0,0.0,123261.0
1.0,20.0,9.0,641.0,0.0,0.0,0.0,114657.0
1.0,20.0,9.0,5319.0,0.0,0.0,0.0,83040.0
1.0,23.0,9.0,292.0,8258.0,0.0,0.0,21824.0
0.0,15.0,9.0,1032.0,0.0,0.0,1.0,36820.0
1.0,23.0,9.0,148.0,18275.0,0.0,0.0,37183.0
1.0,23.0,9.0,299.0,3552.0,0.0,0.0,118675.0
0.0,15.0,9.0,1032.0,0.0,0.0,1.0,94517.0
0.0,15.0,9.0,1032.0,0.0,0.0,1.0,92820.0
1.0,20.0,9.0,201.0,0.0,0.0,0.0,109753.0
1.0,20.0,9.0,11.0,0.0,0.0,0.0,14990.0
1.0,23.0,9.0,226.0,11333.0,0.0,0.0,44505.0
