protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1,44,5,0,0,0,1,111692.0
1,22,9,259,2198,0,0,123699.0
1,22,9,54540,8314,0,1,59484.0
0,13,9,8,0,0,1,115747.0
1,44,5,0,0,0,1,38426.0
1,49,9,2701,397,0,0,42640.0
1,22,9,325,2913,0,0,106118.0
1,38,5,0,0,0,1,65872.0
2,11,9,45,81,0,0,120269.0
1,22,9,328,927,0,0,54221.0
1,32,5,0,0,0,1,52142.0
1,22,1,0,0,0,1,5671.0
1,22,9,280,3966,0,0,108216.0
1,17,5,0,0,0,1,14629.0
1,50,1,0,0,0,1,63151.0
1,22,9,337,777,0,0,121325.0
1,22,9,208,3166,0,0,53266.0
2,40,9,145,105,0,0,24049.0
1,22,9,213,1538,0,0,57396.0
1,34,5,0,0,0,1,12019.0
1,17,9,6,360,0,0,114489.0
1,22,9,262,11785,0,0,23604.0
1,22,9,308,186,0,0,18442.0
2,11,9,45,76,0,0,25908.0
1,22,9,194,7880,0,0,55069.0
1,22,9,257,1978,0,0,67958.0
1,49,9,1098,327,0,0,113102.0
1,29,1,0,0,0,1,95568.0
1,44,5,0,0,0,1,77090.0
1,41,5,0,0,0,1,9386.0
1,44,5,0,0,0,1,95578.0
1,29,5,0,0,0,1,68105.0
2,11,9,76,45,0,0,63302.0
1,19,9,259,0,0,0,39851.0
1,22,9,195,731,0,0,94839.0
0,14,9,30,0,0,0,90730.0
1,12,5,0,0,0,1,63650.0
2,40,9,516,4,0,0,111835.0
1,3,5,0,0,0,1,124810.0
2,44,9,1,0,0,1,4352.0
2,11,9,46,135,0,0,60778.0
1,40,2,0,0,0,1,95660.0
2,11,9,46,78,0,0,50150.0
1,44,5,0,0,0,1,29917.0
0,13,9,8,0,0,1,101608.0
1,44,5,0,0,0,1,86425.0
1,55,9,451,14663,0,0,76103.0
1,19,5,0,0,0,1,99018.0
1,22,9,302,1203,0,0,59269.0
1,22,9,322,335,0,0,84810.0
1,44,1,0,0,0,1,71322.0
