protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1.0,22.0,9.0,232.0,3222.0,0.0,0.0,56045.0
1.0,22.0,9.0,293.0,59219.0,0.0,0.0,86195.0
0.0,13.0,9.0,30.0,0.0,0.0,0.0,121298.0
1.0,19.0,9.0,383.0,0.0,0.0,0.0,2311.0
0.0,13.0,9.0,30.0,0.0,0.0,0.0,66176.0
0.0,14.0,9.0,520.0,0.0,0.0,1.0,106207.0
1.0,22.0,9.0,220.0,29567.0,0.0,0.0,77435.0
1.0,22.0,9.0,284.0,17086.0,0.0,0.0,28149.0
1.0,22.0,9.0,222.0,3749.0,0.0,0.0,104407.0
1.0,19.0,9.0,7045.0,0.0,0.0,1.0,99378.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,82337.0
1.0,22.0,1.0,0.0,0.0,0.0,0.0,12833.0
0.0,13.0,9.0,30.0,0.0,0.0,0.0,99583.0
0.0,14.0,9.0,520.0,0.0,0.0,1.0,84960.0
1.0,22.0,1.0,0.0,0.0,0.0,0.0,117948.0
1.0,22.0,9.0,261.0,29122.0,0.0,0.0,88412.0
1.0,22.0,9.0,338.0,10554.0,0.0,0.0,51285.0
1.0,22.0,9.0,192.0,36186.0,0.0,0.0,3385.0
1.0,22.0,9.0,0.0,2755.0,0.0,0.0,101593.0
1.0,22.0,9.0,207.0,7262.0,0.0,0.0,5172.0
1.0,22.0,1.0,0.0,0.0,0.0,0.0,70708.0
1.0,19.0,9.0,1030.0,0.0,0.0,0.0,66894.0
1.0,19.0,9.0,567.0,0.0,0.0,0.0,27805.0
1.0,22.0,9.0,217.0,4061.0,0.0,0.0,34671.0
1.0,22.0,9.0,245.0,11415.0,0.0,0.0,20935.0
1.0,22.0,9.0,238.0,3567.0,0.0,0.0,47757.0
1.0,22.0,9.0,331.0,10392.0,0.0,0.0,99579.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,34903.0
1.0,19.0,9.0,1699.0,0.0,0.0,0.0,52556.0
