protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1.0,23.0,9.0,215.0,19835.0,0.0,0.0,101574.0
1.0,41.0,1.0,0.0,0.0,0.0,1.0,46234.0
1.0,23.0,9.0,339.0,8292.0,0.0,0.0,47970.0
1.0,10.0,5.0,0.0,0.0,0.0,1.0,39788.0
1.0,41.0,1.0,0.0,0.0,0.0,1.0,61667.0
1.0,13.0,2.0,0.0,0.0,0.0,1.0,59041.0
1.0,41.0,1.0,0.0,0.0,0.0,1.0,63343.0
1.0,23.0,9.0,188.0,4051.0,0.0,0.0,78001.0
1.0,23.0,9.0,218.0,4741.0,0.0,0.0,10753.0
1.0,18.0,9.0,9.0,141.0,0.0,0.0,29981.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,26550.0
0.0,14.0,9.0,8.0,0.0,0.0,1.0,43896.0
1.0,11.0,5.0,0.0,0.0,0.0,1.0,47901.0
1.0,4.0,1.0,0.0,0.0,0.0,1.0,57145.0
1.0,23.0,9.0,203.0,12922.0,0.0,0.0,98633.0
1.0,23.0,9.0,305.0,2698.0,0.0,0.0,50586.0
1.0,11.0,5.0,0.0,0.0,0.0,1.0,87266.0
1.0,23.0,9.0,235.0,7886.0,0.0,0.0,104016.0
1.0,23.0,9.0,204.0,3541.0,0.0,0.0,123531.0
1.0,23.0,9.0,148.0,17425.0,0.0,0.0,109085.0
1.0,8.0,5.0,0.0,0.0,0.0,1.0,54863.0
1.0,35.0,1.0,0.0,0.0,0.0,1.0,66632.0
1.0,23.0,9.0,139.0,29859.0,0.0,0.0,92705.0
1.0,36.0,1.0,0.0,0.0,0.0,1.0,93470.0
1.0,23.0,9.0,204.0,3502.0,0.0,0.0,34764.0
1.0,23.0,9.0,289.0,3428.0,0.0,0.0,78396.0
1.0,18.0,9.0,5.0,136.0,0.0,0.0,79856.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,58125.0
1.0,7.0,5.0,0.0,0.0,0.0,1.0,108287.0
0.0,14.0,9.0,8.0,0.0,0.0,1.0,92331.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,109946.0
1.0,45.0,3.0,0.0,0.0,0.0,1.0,20916.0
0.0,14.0,9.0,8.0,0.0,0.0,1.0,83320.0
1.0,23.0,9.0,258.0,2776.0,0.0,0.0,117682.0
1.0,23.0,9.0,324.0,44211.0,0.0,0.0,41504.0
1.0,6.0,1.0,0.0,0.0,0.0,1.0,33695.0
1.0,6.0,1.0,0.0,0.0,0.0,1.0,71397.0
1.0,23.0,2.0,0.0,0.0,0.0,0.0,94300.0
1.0,11.0,5.0,0.0,0.0,0.0,1.0,20099.0
2.0,45.0,9.0,28.0,0.0,0.0,1.0,233.0
1.0,23.0,9.0,201.0,2435.0,0.0,0.0,1345.0
1.0,23.0,9.0,209.0,5260.0,0.0,0.0,14926.0
1.0,23.0,9.0,262.0,2198.0,0.0,0.0,114246.0
1.0,2.0,5.0,0.0,0.0,0.0,1.0,33585.0
1.0,29.0,1.0,0.0,0.0,0.0,1.0,91368.0
1.0,23.0,9.0,302.0,2550.0,0.0,0.0,5994.0
1.0,11.0,5.0,0.0,0.0,0.0,1.0,83777.0
0.0,59.0,9.0,36.0,0.0,0.0,0.0,75705.0
0.0,15.0,9.0,18.0,0.0,0.0,1.0,111707.0
1.0,55.0,9.0,189.0,25322.0,0.0,0.0,56968.0
1.0,23.0,9.0,323.0,4675.0,0.0,0.0,10366.0
1.0,23.0,9.0,235.0,2698.0,0.0,0.0,69949.0
1.0,23.0,9.0,236.0,19983.0,0.0,0.0,70605.0
1.0,23.0,9.0,237.0,2325.0,0.0,0.0,110640.0
1.0,41.0,1.0,0.0,0.0,0.0,1.0,95543.0
1.0,41.0,1.0,0.0,0.0,0.0,1.0,8325.0
1.0,23.0,9.0,197.0,9442.0,0.0,0.0,95080.0
0.0,14.0,9.0,8.0,0.0,0.0,1.0,14210.0
1.0,23.0,9.0,301.0,12471.0,0.0,0.0,4611.0
1.0,23.0,9.0,311.0,3222.0,0.0,0.0,43984.0
1.0,23.0,9.0,322.0,7314.0,0.0,0.0,125034.0
0.0,14.0,9.0,8.0,0.0,0.0,1.0,87293.0
1.0,20.0,9.0,18.0,0.0,0.0,0.0,113613.0
1.0,23.0,9.0,224.0,3616.0,0.0,0.0,5401.0
1.0,8.0,5.0,0.0,0.0,0.0,1.0,18829.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,3741.0
0.0,14.0,9.0,8.0,0.0,0.0,1.0,117740.0
1.0,41.0,1.0,0.0,0.0,0.0,1.0,71881.0
2.0,45.0,9.0,28.0,0.0,0.0,1.0,60362.0
1.0,27.0,1.0,0.0,0.0,0.0,1.0,67723.0
1.0,23.0,9.0,163.0,19983.0,0.0,0.0,21012.0
1.0,23.0,9.0,303.0,8720.0,0.0,0.0,123261.0
1.0,4.0,5.0,0.0,0.0,0.0,1.0,56346.0
1.0,2.0,5.0,0.0,0.0,0.0,1.0,1739.0
1.0,5.0,1.0,0.0,0.0,0.0,1.0,67560.0
1.0,23.0,9.0,292.0,8258.0,0.0,0.0,21824.0
1.0,33.0,1.0,0.0,0.0,0.0,1.0,125839.0
1.0,23.0,9.0,148.0,18275.0,0.0,0.0,37183.0
1.0,23.0,9.0,299.0,3552.0,0.0,0.0,118675.0
1.0,5.0,5.0,0.0,0.0,0.0,1.0,51963.0
1.0,20.0,9.0,11.0,0.0,0.0,0.0,14990.0
2.0,45.0,9.0,28.0,0.0,0.0,1.0,11559.0
1.0,9.0,5.0,0.0,0.0,0.0,1.0,86245.0
1.0,23.0,9.0,226.0,11333.0,0.0,0.0,44505.0
1.0,13.0,5.0,0.0,0.0,0.0,1.0,104237.0
1.0,9.0,5.0,0.0,0.0,0.0,1.0,57088.0
1.0,23.0,9.0,295.0,4380.0,0.0,0.0,22938.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,10686.0
0.0,14.0,9.0,8.0,0.0,0.0,1.0,24500.0
1.0,23.0,9.0,224.0,3279.0,0.0,0.0,90029.0
1.0,23.0,9.0,200.0,4320.0,0.0,0.0,31021.0
1.0,23.0,9.0,249.0,5310.0,0.0,0.0,123756.0
1.0,23.0,9.0,208.0,16985.0,0.0,0.0,105970.0
1.0,18.0,3.0,0.0,0.0,0.0,1.0,93385.0
1.0,23.0,9.0,227.0,6822.0,0.0,0.0,5636.0
1.0,23.0,9.0,235.0,7333.0,0.0,0.0,33056.0
1.0,23.0,9.0,286.0,3678.0,0.0,0.0,117277.0
1.0,7.0,1.0,0.0,0.0,0.0,1.0,119612.0
1.0,7.0,5.0,0.0,0.0,0.0,1.0,56080.0
1.0,13.0,5.0,0.0,0.0,0.0,1.0,121336.0
1.0,23.0,9.0,241.0,3329.0,0.0,0.0,35758.0
1.0,5.0,5.0,0.0,0.0,0.0,1.0,24463.0
1.0,23.0,9.0,175.0,14776.0,0.0,0.0,102695.0
1.0,23.0,9.0,265.0,3781.0,0.0,0.0,49275.0
1.0,6.0,5.0,0.0,0.0,0.0,1.0,97668.0
1.0,23.0,6.0,286.0,10584.0,0.0,0.0,57997.0
1.0,23.0,9.0,228.0,24786.0,0.0,0.0,1214.0
1.0,7.0,5.0,0.0,0.0,0.0,1.0,46277.0
1.0,23.0,9.0,332.0,9211.0,0.0,0.0,45777.0
1.0,23.0,9.0,220.0,3591.0,0.0,0.0,63244.0
1.0,23.0,9.0,269.0,9287.0,0.0,0.0,23150.0
