protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1.0,49.0,5.0,0.0,0.0,0.0,0.0,59741.0
1.0,61.0,5.0,0.0,0.0,0.0,1.0,7996.0
1.0,45.0,5.0,0.0,0.0,0.0,1.0,87880.0
1.0,55.0,5.0,0.0,0.0,0.0,1.0,80737.0
1.0,23.0,9.0,226.0,986.0,0.0,0.0,48840.0
1.0,23.0,9.0,221.0,1212.0,0.0,0.0,52944.0
1.0,55.0,5.0,0.0,0.0,0.0,1.0,96256.0
1.0,51.0,5.0,0.0,0.0,0.0,1.0,101012.0
1.0,45.0,5.0,0.0,0.0,0.0,1.0,103027.0
1.0,45.0,5.0,0.0,0.0,0.0,1.0,15883.0
1.0,23.0,9.0,249.0,1706.0,0.0,0.0,80881.0
1.0,45.0,5.0,0.0,0.0,0.0,1.0,120144.0
1.0,23.0,9.0,319.0,2572.0,0.0,0.0,51608.0
1.0,23.0,9.0,213.0,1408.0,0.0,0.0,39207.0
1.0,13.0,2.0,0.0,0.0,0.0,1.0,59041.0
1.0,45.0,5.0,0.0,0.0,0.0,1.0,94774.0
1.0,23.0,5.0,0.0,0.0,0.0,1.0,1638.0
1.0,18.0,9.0,9.0,141.0,0.0,0.0,29981.0
1.0,45.0,5.0,0.0,0.0,0.0,1.0,107010.0
1.0,23.0,1.0,0.0,0.0,0.0,0.0,26550.0
1.0,58.0,2.0,0.0,0.0,0.0,1.0,49355.0
1.0,23.0,9.0,301.0,1870.0,0.0,0.0,84338.0
1.0,45.0,5.0,0.0,0.0,0.0,1.0,43224.0
1.0,4.0,1.0,0.0,0.0,0.0,1.0,57145.0
1.0,45.0,5.0,0.0,0.0,0.0,1.0,105178.0
1.0,55.0,2.0,126.0,179.0,0.0,1.0,21822.0
1.0,23.0,9.0,305.0,2698.0,0.0,0.0,50586.0
1.0,23.0,9.0,248.0,851.0,0.0,0.0,68228.0
1.0,23.0,9.0,265.0,1791.0,0.0,0.0,110643.0
1.0,23.0,9.0,232.0,1374.0,0.0,0.0,125676.0
1.0,23.0,9.0,325.0,2575.0,0.0,0.0,99802.0
1.0,23.0,9.0,208.0,919.0,0.0,0.0,85476.0
1.0,62.0,1.0,0.0,0.0,0.0,1.0,1354.0
1.0,54.0,5.0,0.0,0.0,0.0,1.0,64559.0
1.0,23.0,9.0,287.0,788.0,0.0,0.0,90696.0
1.0,49.0,5.0,0.0,0.0,0.0,1.0,52272.0
1.0,45.0,5.0,0.0,0.0,0.0,1.0,11199.0
