protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1.0,48.0,9.0,2373.0,330.0,0.0,0.0,90759.0
1.0,22.0,9.0,340.0,283.0,0.0,0.0,24662.0
1.0,48.0,9.0,812.0,340.0,0.0,0.0,46403.0
1.0,48.0,9.0,770.0,281.0,0.0,0.0,52665.0
1.0,19.0,9.0,175337.0,0.0,0.0,0.0,87483.0
1.0,22.0,9.0,245.0,266.0,0.0,0.0,16177.0
1.0,19.0,9.0,22.0,0.0,0.0,0.0,106224.0
1.0,22.0,9.0,232.0,582.0,0.0,0.0,117848.0
1.0,48.0,9.0,1117.0,331.0,0.0,0.0,69454.0
2.0,11.0,9.0,46.0,46.0,0.0,0.0,44355.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,93893.0
2.0,11.0,9.0,45.0,81.0,0.0,0.0,115312.0
1.0,22.0,9.0,311.0,466.0,0.0,0.0,84327.0
1.0,22.0,9.0,224.0,309.0,0.0,0.0,104078.0
2.0,44.0,9.0,105.0,147.0,0.0,0.0,38811.0
1.0,19.0,9.0,334.0,0.0,0.0,1.0,16649.0
1.0,22.0,9.0,221.0,285.0,0.0,0.0,93874.0
1.0,19.0,9.0,567.0,0.0,0.0,0.0,24141.0
2.0,11.0,9.0,45.0,110.0,0.0,0.0,22064.0
0.0,58.0,9.0,181.0,0.0,0.0,0.0,59198.0
1.0,48.0,9.0,1194.0,333.0,0.0,0.0,117661.0
2.0,40.0,9.0,145.0,105.0,0.0,0.0,91559.0
1.0,22.0,9.0,332.0,460.0,0.0,0.0,109569.0
1.0,48.0,9.0,730.0,481.0,0.0,0.0,123742.0
1.0,48.0,9.0,1410.0,327.0,0.0,0.0,29888.0
1.0,48.0,9.0,2980.0,329.0,0.0,0.0,80123.0
1.0,48.0,9.0,3146.0,400.0,0.0,0.0,74341.0
2.0,11.0,9.0,111.0,31.0,0.0,0.0,21912.0
2.0,11.0,9.0,146.0,46.0,0.0,0.0,63438.0
2.0,11.0,9.0,45.0,79.0,0.0,0.0,10959.0
1.0,22.0,9.0,276.0,402.0,0.0,0.0,36201.0
1.0,22.0,9.0,54540.0,8314.0,0.0,1.0,117386.0
1.0,19.0,9.0,192.0,0.0,0.0,0.0,54699.0
1.0,19.0,9.0,334.0,0.0,0.0,1.0,67139.0
1.0,22.0,9.0,224.0,260.0,0.0,0.0,13589.0
1.0,22.0,9.0,54540.0,8314.0,0.0,1.0,17793.0
1.0,25.0,1.0,0.0,0.0,0.0,1.0,108044.0
1.0,22.0,9.0,311.0,293.0,0.0,0.0,18365.0
1.0,22.0,9.0,297.0,655.0,0.0,0.0,119704.0
1.0,48.0,9.0,619.0,334.0,0.0,0.0,26182.0
1.0,19.0,9.0,748.0,0.0,0.0,0.0,97499.0
2.0,11.0,9.0,45.0,45.0,0.0,0.0,11360.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,53092.0
2.0,11.0,9.0,45.0,87.0,0.0,0.0,19681.0
1.0,22.0,9.0,186.0,409.0,0.0,0.0,48824.0
1.0,48.0,9.0,1814.0,329.0,0.0,0.0,63009.0
2.0,44.0,9.0,105.0,145.0,0.0,0.0,75934.0
2.0,11.0,9.0,45.0,115.0,0.0,0.0,19350.0
2.0,44.0,9.0,207.0,0.0,0.0,1.0,44171.0
0.0,14.0,9.0,1480.0,0.0,0.0,1.0,33383.0
1.0,22.0,9.0,208.0,464.0,0.0,0.0,47458.0
1.0,19.0,9.0,383.0,0.0,0.0,0.0,43408.0
1.0,48.0,9.0,11982.0,1430.0,0.0,0.0,29749.0
1.0,22.0,9.0,234.0,540.0,0.0,0.0,87830.0
1.0,48.0,9.0,2505.0,337.0,0.0,0.0,86200.0
2.0,40.0,9.0,145.0,105.0,0.0,0.0,62749.0
1.0,22.0,9.0,299.0,303.0,0.0,0.0,95211.0
1.0,22.0,9.0,245.0,406.0,0.0,0.0,11478.0
1.0,3.0,9.0,9.0,35.0,0.0,0.0,26514.0
2.0,11.0,9.0,42.0,42.0,0.0,0.0,23181.0
1.0,19.0,9.0,259.0,0.0,0.0,0.0,67928.0
1.0,22.0,9.0,248.0,497.0,0.0,0.0,71450.0
1.0,19.0,9.0,748.0,0.0,0.0,0.0,1226.0
2.0,40.0,9.0,147.0,0.0,0.0,0.0,87260.0
1.0,19.0,9.0,192.0,0.0,0.0,0.0,16144.0
2.0,11.0,9.0,44.0,72.0,0.0,0.0,42605.0
0.0,14.0,9.0,1032.0,0.0,0.0,1.0,119379.0
2.0,40.0,9.0,145.0,105.0,0.0,0.0,30762.0
2.0,39.0,9.0,48.0,48.0,0.0,0.0,48530.0
2.0,11.0,9.0,46.0,76.0,0.0,0.0,124072.0
1.0,22.0,9.0,254.0,274.0,0.0,0.0,38363.0
1.0,48.0,9.0,3069.0,639.0,0.0,0.0,107842.0
0.0,58.0,9.0,183.0,0.0,0.0,0.0,74338.0
0.0,58.0,9.0,78.0,0.0,0.0,0.0,34020.0
1.0,48.0,9.0,1355.0,331.0,0.0,0.0,114408.0
0.0,58.0,9.0,78.0,0.0,0.0,0.0,104088.0
1.0,22.0,9.0,208.0,103.0,0.0,0.0,14954.0
1.0,19.0,9.0,1339.0,0.0,0.0,0.0,3460.0
0.0,14.0,9.0,520.0,0.0,0.0,1.0,65408.0
2.0,11.0,9.0,45.0,111.0,0.0,0.0,39646.0
1.0,22.0,9.0,54540.0,8314.0,0.0,1.0,67766.0
1.0,48.0,9.0,1370.0,326.0,0.0,0.0,56342.0
2.0,40.0,9.0,146.0,105.0,0.0,0.0,97794.0
1.0,19.0,9.0,748.0,0.0,0.0,0.0,2550.0
1.0,22.0,9.0,314.0,294.0,0.0,0.0,29500.0
0.0,14.0,9.0,520.0,0.0,0.0,1.0,109172.0
0.0,14.0,9.0,520.0,0.0,0.0,1.0,49947.0
1.0,22.0,9.0,231.0,332.0,0.0,0.0,27703.0
0.0,58.0,9.0,78.0,0.0,0.0,0.0,9485.0
2.0,11.0,9.0,45.0,81.0,0.0,0.0,52343.0
2.0,11.0,9.0,43.0,79.0,0.0,0.0,68106.0
1.0,22.0,9.0,144.0,360.0,0.0,0.0,104730.0
2.0,40.0,9.0,146.0,105.0,0.0,0.0,71000.0
1.0,22.0,9.0,338.0,255.0,0.0,0.0,83485.0
1.0,48.0,9.0,997.0,331.0,0.0,0.0,92285.0
1.0,19.0,9.0,26.0,0.0,0.0,0.0,59171.0
0.0,13.0,9.0,30.0,0.0,0.0,0.0,36478.0
