protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1,23,9,296,2325,0,0,48356.0
1,46,5,0,0,0,1,93272.0
1,23,9,253,327,0,0,54551.0
1,46,5,0,0,0,1,36559.0
0,15,9,1032,0,0,0,61545.0
1,23,9,328,2243,0,0,108.0
1,18,5,0,0,0,1,53529.0
1,46,1,0,0,0,1,39315.0
1,23,9,284,810,0,0,34983.0
1,23,9,331,7334,0,0,66601.0
1,23,9,189,9692,0,0,117857.0
1,4,5,0,0,0,1,99801.0
1,46,5,0,0,0,1,20027.0
0,14,9,8,0,0,1,115347.0
2,12,9,45,139,0,0,9801.0
1,46,5,0,0,0,1,83516.0
1,23,9,223,1367,0,0,110145.0
1,51,9,933,344,0,0,9590.0
0,14,9,30,0,0,0,56822.0
1,23,9,220,1685,0,0,45643.0
1,51,9,1696,364,0,0,119400.0
1,41,1,0,0,0,1,101136.0
1,46,5,0,0,0,1,79598.0
1,23,9,208,759,0,0,91245.0
1,46,5,0,0,0,1,54380.0
1,23,9,223,1415,0,0,73408.0
1,23,9,352,1973,0,0,92397.0
1,51,9,769,330,0,0,74285.0
1,46,1,0,0,0,1,25361.0
1,16,5,0,0,0,1,123443.0
1,18,5,0,0,0,1,104475.0
1,51,9,631,326,0,0,94696.0
2,12,9,42,73,0,0,25369.0
1,20,9,768,0,0,0,93219.0
1,46,5,0,0,0,1,114186.0
1,23,9,208,1187,0,0,12926.0
2,12,9,46,78,0,0,29220.0
1,25,5,0,0,0,1,60865.0
1,18,9,10,368,0,0,101955.0
1,51,9,1125,386,0,0,8849.0
1,23,9,190,1463,0,0,19182.0
1,51,9,1502,333,0,0,100385.0
1,23,9,309,676,0,0,38203.0
2,46,9,207,0,0,0,64852.0
1,23,5,0,0,0,1,25238.0
1,23,9,305,715,0,0,63254.0
2,12,9,46,75,0,0,80914.0
1,23,1,0,0,0,1,94025.0
1,16,5,0,0,0,1,71324.0
1,20,9,12165,0,0,0,78812.0
1,55,5,0,0,0,1,6101.0
2,12,9,43,43,0,0,94102.0
1,16,5,0,0,0,1,14762.0
2,12,9,44,73,0,0,78687.0
1,19,9,1200,3380,0,0,37278.0
1,41,9,965,0,0,0,67342.0
1,23,5,0,0,0,1,34655.0
1,23,9,320,1735,0,0,86334.0
1,44,9,52,1554,0,0,12079.0
1,46,1,0,0,0,1,115281.0
1,46,5,0,0,0,1,60940.0
1,46,5,0,0,0,1,85052.0
0,14,9,8,0,0,1,86576.0
1,23,9,222,392,0,0,50052.0
1,2,5,0,0,0,1,23116.0
1,46,5,0,0,0,1,26322.0
2,12,9,44,134,0,0,33514.0
1,62,5,0,0,0,1,49178.0
1,6,5,0,0,0,1,125344.0
1,35,5,0,0,0,1,45869.0
1,51,9,951,329,0,0,43420.0
1,23,9,201,3295,0,0,74091.0
1,23,9,241,2182,0,0,84593.0
1,46,5,0,0,0,1,117591.0
1,46,1,0,0,0,1,29578.0
1,41,1,0,0,0,1,32076.0
2,46,9,105,146,0,0,58288.0
1,51,9,673,335,0,0,76623.0
1,46,1,0,0,0,1,10831.0
1,65,5,0,0,0,1,105402.0
1,57,5,0,0,0,1,16799.0
1,23,9,305,2777,0,0,115784.0
2,12,9,45,132,0,0,125196.0
1,23,9,353,12874,0,0,36836.0
2,12,9,44,76,0,0,6818.0
1,23,1,0,0,0,1,105719.0
2,12,9,43,85,0,0,45040.0
1,23,9,317,3245,0,0,65617.0
1,23,9,210,943,0,0,81905.0
1,2,1,0,0,0,1,106041.0
2,12,9,36,0,0,0,34465.0
1,23,4,38568,7300,0,0,109555.0
0,15,9,520,0,0,0,89300.0
1,23,9,249,1450,0,0,98929.0
1,21,5,0,0,0,1,54422.0
1,51,9,1789,333,0,0,75323.0
1,11,1,0,0,0,1,28111.0
1,23,1,0,0,0,1,34084.0
1,23,9,200,2276,0,0,85982.0
1,29,5,0,0,0,1,67511.0
0,14,9,30,0,0,0,72526.0
1,22,5,0,0,0,1,101516.0
1,18,5,0,0,0,1,27910.0
1,23,9,221,11200,0,0,100128.0
2,41,9,147,0,0,0,49971.0
1,23,9,184,34030,0,0,123363.0
1,51,9,655,326,0,0,100668.0
1,44,9,35,130,0,0,88064.0
1,23,9,277,25445,0,0,112292.0
1,23,9,158,27017,0,0,123117.0
0,14,9,18,0,0,1,4282.0
2,12,9,129,45,0,0,70495.0
1,23,9,229,1259,0,0,26120.0
1,62,2,0,0,0,1,125011.0
1,22,1,0,0,0,1,96052.0
1,23,9,293,728,0,0,47422.0
2,12,9,42,141,0,0,105600.0
1,23,9,254,1357,0,0,120812.0
2,46,9,28,0,0,1,17677.0
2,12,9,44,74,0,0,50621.0
1,2,5,0,0,0,1,21149.0
1,23,9,238,26416,0,0,102664.0
1,46,1,0,0,0,1,28777.0
1,46,5,0,0,0,1,11598.0
1,65,1,0,0,0,1,44328.0
1,23,9,214,480,0,0,116934.0
1,23,9,294,478,0,0,114904.0
1,23,1,0,0,0,1,106550.0
1,8,5,0,0,0,1,111165.0
2,12,9,43,43,0,0,118399.0
1,23,9,201,1660,0,0,73825.0
2,46,9,28,0,0,1,115896.0
2,12,9,35,95,0,0,39985.0
1,51,9,11643,1553,0,0,28003.0
1,36,5,0,0,0,1,24578.0
1,23,9,211,766,0,0,118167.0
1,23,9,338,1228,0,0,19231.0
1,23,9,299,181,0,0,4881.0
1,46,1,0,0,0,1,101273.0
1,23,1,0,0,0,1,37114.0
1,23,9,259,362,0,0,121791.0
1,23,9,224,260,0,0,34302.0
1,23,9,224,3867,0,0,5633.0
1,23,9,245,11547,0,0,87137.0
0,14,9,64,0,0,0,37203.0
1,46,1,0,0,0,1,50350.0
0,14,9,8,0,0,1,98698.0
1,5,5,0,0,0,1,4328.0
1,56,5,0,0,0,1,94591.0
1,20,5,0,0,0,1,103399.0
1,23,9,246,1287,0,0,117311.0
1,23,9,292,1491,0,0,113276.0
1,23,9,181,5622,0,0,112824.0
1,46,5,0,0,0,1,101385.0
1,46,5,0,0,0,1,31969.0
1,46,10,0,0,0,1,78951.0
2,12,9,46,46,0,0,64871.0
1,16,1,0,0,0,1,57804.0
0,14,9,8,0,0,1,120830.0
1,46,5,0,0,0,1,708.0
1,51,9,895,366,0,0,34931.0
1,23,9,225,1007,0,0,100770.0
1,20,9,4316,0,0,0,26815.0
0,14,9,8,0,0,1,43399.0
1,23,9,314,522,0,0,115995.0
1,57,5,0,0,0,1,43366.0
1,23,9,350,802,0,0,86607.0
1,46,5,0,0,0,1,10735.0
1,46,5,0,0,0,1,32520.0
1,64,4,0,0,0,1,122653.0
1,23,9,221,10737,0,0,42950.0
1,46,1,0,0,0,1,84059.0
1,46,5,0,0,0,1,71178.0
1,59,2,0,0,0,1,36507.0
1,6,5,0,0,0,1,89950.0
1,31,9,100,39445,0,0,101086.0
1,23,9,320,2367,0,0,22702.0
1,39,5,0,0,0,1,60267.0
1,23,9,345,7734,0,0,74943.0
2,12,9,43,109,0,0,74349.0
1,57,9,95,2142,0,0,97441.0
1,23,9,200,1726,0,0,32241.0
1,57,5,0,0,0,1,409.0
1,51,9,1372,401,0,0,23901.0
1,23,9,209,255,0,0,110260.0
1,46,1,0,0,0,1,40428.0
